source,target,user_id
3,785,526900
5,782,1215438
9,785,575459
11,785,575459
13,781,309563
14,781,309563
16,780,638210
16,781,309563
20,785,"575459,1044697"
21,785,"575459,1044697"
24,791,"579539,810351"
25,785,"575459,819320"
30,785,526900
31,785,575459
32,785,"526900,575459"
37,790,193219
43,785,277744
45,785,277744
51,780,462697
54,780,462697
55,781,"460089,1163442"
62,785,575459
63,785,"575459,819320"
67,780,1121384
68,780,1121384
68,781,1058591
70,780,1042524
70,785,"526900,575459"
71,785,575459
72,781,1046200
73,786,230856
74,785,575459
75,785,575459
76,785,"575459,819320"
79,783,592510
79,787,596052
80,783,"592510,1160772"
80,787,596052
81,785,264552
82,785,264552
85,780,1121384
87,780,1121384
90,780,1121384
91,783,"124784,521161,1236845"
93,781,1046200
97,785,575459
98,781,1058591
99,781,1058591
100,781,1058591
102,780,270220
102,785,526900
108,781,456150
108,786,191426
113,782,1215438
116,780,189043
119,781,1058591
121,786,191426
123,780,499532
126,786,230856
142,780,490858
144,781,1058591
146,780,1121384
147,785,264552
148,785,264552
150,781,309563
152,781,309563
156,785,264552
158,780,1121384
159,780,1166148
166,785,"575459,819320"
171,780,1121384
172,780,1121384
185,781,1058591
186,781,1058591
188,785,986779
194,781,1058591
202,780,487513
202,782,409352
205,780,"387325,401082,1111303"
205,782,1212318
205,783,592510
205,787,596052
208,781,1058591
209,781,1058591
209,786,191426
210,780,657916
210,781,"124464,463253,499303,657916"
211,781,124464
212,781,124464
212,785,575459
214,780,657916
214,781,"124464,499303,657916"
215,780,657916
215,781,657916
217,780,"376207,427283,638210,657916"
217,781,"124464,463253,499303,657916"
217,785,575459
218,780,387325
218,783,592510
219,780,"387325,401082"
219,787,596052
221,781,314138
222,780,191307
222,781,314138
223,783,"209038,480899"
225,782,955120
225,783,"199984,209038,240683,323051,478604,480899,778698,955120,1236845"
226,781,"450548,458921,460089,528757"
227,780,129105
227,781,450548
227,782,347996
228,780,250397
228,782,347996
230,780,129105
231,780,250397
231,781,"314138,528757"
232,780,"129105,250397,427283,839435"
232,781,"314138,450548,458921,460089,528757"
232,782,"347996,355203,409352"
233,782,409352
235,780,170729
235,781,876768
235,782,409352
237,782,1212318
238,783,592510
238,787,596052
240,781,458921
240,782,355203
242,781,"124464,450548"
243,781,"288685,300450,437974"
243,782,493464
244,781,309563
245,781,1044582
246,780,250397
246,781,275401
246,783,324441
247,780,"136996,250397,275145"
247,781,"275401,309563,316209,389821,1044582"
247,782,"287608,307966,347996"
247,783,324441
247,785,1044697
248,780,552846
248,781,133892
248,782,133892
249,780,"270220,552846,1166148"
249,781,"130532,133892,521982,600467"
249,782,133892
249,783,199984
250,780,255972
251,780,"255972,369359,552846"
251,781,133892
251,782,133892
251,783,450658
252,780,"146208,255972,270220,369359,499532,552846,1166148"
252,781,"130532,133892,521982,600467,805158"
252,782,133892
252,783,"199984,450658"
255,780,552846
255,781,133892
255,782,133892
256,780,"123801,270220,552846,1166148"
256,781,"130532,133892,253171,521982,600467,1109186"
256,782,"133892,612518,1099947"
256,783,199984
256,788,1099947
257,780,171799
258,780,171799
258,783,480899
259,780,"157573,171799,255972,387325,657916,741468"
259,781,"300450,329426,376854,657916,1046200"
260,780,"129105,157573,171799,255972,325217,387325,401082,606739,657916,741468,1038955"
260,781,"124464,134545,300450,309563,329426,376854,499303,657916,1046200"
260,783,"209038,480899,1115415,1160772"
260,787,596052
260,789,527838
261,780,"171799,252901,622767,1068315"
262,780,"171799,252901,329769,622767,999728,1068315,1168259"
262,781,"105769,157047,458921,477692,1044582"
262,782,"150817,355203,1029030,1150209"
262,783,480899
262,785,1163180
262,786,1170991
263,780,"131514,157573,171799,250397,252901,255972,302471,369359,381808,387325,462697,509386,552846,560373,576975,595074,622767,657916,741468,879166,1068315"
263,781,"105498,131514,133892,173319,275401,300450,314138,329426,338042,376854,528757,657916,1046200"
263,782,133892
263,783,"324441,450658,592510"
265,780,462697
265,781,"288685,300450,437974,763217,1044582"
265,782,"347996,493464"
265,783,1157557
266,780,462697
266,781,300450
267,781,1044582
269,780,255972
269,781,805158
270,782,1099947
270,788,1099947
271,780,"255972,657916"
271,781,"124464,300450,499303,657916"
272,781,458921
272,782,150817
273,780,"131514,255972,657916"
273,781,"131514,173319,300450,528757,657916"
274,780,"131514,255972,657916"
274,781,"120286,124464,131514,173319,288685,300450,331247,437974,450548,458921,460089,463253,465771,499303,528757,657916,805158,942270,1044423,1163442"
274,782,"150817,274199,287308,288642,493464,922200,1099947,1212318"
274,788,1099947
275,782,347996
275,783,1157557
277,782,"287608,347996"
277,785,1044697
278,781,376854
279,780,129105
279,781,"124464,376854"
279,783,480899
279,787,596052
280,782,1029030
280,783,480899
281,780,595074
281,781,376854
281,783,592510
282,780,"129105,595074"
282,781,"124464,376854,450548,893080"
282,782,"287608,347996,1029030"
282,783,"480899,592510,1157557"
282,785,"575459,1044697"
282,787,596052
283,781,1058591
284,781,1044582
284,782,347996
286,781,300450
287,781,300450
289,780,1121384
289,781,1058591
289,785,264552
291,781,1058591
292,780,270220
296,787,596052
298,780,794248
298,786,794248
298,787,596052
302,780,1121384
308,782,376513
320,783,101105
325,785,575459
326,787,596052
327,787,596052
328,786,191426
337,780,1121384
339,780,1121384
339,781,1058591
342,780,1111303
343,782,150817
346,780,1111303
346,781,130532
346,782,150817
357,780,1121384
357,785,575459
361,780,270220
362,780,1121384
373,780,1121384
373,783,1139056
374,787,596052
377,787,596052
378,781,1058591
379,781,1058591
380,781,"449166,1058591"
384,781,600467
389,780,446878
391,781,893080
393,781,1058591
401,780,1166148
401,785,526900
404,786,191426
405,791,579539
408,783,240683
409,781,1058591
414,785,"575459,1044697"
415,780,794248
415,786,794248
423,786,230856
428,783,1157557
434,785,264552
448,781,449166
450,785,819320
452,780,499532
461,780,1042524
463,783,1157557
464,781,1058591
466,780,252901
472,786,230856
484,780,520071
489,785,575459
499,781,133892
499,782,133892
504,780,499532
506,781,1058591
519,786,191426
524,781,1058591
526,781,124464
547,781,757634
552,780,490858
552,781,1058591
560,785,575459
572,781,1058591
590,786,191426
594,785,575459
595,785,526900
596,781,1058591
597,785,526900
606,780,1121384
606,785,526900
608,781,1058591
612,783,1157557
623,780,270220
624,781,1058591
632,781,1058591
634,780,252901
647,785,526900
652,780,270220
652,781,893080
665,780,252901
666,780,252901
671,780,552846
671,782,1099947
671,788,1099947
674,785,526900
687,786,191426
704,781,1058591
708,785,277744
710,781,124464
720,781,893080
723,781,105769
736,781,1058591
737,783,1139056
740,780,252901
741,780,252901
743,780,252901
762,785,819320
767,785,277744
768,781,449166
776,780,490858
778,780,250397
778,782,347996
780,798,"131514,171799,250397,387325,446878,462697,509386,595074,622767,741468,839435,879166,1111303,1168259"
780,807,560373
780,814,1121384
780,816,1121384
780,852,1038955
780,859,270220
780,860,270220
780,861,270220
780,890,189043
780,892,189043
780,918,794248
780,989,381808
780,992,999728
780,1008,"255972,325217"
780,1010,131514
780,1011,131514
780,1015,131514
780,1017,131514
780,1018,131514
780,1025,1121384
780,1027,741468
780,1028,"170729,741468"
780,1032,606739
780,1048,552846
780,1053,622767
780,1054,"622767,999728"
780,1055,1168259
780,1058,"1111303,1168259"
780,1059,"136996,275145,381808,1042524,1111303,1168259"
780,1060,"270220,552846,1166148"
780,1063,"123801,270220,427283,552846,1166148"
780,1065,329769
780,1066,"131514,446878,509386,595074,1168259"
