source,target,user_id,label
0,1,[221900],G
0,6,"[101749, 274953]",G
1,6,[428273],G
0,19,[261240],G
10,19,[274953],G
14,19,"[264679, 478530, 534619]",G
16,19,[866133],S
0,93,[520056],G
45,93,[287754],G
50,93,[312415],G
65,93,[261240],G
69,93,"[188588, 231893, 866133]",G
71,93,"[231893, 866133]",G
75,93,"[105126, 332635]",G
77,93,"[131516, 266177]",G
79,93,"[266177, 417444]",G
83,93,[115022],G
85,93,[115022],G
1,4,[115022],G
1,5,[264679],G
2,5,[176750],G
3,5,"[149886, 226924, 273864, 303696, 474879]",G
1,10,"[221900, 478530, 866133]",G
4,10,"[145478, 482512]",G
5,10,[264679],G
6,10,"[274953, 498303]",G
1,11,"[221900, 866133]",G
2,11,[585456],G
3,11,[432898],G
6,11,[132519],G
1,12,"[118606, 410571]",G
4,12,[482512],G
5,12,[176750],G
6,12,[498303],G
1,29,[285365],S
2,29,[226985],G
8,29,"[252704, 585456]",G
11,29,[585456],G
17,29,[432898],G
18,29,"[432898, 516389, 913899]",S
22,29,"[149886, 215374, 226924, 303696, 923982]",G
23,29,[273864],G
24,29,[226924],G
26,29,[273864],G
27,29,[273864],G
2,3,"[178285, 226924, 288714, 432898]",G
2,8,"[150269, 343202, 585456]",G
3,8,"[147287, 432898]",G
5,8,"[226924, 273864, 303696, 474879, 923982]",G
2,44,[116517],G
29,44,[285365],G
34,44,[343202],G
35,44,[390199],G
37,44,[288714],S
39,44,[115022],G
40,44,"[149886, 215374, 303696, 317586, 913899]",G
3,7,[580829],G
3,13,"[178285, 913899]",G
5,13,"[317586, 472947]",G
8,13,"[273864, 303696]",G
9,13,[273864],G
3,18,[288714],S
8,18,[147287],G
12,18,[176750],G
13,18,"[273864, 303696, 913899]",G
15,18,"[343202, 432898]",G
3,21,[301967],G
10,21,[476566],G
11,21,[575523],G
12,21,[119521],G
3,40,[223109],G
7,40,[580829],G
13,40,[317586],G
34,40,[215374],G
37,40,"[149886, 176750, 303696, 472947, 913899, 923982]",G
4,30,[164308],G
10,30,[498303],G
12,30,[498303],G
14,30,[397621],G
19,30,"[478530, 866133]",G
20,30,[118606],G
23,30,[221900],G
24,30,[321135],G
25,30,[321135],G
26,30,"[221900, 321135]",G
27,30,[221900],G
4,33,[347942],G
6,33,[101749],G
10,33,[145478],G
20,33,[717621],G
24,33,[332635],G
28,33,[321135],G
30,33,"[164308, 321135, 478530, 866133]",G
4,36,[231893],G
11,36,[251114],G
17,36,[483211],G
20,36,[402831],G
21,36,[476566],G
26,36,[476566],G
33,36,[478530],G
34,36,[915090],G
35,36,[274953],G
4,39,[115022],G
24,39,[195808],G
28,39,[957568],S
31,39,[957568],G
32,39,[717621],G
33,39,"[332635, 717621, 866133]",G
35,39,[866133],G
36,39,"[231893, 274953, 915090]",G
5,9,"[264679, 273864, 474879]",G
5,15,[149886],G
8,15,"[150269, 226924, 343202, 432898, 923982]",G
11,15,[432898],G
13,15,[472947],G
5,48,[154132],G
22,48,[264679],G
24,48,[264679],G
28,48,[273864],G
29,48,[273864],G
37,48,"[226924, 626547]",S
38,48,[176750],G
40,48,"[176750, 472947, 923982]",G
44,48,"[149886, 288714, 317586, 913899]",S
5,67,[146032],G
13,67,[178285],G
40,67,[223109],G
44,67,[303696],G
51,67,"[154132, 215374, 423611, 468551]",G
55,67,"[273864, 317586]",G
56,67,"[149886, 538133]",G
58,67,[116517],G
59,67,"[273864, 317586]",G
