source,target,user_id,label
11,23,"[280880, 438114]",SG
13,23,[438114],SG
14,23,[115022],SG
15,23,"[180230, 188588, 231893, 274953, 476566, 866133]",SG
16,23,[188588],SG
17,23,"[180230, 309886, 390199, 1004644]",SG
18,23,"[176750, 206416, 231893, 412666, 874591]",SG
19,23,"[176750, 273864, 317586, 343202]",SG
20,23,"[179416, 188588, 262442, 273864, 309886, 317586, 390199, 412666, 530327, 711978, 866133, 874591, 1030140]",SG
21,23,"[273864, 317586, 476566, 598886, 1030140]",SG
10,32,[195808],SG
21,32,"[580829, 805158]",SG
23,32,[530327],SG
24,32,[115334],SG
25,32,"[223786, 259132, 273864, 524668, 535838, 1030140, 1163901]",SG
26,32,"[524668, 538133]",SG
27,32,"[131516, 273864]",SG
28,32,"[273864, 524668, 538133]",SG
11,27,[312415],SG
14,27,[498303],SG
15,27,"[417444, 478530]",SG
16,27,[478530],SG
18,27,[332635],SG
20,27,[332635],SG
22,27,[273864],SG
23,27,"[188588, 231893, 273864, 390199, 866133]",SG
24,27,"[115022, 131516, 266177, 274953, 508797]",SG
11,40,[355812],SG
17,40,[200898],SG
25,40,[384542],SG
29,40,"[530327, 1030140]",SG
30,40,[215374],SG
31,40,[530327],SG
32,40,"[530327, 1030140]",SG
33,40,[273864],SG
34,40,"[133917, 188588, 1005767, 1163901]",SG
35,40,"[119521, 133917, 188588, 273864, 309886]",SG
12,22,"[226985, 472947]",SG
15,22,[274953],SG
16,22,[215374],SG
17,22,[226924],SG
18,22,"[176750, 913899]",SG
19,22,"[149886, 176750, 178285, 215374, 226924, 273864, 303696, 317586, 468551, 538133, 913899, 923982]",SG
20,22,"[273864, 317586]",SG
21,22,"[273864, 317586]",SG
14,34,[108228],SG
15,34,[1005767],SG
17,34,[1005767],SG
25,34,"[133917, 393439]",SG
27,34,[390199],SG
28,34,"[133917, 876768]",SG
29,34,"[145478, 157246, 188588, 520056]",SG
31,34,"[188588, 189769, 478530, 717621]",SG
32,34,"[195808, 1163901]",SG
15,29,[145478],SG
16,29,"[843577, 1031383]",SG
17,29,"[145478, 336247, 626547]",SG
18,29,[205800],SG
19,29,[626547],SG
21,29,[805158],SG
22,29,[226985],SG
23,29,"[280880, 438114, 530327, 874591]",SG
24,29,"[120248, 262442, 465308]",SG
25,29,"[132519, 157246, 179416, 188588, 209276, 221900, 259132, 273864, 285090, 432898, 437974, 482512, 508797, 625091, 711978, 997163, 1030140]",SG
26,29,"[176750, 226924, 274953, 432898]",SG
27,29,"[188588, 231893, 273864, 274953, 508797, 520056]",SG
28,29,"[164308, 226924, 273864, 285090, 711978]",SG
15,31,"[460243, 1059459]",SG
16,31,"[189769, 717621]",SG
17,31,[460243],SG
23,31,[530327],SG
24,31,[262442],SG
25,31,"[188588, 312415, 332635, 355661, 476566, 482512, 508797]",SG
26,31,[274953],SG
27,31,"[188588, 231893, 274953, 312415, 332635, 417444, 478530, 508797]",SG
28,31,"[164308, 355661]",SG
16,30,"[465004, 843577]",SG
18,30,[516389],SG
19,30,[465004],SG
21,30,[580829],SG
22,30,[226985],SG
24,30,[343202],SG
25,30,"[146032, 149886, 273864, 278491, 317586, 625091, 1216244]",SG
26,30,"[116517, 149886, 176750, 215374, 226924, 278491, 288714, 317586, 538133, 923982, 1216244]",SG
27,30,[273864],SG
28,30,"[226924, 273864, 278491, 538133]",SG
16,33,[223109],SG
19,33,"[150269, 223109]",SG
25,33,[178285],SG
26,33,"[178285, 236344, 303696, 474879]",SG
29,33,"[176750, 226924, 273864, 432898, 625091, 626547, 843577, 1031383]",SG
30,33,"[149886, 176750, 226924, 273864, 278491, 317586, 343202, 465004, 538133, 625091, 843577, 923982]",SG
32,33,"[273864, 538133]",SG
16,35,[223109],SG
19,35,[223109],SG
20,35,[345624],SG
21,35,[345624],SG
23,35,[309886],SG
24,35,"[147391, 193191, 820248]",SG
25,35,"[119521, 120286, 130184, 133917, 1029987]",SG
28,35,"[133917, 180230]",SG
29,35,"[157246, 176750, 188588, 209276, 259132, 273864, 274953, 280880, 285090, 520056, 625091, 711978, 997163]",SG
30,35,"[176750, 273864, 343202, 625091, 923982]",SG
31,35,"[188588, 274953, 476566]",SG
32,35,"[115334, 259132, 273864]",SG
16,38,[423611],SG
19,38,[423611],SG
29,38,"[226985, 530327]",SG
30,38,"[116517, 146032, 226985, 288714, 1216244]",SG
31,38,[530327],SG
32,38,[530327],SG
33,38,"[149886, 176750, 226924, 273864, 278491, 303696, 317586, 432898, 465004, 538133, 923982, 1031383]",SG
35,38,"[176750, 273864, 274953, 923982]",SG
16,42,[423611],SG
19,42,[423611],SG
25,42,"[106174, 114932, 115022, 206416, 423878]",SG
27,42,[115022],SG
28,42,[206416],SG
29,42,"[132519, 221900, 262442, 874591]",SG
30,42,[146032],SG
31,42,[262442],SG
32,42,[524668],SG
33,42,[843577],SG
34,42,[520056],SG
35,42,"[147391, 259132, 520056, 997163]",SG
17,36,"[251114, 578902]",SG
24,36,"[301967, 574109]",SG
25,36,[499127],SG
27,36,[498303],SG
28,36,"[402831, 498303, 957568]",SG
29,36,[120248],SG
30,36,[580829],SG
32,36,"[223786, 580829]",SG
33,36,"[176750, 226924, 432898, 1031383]",SG
34,36,"[108228, 145478, 189769, 393439, 717621]",SG
35,36,"[176750, 193191, 285090]",SG
17,37,[200898],SG
24,37,[835363],SG
25,37,[206416],SG
28,37,[206416],SG
29,37,"[179416, 221900, 437974, 438114, 530327, 1030140]",SG
31,37,"[332635, 530327]",SG
32,37,"[530327, 1030140]",SG
33,37,[317586],SG
34,37,"[188588, 390199]",SG
35,37,"[147391, 188588, 209276, 259132, 274953, 280880, 285090, 309886, 345624, 711978, 1029987]",SG
17,41,[251114],SG
25,41,[115022],SG
27,41,"[115022, 498303]",SG
28,41,[498303],SG
29,41,"[164308, 262442]",SG
31,41,"[164308, 262442, 332635, 355661]",SG
34,41,"[133917, 145478, 188588, 189769, 390199, 520056]",SG
35,41,"[133917, 180230, 188588, 274953, 520056]",SG
24,39,[301967],SG
25,39,"[519327, 867805]",SG
29,39,"[164308, 336247, 805158]",SG
31,39,"[164308, 355661, 460243]",SG
32,39,"[535838, 805158]",SG
33,39,"[149886, 625091, 626547, 923982]",SG
34,39,[390199],SG
35,39,"[120286, 180230, 274953, 345624, 625091, 820248, 923982, 1029987]",SG
24,45,[227628],SG
33,45,"[150269, 223109, 236344]",SG
35,45,[223109],SG
37,45,[530327],SG
38,45,"[278491, 530327, 1216244]",SG
40,45,[530327],SG
43,45,"[116517, 146032, 149886, 176750, 215374, 226924, 288714, 317586, 538133, 626547, 923982]",SG
29,44,[482512],SG
31,44,[482512],SG
32,44,[131516],SG
34,44,[876768],SG
36,44,"[251114, 393439, 432898]",SG
37,44,"[274953, 711978]",SG
38,44,"[274953, 423611, 432898]",SG
39,44,"[274953, 625091]",SG
40,44,[119521],SG
41,44,"[251114, 274953]",SG
42,44,[423611],SG
31,46,[1059459],SG
34,46,[478530],SG
36,46,"[145478, 189769, 498303]",SG
37,46,[188588],SG
40,46,"[133917, 188588]",SG
41,46,"[133917, 145478, 188588, 189769, 262442, 498303]",SG
42,46,"[132519, 262442]",SG
43,46,[303696],SG
44,46,[274953],SG
33,43,[474879],SG
36,43,"[176750, 226924]",SG
37,43,[317586],SG
38,43,"[116517, 146032, 149886, 176750, 226924, 273864, 288714, 303696, 317586, 423611, 538133, 923982]",SG
39,43,"[149886, 626547, 923982]",SG
40,43,"[215374, 273864]",SG
42,43,"[146032, 423611]",SG
