source,target,user_id,label
10,68,"555714, 565366, 584447, 849812",4
11,68,622027,4
1,71,622027,4
2,71,"622027, 754685",4
4,71,"584447, 622027, 754685",4
5,71,622027,4
6,71,"584447, 622027, 754685",4
7,71,584447,4
8,71,584447,4
9,71,"584447, 622027, 754685",4
10,71,"584447, 849812",4
11,71,622027,4
2,13,428202,4
5,13,471775,4
7,13,428202,4
8,13,428202,4
9,13,"428202, 471775, 521885",4
10,13,428202,4
11,13,471775,4
2,14,428202,4
5,14,471775,4
7,14,428202,4
8,14,428202,4
9,14,"428202, 471775",4
10,14,428202,4
11,14,471775,4
2,17,428202,4
7,17,428202,4
8,17,428202,4
9,17,428202,4
10,17,428202,4
2,18,754685,4
4,18,754685,4
6,18,754685,4
9,18,754685,4
2,19,428202,4
7,19,428202,4
8,19,428202,4
9,19,428202,4
10,19,428202,4
2,23,428202,4
5,23,471775,4
7,23,428202,4
8,23,428202,4
9,23,"428202, 471775",4
10,23,428202,4
11,23,471775,4
2,24,428202,4
7,24,428202,4
8,24,428202,4
9,24,428202,4
10,24,428202,4
2,36,428202,4
7,36,428202,4
8,36,428202,4
9,36,428202,4
10,36,428202,4
2,37,754685,4
3,37,610249,4
4,37,"584447, 754685",4
6,37,"584447, 610249, 754685",4
7,37,584447,4
8,37,584447,4
9,37,"584447, 754685",4
10,37,"584447, 849812",4
2,41,754685,4
4,41,754685,4
5,41,471775,4
6,41,754685,4
9,41,"471775, 754685",4
11,41,471775,4
2,49,754685,4
4,49,754685,4
5,49,471775,4
6,49,754685,4
9,49,"471775, 754685",4
11,49,471775,4
2,57,754685,4
4,57,754685,4
6,57,754685,4
9,57,754685,4
2,72,754685,4
4,72,754685,4
6,72,754685,4
9,72,754685,4
3,34,610249,4
6,34,610249,4
3,35,610249,4
6,35,610249,4
3,38,610249,4
6,38,610249,4
5,21,471775,4
9,21,471775,4
11,21,471775,4
5,22,471775,4
9,22,471775,4
11,22,471775,4
5,25,471775,4
9,25,471775,4
11,25,471775,4
5,28,471775,4
9,28,471775,4
11,28,471775,4
5,29,471775,4
9,29,471775,4
11,29,471775,4
5,42,471775,4
9,42,471775,4
11,42,471775,4
5,55,"471775, 519887",4
9,55,"471775, 519887",4
11,55,"471775, 519887",4
5,56,471775,4
9,56,471775,4
11,56,471775,4
5,76,548624,4
7,76,548624,4
8,76,548624,4
9,76,548624,4
10,76,548624,4
11,76,548624,4
5,90,548624,4
7,90,548624,4
8,90,548624,4
9,90,548624,4
10,90,548624,4
11,90,548624,4
5,92,548624,4
7,92,548624,4
8,92,548624,4
9,92,548624,4
10,92,548624,4
11,92,548624,4
26,92,761107,4
53,92,761107,4
63,92,761107,4
64,92,761107,4
5,99,548624,4
7,99,548624,4
8,99,548624,4
9,99,548624,4
10,99,548624,4
11,99,548624,4
13,99,"471775, 521885, 971894",4
14,99,471775,4
21,99,471775,4
22,99,471775,4
23,99,471775,4
25,99,"471775, 971894",4
27,99,971894,4
28,99,471775,4
29,99,471775,4
31,99,471775,4
40,99,971894,4
41,99,471775,4
42,99,471775,4
43,99,471775,4
49,99,"471775, 971894",4
52,99,471775,4
53,99,"471775, 619437",4
54,99,471775,4
55,99,"471775, 971894",4
56,99,471775,4
57,99,971894,4
59,99,971894,4
67,99,971894,4
70,99,971894,4
5,101,548624,4
7,101,548624,4
8,101,548624,4
9,101,548624,4
10,101,548624,4
