,user_ids,support,itemsets,period,property_values,depth,size,STATION_MGT_TYPE,DEPARTEMENT
53,"[ 428202  468837  528700  578639  619437  752568 1007975 1014685 1036452
 1037646 1047955 1048011 1060608]",13, 13600075 6026,2018-04-01,COCO_78,0.104,13,COCO,78
54,[416219 471775 518902 842240 953725 963615],6, 6033 7445935,2018-04-01,COCO_78,0.104,6,COCO,78
55,[ 526400  734723  913872  979729  988692 1040091 1058591],7, 13600075 6026,2018-05-01,COCO_59,0.112,7,COCO,59
56,"[ 416219  619437  849812  989025  993844 1008376 1014685 1037646 1045705
 1048011 1060608 1082751]",12, 13600075 6026,2018-05-01,COCO_78,0.112,12,COCO,78
57,[416219 521931 553832 842240 963615],5, 7445935 6026,2018-05-01,COCO_78,0.112,5,COCO,78
58,[416219 418129 471775 842240 963615],5, 6033 6026,2018-05-01,COCO_78,0.112,5,COCO,78
59,[281283 416219 519887 531392 842240 916838 963615 971686],8, 6033 7445935,2018-05-01,COCO_78,0.112,8,COCO,78
60,[225166 263913 281283 314234 416219 519887 521931 916838],8, 5401047 7445935,2018-05-01,COCO_78,0.112,8,COCO,78
61,[281283 416219 505859 519887 563837 916838],6, 5401047 6033,2018-05-01,COCO_78,0.112,6,COCO,78
62,[ 565366  610249  719763  754685 1014685 1047955 1048011],7, 6027 6026,2018-05-01,COCO_78,0.112,7,COCO,78
63,"[ 416219  471775  535929  536334  584447  752568  957240  989025 1007975
 1008376 1036452 1037646 1082751]",13, 13600075 6026,2018-06-01,COCO_78,0.12,13,COCO,78
64,[ 588730  842314  911614 1001550 1097861],5, 5401047 6033,2018-06-01,COCO_78,0.12,5,COCO,78
65,[ 490024  584447  588730  911614 1001550],5, 8287519 6033,2018-06-01,COCO_78,0.12,5,COCO,78
66,"[ 105293  110899  114666  118478  147589  167694  187833  199984  235462
  251568  270220  314647  368080  403445  425954  427096  427250  432305
  451363  464331  588437  602580  604098  607784  612824  616689  739860
  751640  957469 1052581 1095891 1106546]",32, 12520268 451,2018-07-01,COCO_59,0.128,32,COCO,59
67,[ 567971  860435  979705  998545 1152434],5, 13600075 6026,2018-07-01,COCO_59,0.128,5,COCO,59
68,"[ 363692  468837  519885  536334  555714  578639  754776 1007975 1008376
 1014685 1047955 1082751 1097861]",13, 13600075 6026,2018-07-01,COCO_78,0.128,13,COCO,78
69,[348255 469829 521883 532337 542073 553832 563837],7, 6033 7445935,2018-07-01,COCO_78,0.128,7,COCO,78
70,[103371 263913 348255 521883 553832 863993],6, 5401046 7445935,2018-07-01,COCO_78,0.128,6,COCO,78
72,"[ 114666  118478  167694  187833  199984  292347  314647  351686  425954
  427096  427250  528367  602580  604098  681522  751640  777319 1095891
 1163691 1167617 1168767 1171591]",22, 12520268 451,2018-08-01,COCO_59,0.136,22,COCO,59
73,[ 749038  860435  891917  979705 1152434 1155422 1179263],7, 13600075 6026,2018-08-01,COCO_59,0.136,7,COCO,59
74,[ 519885  614220  619437  754776  979497 1007975 1037646 1082751 1113856],9, 13600075 6026,2018-08-01,COCO_78,0.136,9,COCO,78
75,[143238 294115 399107 518902 550646 966582],6, 5401047 7445935,2018-08-01,COCO_78,0.136,6,COCO,78
76,[ 294115  416219  519885  849812  963615 1097861],6, 6033 6026,2018-08-01,COCO_78,0.136,6,COCO,78
77,[294115 399107 518902 521894 963615],5, 6033 7445935,2018-08-01,COCO_78,0.136,5,COCO,78
78,[ 614220  893157  993844 1082751 1172145],5, 19419902 4190175,2018-08-01,COCO_78,0.136,5,COCO,78
79,"[ 108938  114666  118478  133892  167694  187833  199984  235462  244827
  270220  292347  314647  368080  403445  425954  427250  432305  438350
  451363  464331  483533  521982  523545  602580  604098  607784  612824
  616689  751640  903640  957469 1061637 1095891 1163691 1167207 1167617
 1168767 1171591 1198352]",39, 12520268 451,2018-09-01,COCO_59,0.144,39,COCO,59
80,"[ 471775  519469  526399  614220  719763  752568  754789  849812  995513
 1048011 1174591]",11, 13600075 6026,2018-09-01,COCO_78,0.144,11,COCO,78
81,[490024 518902 545984 737878 824398 963615],6, 6033 7445935,2018-09-01,COCO_78,0.144,6,COCO,78
82,[471775 490024 545984 824398 916245],5, 5401047 7445935,2018-09-01,COCO_78,0.144,5,COCO,78
83,[400722 455008 490024 508618 545984 824398 911614],7, 5401047 6033,2018-09-01,COCO_78,0.144,7,COCO,78
84,[ 400722  508618  552972  911665  963615 1181464],6, 7892095 6033,2018-09-01,COCO_78,0.144,6,COCO,78
