,user_ids,support,itemsets,period,property_values,depth,size,STATION_MGT_TYPE
44,[286391 349380 471775 521885 536334 971894],6, 5461012 6033,2017-07-01,COCO,0.007380073800738007,6,COCO
45,[349380 471775 489055 516496 536334],5, 5461012 5401004,2017-07-01,COCO,0.007380073800738007,5,COCO
46,[134151 400722 489055 553832 715341],5, 7892095 7476355,2017-07-01,COCO,0.007380073800738007,5,COCO
47,[123801 217779 287610 452320 460228 485938 532669],7, 451 12520039,2017-08-01,COCO,0.00922509225092251,7,COCO
48,[476509 594666 753583 827332 872971 979705],6, 4190175 19419902,2017-08-01,COCO,0.00922509225092251,6,COCO
49,[619437 735292 749414 752568 754685 849812 963615 971440 971686],9, 13600075 6026,2017-08-01,COCO,0.00922509225092251,9,COCO
50,[619437 752568 849812 957240 971894 975522 979705],7, 3450013 6026,2017-08-01,COCO,0.00922509225092251,7,COCO
51,[380150 828469 842240 958765 963615 971440 971894],7, 6033 6026,2017-08-01,COCO,0.00922509225092251,7,COCO
52,[565366 619437 754685 913872 957240 979705],6, 6027 6026,2017-08-01,COCO,0.00922509225092251,6,COCO
53,[508618 616225 619437 957240 979705],5, 6027 3450013,2017-08-01,COCO,0.00922509225092251,5,COCO
54,"[471775 519469 574634 619437 734723 735292 754772 761107 762454 779524
 849812 908778 964774 965330]",14, 13600075 6026,2017-09-01,COCO,0.01107011070110701,14,COCO
55,[112044 123777 306257 322520 339517 376091],6, 4190175 19419902,2017-09-01,COCO,0.01107011070110701,6,COCO
56,[468837 471775 828469 842240 958765 963615 971440],7, 6033 6026,2017-09-01,COCO,0.01107011070110701,7,COCO
57,[428202 622013 754685 908778 965330 971440],6, 6027 6026,2017-09-01,COCO,0.01107011070110701,6,COCO
58,[471775 482421 563837 596875 911614 971894],6, 7445935 6033,2017-09-01,COCO,0.01107011070110701,6,COCO
59,[169564 171222 352928 865290 971894],5, 18064205 3450013,2017-09-01,COCO,0.01107011070110701,5,COCO
60,[400722 468837 471775 518902 521885 572619 971894],7, 5461012 6033,2017-09-01,COCO,0.01107011070110701,7,COCO
61,[400722 471775 518902 563837 971894],5, 7476355 6033,2017-09-01,COCO,0.01107011070110701,5,COCO
62,"[ 428202  471775  610037  619437  735292  749414  752568  964774  971440
  979705  988692  998545 1007975 1014685 1015043 1034094 1043402 1045705
 1047955 1054006 1058591]",21, 13600075 6026,2018-02-01,COCO,0.02029520295202952,21,COCO
63,"[ 428202  519469  519885  619437  735292  749038  910665  913872  964774
  979705  995860 1007975 1014685 1045705 1052503 1054006 1058591]",17, 13600075 6026,2018-03-01,COCO,0.02214022140221402,17,COCO
64,[275596 490112 600388 885828 903640 984430],6, 4190175 19419902,2018-03-01,COCO,0.02214022140221402,6,COCO
65,[ 518902  552972  783477  911614 1001550],5, 6033 7445935,2018-03-01,COCO,0.02214022140221402,5,COCO
66,"[ 428202  468837  526400  528700  578639  616565  619437  752568  995860
 1007975 1014685 1036452 1037646 1047955 1048011 1058591 1060608]",17, 13600075 6026,2018-04-01,COCO,0.023985239852398525,17,COCO
67,[101763 216501 263990 309153 347161],5, 18064205 3461025,2018-04-01,COCO,0.023985239852398525,5,COCO
68,[471775 518892 953725 963615 971894],5, 6033 6026,2018-04-01,COCO,0.023985239852398525,5,COCO
69,[416219 471775 518902 842240 953725 963615],6, 6033 7445935,2018-04-01,COCO,0.023985239852398525,6,COCO
70,[321568 349811 505859 963615 983984],5, 5461017 7445935,2018-04-01,COCO,0.023985239852398525,5,COCO
71,[ 263990  305678  313650  864494 1014685 1036452],6, 4190175 19419902,2018-04-01,COCO,0.023985239852398525,6,COCO
72,"[ 416219  526400  619437  734723  849812  913363  913872  979729  988692
  989025  993844  995860 1008376 1014685 1037646 1040091 1045705 1048011
 1058591 1060608 1082751]",21, 13600075 6026,2018-05-01,COCO,0.025830258302583026,21,COCO
73,[ 416219  521931  553832  842240  913872  963615 1040091],7, 7445935 6026,2018-05-01,COCO,0.025830258302583026,7,COCO
74,[416219 521931 616225 619437 849812],5, 5401047 6026,2018-05-01,COCO,0.025830258302583026,5,COCO
75,[225166 263913 281283 314234 416219 519887 521931 916838],8, 5401047 7445935,2018-05-01,COCO,0.025830258302583026,8,COCO
76,[416219 418129 471775 842240 963615],5, 6033 6026,2018-05-01,COCO,0.025830258302583026,5,COCO
77,[281283 416219 519887 531392 842240 916838 963615 971686],8, 6033 7445935,2018-05-01,COCO,0.025830258302583026,8,COCO
78,[281283 416219 505859 519887 563837 916838],6, 6033 5401047,2018-05-01,COCO,0.025830258302583026,6,COCO
79,[521931 553832 616225 849812 913872],5, 5401046 6026,2018-05-01,COCO,0.025830258302583026,5,COCO
80,[308169 364658 521931 616225 849812],5, 5401046 5401047,2018-05-01,COCO,0.025830258302583026,5,COCO
81,[ 565366  610249  719763  754685 1014685 1047955 1048011],7, 6027 6026,2018-05-01,COCO,0.025830258302583026,7,COCO
82,[ 123777  376091  445678  745257 1071032],5, 4190175 19419902,2018-05-01,COCO,0.025830258302583026,5,COCO
83,[123777 376091 381294 745257 881061],5, 3461030 19419902,2018-05-01,COCO,0.025830258302583026,5,COCO
84,"[ 315774  416219  471775  526400  535929  536334  584447  752568  957240
  989025  995860 1007975 1008376 1036452 1037646 1070069 1082751]",17, 13600075 6026,2018-06-01,COCO,0.027675276752767528,17,COCO
85,[ 199673  472871  903640  949836  980801 1037646 1071032],7, 4190175 19419902,2018-06-01,COCO,0.027675276752767528,7,COCO
86,[ 588730  842314  911614 1001550 1097861],5, 5401047 6033,2018-06-01,COCO,0.027675276752767528,5,COCO
87,[505859 519885 536334 572285 597442 971894],6, 6027 6026,2018-06-01,COCO,0.027675276752767528,6,COCO
88,[144164 842314 914623 949836 980801],5, 3461030 19419902,2018-06-01,COCO,0.027675276752767528,5,COCO
89,[ 490024  584447  588730  911614 1001550],5, 8287519 6033,2018-06-01,COCO,0.027675276752767528,5,COCO
90,"[ 105293  110899  114666  118478  147589  167694  187833  199984  235462
  251568  270220  314647  368080  403445  425954  427096  427250  432305
  451363  464331  588437  602580  604098  607784  612824  616689  739860
  751640  957469 1052581 1095891 1106546]",32, 12520268 451,2018-07-01,COCO,0.02952029520295203,32,COCO
91,"[ 363692  468837  519885  536334  555714  567971  578639  754776  860435
  979705  998545 1007975 1008376 1014685 1047955 1082751 1097861 1152434]",18, 13600075 6026,2018-07-01,COCO,0.02952029520295203,18,COCO
92,[ 468837  553832  578639  963615  979705 1038493],6, 6033 6026,2018-07-01,COCO,0.02952029520295203,6,COCO
93,[348255 469829 521883 532337 542073 553832 563837 979705],8, 6033 7445935,2018-07-01,COCO,0.02952029520295203,8,COCO
94,[103371 263913 348255 356182 521883 553832 863993 979705],8, 5401046 7445935,2018-07-01,COCO,0.02952029520295203,8,COCO
95,[ 505859  563837  578639  979705 1099331],5, 5401047 6033,2018-07-01,COCO,0.02952029520295203,5,COCO
97,[468837 490024 505859 578639 979705],5, 8287519 6033,2018-07-01,COCO,0.02952029520295203,5,COCO
98,"[ 519885  542084  614220  619437  749038  754776  860435  891917  979497
  979705 1007975 1037646 1082751 1113856 1152434 1155422 1179263]",17, 13600075 6026,2018-08-01,COCO,0.03136531365313653,17,COCO
99,"[ 114666  118478  167694  187833  199984  292347  314647  351686  425954
  427096  427250  528367  602580  604098  681522  751640  777319 1095891
 1163691 1167617 1168767 1171591]",22, 12520268 451,2018-08-01,COCO,0.03136531365313653,22,COCO
100,[ 519885  614220  988692  998545 1082751 1152434],6, 19419902 13600075,2018-08-01,COCO,0.03136531365313653,6,COCO
101,[ 123777  614220  893157  993844 1071032 1082751 1150527 1172145],8, 4190175 19419902,2018-08-01,COCO,0.03136531365313653,8,COCO
102,[ 294115  619437  979497 1097861 1152434],5, 5401047 6026,2018-08-01,COCO,0.03136531365313653,5,COCO
103,[ 143238  294115  399107  518902  550646  966582 1152434],7, 5401047 7445935,2018-08-01,COCO,0.03136531365313653,7,COCO
104,[ 294115  416219  519885  849812  963615 1097861 1152434],7, 6033 6026,2018-08-01,COCO,0.03136531365313653,7,COCO
105,[ 294115  399107  518902  521894  963615 1152434],6, 6033 7445935,2018-08-01,COCO,0.03136531365313653,6,COCO
106,[ 294115  399107  518902 1097861 1152434],5, 6033 5401047,2018-08-01,COCO,0.03136531365313653,5,COCO
107,[ 550646  966582  979497 1048518 1152434],5, 5401046 5401047,2018-08-01,COCO,0.03136531365313653,5,COCO
108,[ 103814  363093  544077  988692 1152434],5, 3461016 18064205,2018-08-01,COCO,0.03136531365313653,5,COCO
109,"[ 108938  114666  118478  133892  167694  187833  199984  235462  244827
  270220  292347  314647  368080  403445  425954  427250  432305  438350
  451363  464331  483533  521982  523545  602580  604098  607784  612824
  616689  751640  903640  957469 1061637 1095891 1163691 1166148 1167207
 1167617 1168767 1171591 1198352]",40, 12520268 451,2018-09-01,COCO,0.033210332103321034,40,COCO
110,"[ 471775  519469  526399  614220  719763  752568  754789  849812  995513
  995860  998545 1048011 1058591 1152434 1155422 1174591]",16, 13600075 6026,2018-09-01,COCO,0.033210332103321034,16,COCO
111,[471775 490024 545984 824398 916245],5, 5401047 7445935,2018-09-01,COCO,0.033210332103321034,5,COCO
112,[ 381069  737878  772088  824398  963615 1155422 1173969],7, 6033 6026,2018-09-01,COCO,0.033210332103321034,7,COCO
113,[490024 518902 545984 737878 824398 963615],6, 6033 7445935,2018-09-01,COCO,0.033210332103321034,6,COCO
114,[ 400722  455008  490024  508618  545984  824398  911614 1155422],8, 6033 5401047,2018-09-01,COCO,0.033210332103321034,8,COCO
115,[ 400722  508618  552972  911665  963615 1181464],6, 7892095 6033,2018-09-01,COCO,0.033210332103321034,6,COCO
