,user_ids,support,itemsets,period,property_values,depth,size,SEX,itemset_name
10,"[103371, 108526, 139113, 188482, 241671, 274400, 316008, 368624, 445001, 447321, 458921, 554567, 558639, 717341, 900950, 917953]",16, 4125 4112,2018-01-08,M,0.5,16,M,"['RECHARGE LAVAGE TW - A', 'LAVAGE CLU']"
11,"[101749, 105919, 109525, 111890, 122918, 125579, 127145, 129166, 135063, 139113, 142372, 145478, 148775, 150164, 152806, 208423, 220306, 222847, 227142, 227677, 230440, 240562, 249024, 250397, 269882, 272234, 279798, 285995, 287608, 298450, 309563, 323804, 333183, 344704, 361859, 372811, 380689, 406407, 406430, 409846, 411452, 413969, 419058, 422901, 434047, 434197, 435281, 460754, 464842, 468749, 476509, 489117, 521974, 523374, 526976, 537872, 553886, 554132, 626395, 655983, 668724, 717621, 733250, 736206, 751706, 759557, 795345, 845419, 849063, 888861, 896293, 897112, 917858, 925187, 934392, 955263, 957813, 976041, 996223, 1039714, 1043765]",81, 4126,2018-01-08,M,0.5,81,M,['RECHARGE LAVAGE']
12,"[139113, 208423, 279798, 434197, 435281, 464842, 795345]",7, 4126 4112,2018-01-08,M,0.5,7,M,"['RECHARGE LAVAGE', 'LAVAGE CLU']"
13,"[139113, 142372, 897112]",3, 4126 4125,2018-01-08,M,0.5,3,M,"['RECHARGE LAVAGE', 'RECHARGE LAVAGE TW - A']"
14,[139113],1, 4126 4125 4112,2018-01-08,M,0.5,1,M,"['RECHARGE LAVAGE', 'RECHARGE LAVAGE TW - A', 'LAVAGE CLU']"
15,"[104293, 113376, 118478, 127790, 177373, 244827, 248473, 251568, 266488, 270220, 270517, 314647, 368496, 379133, 381310, 384122, 399356, 403445, 425954, 427096, 427250, 434897, 451363, 460228, 462037, 464331, 483533, 489886, 503953, 519059, 529629, 543214, 551617, 567220, 579124, 593782, 603391, 612824, 616689, 618929, 751640, 752912, 970438, 976717, 1011189, 1017422, 1041469, 1043824]",48, 163,2018-01-08,M,0.5,48,M,['product-451']
16,[368496],1, 163 4112,2018-01-08,M,0.5,1,M,"['product-451', 'LAVAGE CLU']"
17,"[112455, 146012, 159450, 168142, 198194, 219353, 224478, 287468, 301402, 315049, 320316, 361859, 373747, 411215, 450648, 459432, 464927, 514476, 528757, 533789, 622143, 717621, 770475, 818643, 869865, 876067, 883193, 955690, 972883, 977226]",30, 4074,2018-01-08,M,0.5,30,M,['BIDON AD BLUE 10L']
18,"[159450, 224478, 315049, 869865]",4, 4074 4112,2018-01-08,M,0.5,4,M,"['BIDON AD BLUE 10L', 'LAVAGE CLU']"
19,[514476],1, 4074 4125,2018-01-08,M,0.5,1,M,"['BIDON AD BLUE 10L', 'RECHARGE LAVAGE TW - A']"
20,"[361859, 717621]",2, 4074 4126,2018-01-08,M,0.5,2,M,"['BIDON AD BLUE 10L', 'RECHARGE LAVAGE']"
21,"[625643, 749414, 752568, 828469, 849812, 913872, 964774, 971440, 975522, 979705, 988692, 1007975, 1034094, 1036452, 1037072, 1043402, 1052503]",17, 263,2018-01-08,M,0.5,17,M,['REMISE BUS AUTOROUTE 9\x80']
22,"[157503, 188229, 265921, 286554, 287831, 318269, 323046, 323540, 389860, 424511, 435281, 443011, 458921, 459432, 460228, 461322, 499840, 528558, 540942, 547017, 555398, 577441, 589702, 596083, 601555, 612790, 613452, 751822, 794721]",29, 2968,2018-01-08,M,0.5,29,M,['TW 10 LINGUETTE']
23,"[286554, 287831, 323046, 389860, 435281, 458921, 577441, 612790]",8, 2968 4112,2018-01-08,M,0.5,8,M,"['TW 10 LINGUETTE', 'LAVAGE CLU']"
24,[458921],1, 2968 4125 4112,2018-01-08,M,0.5,1,M,"['TW 10 LINGUETTE', 'RECHARGE LAVAGE TW - A', 'LAVAGE CLU']"
25,[435281],1, 2968 4126 4112,2018-01-08,M,0.5,1,M,"['TW 10 LINGUETTE', 'RECHARGE LAVAGE', 'LAVAGE CLU']"
26,[460228],1, 2968 163,2018-01-08,M,0.5,1,M,"['TW 10 LINGUETTE', 'product-451']"
27,[459432],1, 2968 4074,2018-01-08,M,0.5,1,M,"['TW 10 LINGUETTE', 'BIDON AD BLUE 10L']"
28,"[123499, 125899, 247551, 290268, 291218, 348948, 371519, 439115, 443780, 466979, 470752, 488933, 651048, 740142, 794611, 822265, 890276, 951130, 968996, 1045002]",20, 4136,2018-01-08,M,0.5,20,M,['RECHARGE LAVAGE TW - D']
29,"[290268, 439115, 470752]",3, 4136 4112,2018-01-08,M,0.5,3,M,"['RECHARGE LAVAGE TW - D', 'LAVAGE CLU']"
30,"[191995, 350143, 370690, 428651, 540247, 734723, 849812, 964774, 971440, 979705, 988692, 1036452, 1043402]",13, 1547,2018-01-08,M,0.5,13,M,['SAC BOUTIQUE KRAFT']
31,"[849812, 964774, 971440, 979705, 988692, 1036452, 1043402]",7, 1547 263,2018-01-08,M,0.5,7,M,"['SAC BOUTIQUE KRAFT', 'REMISE BUS AUTOROUTE 9\x80']"
32,"[131348, 137677, 242569, 244024, 253734, 266917, 314813, 399352, 460584, 464927, 560282, 596052, 599670, 611043, 831241, 871654]",16, 2946,2018-01-08,M,0.5,16,M,['TW  LAVE GLACE']
33,"[399352, 599670]",2, 2946 4125,2018-01-08,M,0.5,2,M,"['TW  LAVE GLACE', 'RECHARGE LAVAGE TW - A']"
34,[464927],1, 2946 4074,2018-01-08,M,0.5,1,M,"['TW  LAVE GLACE', 'BIDON AD BLUE 10L']"
35,"[112979, 138395, 144032, 166799, 318233, 330084, 351855, 400788, 427936, 449925, 520267, 523099, 863202, 924231, 964485, 964806]",16, 4127,2018-01-08,M,0.5,16,M,['REC LAVAGE PJE  20 U']
36,"[111880, 185297, 242526, 261185, 331420, 414188, 444776, 475808, 476509, 515371, 783085, 964386, 989745]",13, 2971,2018-01-08,M,0.5,13,M,['LAVE  GLACE DEG']
37,[475808],1, 2971 4112,2018-01-08,M,0.5,1,M,"['LAVE  GLACE DEG', 'LAVAGE CLU']"
38,[476509],1, 2971 4126,2018-01-08,M,0.5,1,M,"['LAVE  GLACE DEG', 'RECHARGE LAVAGE']"
39,"[131348, 170729, 201887, 203771, 327025, 336107, 337309, 432995, 500021, 549263, 558778, 602538, 749724, 989745]",14, 4129,2018-01-08,M,0.5,14,M,['REC LAVAGE PJE']
40,[131348],1, 4129 2946,2018-01-08,M,0.5,1,M,"['REC LAVAGE PJE', 'TW  LAVE GLACE']"
41,"[193469, 518800, 602830, 876118, 975853]",5, 4130,2018-01-08,M,0.5,5,M,['ASPIRATEUR']
42,"[128265, 238881, 281988, 400788, 554567, 892554, 915429, 1014033]",8, 4099,2018-01-08,M,0.5,8,M,['LAVAGE 1 PLEIN']
43,"[238881, 554567]",2, 4099 4125,2018-01-08,M,0.5,2,M,"['LAVAGE 1 PLEIN', 'RECHARGE LAVAGE TW - A']"
44,[554567],1, 4099 4125 4112,2018-01-08,M,0.5,1,M,"['LAVAGE 1 PLEIN', 'RECHARGE LAVAGE TW - A', 'LAVAGE CLU']"
45,[400788],1, 4099 4127,2018-01-08,M,0.5,1,M,"['LAVAGE 1 PLEIN', 'REC LAVAGE PJE  20 U']"
46,"[106232, 204046, 224581, 433003, 456558, 578150, 595152, 773826, 896406]",9, 4128,2018-01-08,M,0.5,9,M,['REC LAVAGE PJE 35U']
47,"[204046, 578150]",2, 4128 4112,2018-01-08,M,0.5,2,M,"['REC LAVAGE PJE 35U', 'LAVAGE CLU']"
48,"[191307, 193469, 518800, 570069, 876118, 905482]",6, 4131,2018-01-08,M,0.5,6,M,['LAVAGE 2 PLEIN TARIF']
49,"[191307, 518800]",2, 4131 4112,2018-01-08,M,0.5,2,M,"['LAVAGE 2 PLEIN TARIF', 'LAVAGE CLU']"
50,"[193469, 518800, 876118]",3, 4131 4130,2018-01-08,M,0.5,3,M,"['LAVAGE 2 PLEIN TARIF', 'ASPIRATEUR']"
51,[518800],1, 4131 4130 4112,2018-01-08,M,0.5,1,M,"['LAVAGE 2 PLEIN TARIF', 'ASPIRATEUR', 'LAVAGE CLU']"
52,"[169564, 216620, 309153, 322520, 336921, 537145, 575459]",7, 688,2018-01-08,M,0.5,7,M,['CR EVIAN PET 50CL']
53,"[169564, 336921, 575459]",3, 688 4112,2018-01-08,M,0.5,3,M,"['CR EVIAN PET 50CL', 'LAVAGE CLU']"
54,"[322520, 548543, 600388, 1054116]",4, 721,2018-01-08,M,0.5,4,M,['BD. PAIN CHOCOLAT PAC']
55,"[192516, 278593, 451417, 548543, 888684]",5, 1738,2018-01-08,M,0.5,5,M,['CR CAFE EXPRESSO']
56,[548543],1, 1738 721,2018-01-08,M,0.5,1,M,"['CR CAFE EXPRESSO', 'BD. PAIN CHOCOLAT PAC']"
57,"[347476, 428651, 602814, 971440]",4, 5941,2018-01-08,M,0.5,4,M,['COCA COLA SLIM']
58,[602814],1, 5941 4112,2018-01-08,M,0.5,1,M,"['COCA COLA SLIM', 'LAVAGE CLU']"
59,"[428651, 971440]",2, 5941 1547,2018-01-08,M,0.5,2,M,"['COCA COLA SLIM', 'SAC BOUTIQUE KRAFT']"
60,"[270220, 425954, 957469]",3, 1622,2018-01-08,M,0.5,3,M,['CR PAIN AU CHOCOLAT']
61,"[270220, 425954]",2, 1622 163,2018-01-08,M,0.5,2,M,"['CR PAIN AU CHOCOLAT', 'product-451']"
62,"[350143, 561252, 1039954]",3, 3438,2018-01-08,M,0.5,3,M,['PAIN CHOCOLAT X2 85G']
63,"[734723, 979705, 988692]",3, 5344 1547,2018-01-08,M,0.5,3,M,"['CHOUPETTE 28G L', 'SAC BOUTIQUE KRAFT']"
64,"[216620, 322520, 325831, 336921, 537145]",5, 608,2018-01-08,M,0.5,5,M,['CR SAND PREMIUM']
65,"[216620, 322520, 336921, 537145]",4, 608 688,2018-01-08,M,0.5,4,M,"['CR SAND PREMIUM', 'CR EVIAN PET 50CL']"
66,"[351640, 425954, 490096]",3, 1825,2018-01-08,M,0.5,3,M,['MALBORO']
67,"[454097, 584174, 1034094]",3, 2643,2018-01-08,M,0.5,3,M,['OASIS TROPICAL']
68,"[196143, 455312, 768034, 975853]",4, 4132,2018-01-08,M,0.5,4,M,['LAVAGE 3 PLEIN']
69,[975853],1, 4132 4130,2018-01-08,M,0.5,1,M,"['LAVAGE 3 PLEIN', 'ASPIRATEUR']"
70,"[191835, 386196, 554667, 605261, 838612]",5, 4137,2018-01-08,M,0.5,5,M,['REC LAVAGE PJE 97 U']
71,"[149579, 1034094]",2, 4439,2018-01-08,M,0.5,2,M,['product-3502110009449']
72,"[196163, 370690, 393967, 428547, 798831]",5, 6722,2018-01-08,M,0.5,5,M,['SAN PELLEGRINO 1L']
73,"[351640, 425954]",2, 389 1825,2018-01-08,M,0.5,2,M,"['MARLBORO', 'MALBORO']"
74,"[112044, 169564, 352928, 505071]",4, 611,2018-01-08,M,0.5,4,M,['CR SDW PARISIEN BY NORBERT']
75,"[292422, 951497]",2, 2368,2018-01-08,M,0.5,2,M,['EVIAN 50CL']
76,"[152806, 527840, 571913]",3, 2911,2018-01-08,M,0.5,3,M,['TW 16 LINGETTES PLASTIQUES']
77,[152806],1, 2911 4126,2018-01-08,M,0.5,1,M,"['TW 16 LINGETTES PLASTIQUES', 'RECHARGE LAVAGE']"
78,"[380689, 393938, 573223, 602583]",4, 2945,2018-01-08,M,0.5,4,M,['TW LAVE GLACE H 2L']
79,[380689],1, 2945 4126,2018-01-08,M,0.5,1,M,"['TW LAVE GLACE H 2L', 'RECHARGE LAVAGE']"
80,"[192516, 540247, 697228]",3, 3509,2018-01-08,M,0.5,3,M,['CRISTALINE 50CL']
81,"[752568, 1007975, 1043402]",3, 3622 263,2018-01-08,M,0.5,3,M,"['CREP CHOCO WHAO', 'REMISE BUS AUTOROUTE 9\x80']"
82,"[201438, 395636, 1032002]",3, 6894,2018-01-08,M,0.5,3,M,['LAMPE H7 12V 55W PREMIU']
83,"[169564, 352928, 540247]",3, 1615,2018-01-08,M,0.5,3,M,['CR FLAN NATURE']
84,"[169564, 352928]",2, 1615 611 4112,2018-01-08,M,0.5,2,M,"['CR FLAN NATURE', 'CR SDW PARISIEN BY NORBERT', 'LAVAGE CLU']"
85,[169564],1, 1615 611 688 4112,2018-01-08,M,0.5,1,M,"['CR FLAN NATURE', 'CR SDW PARISIEN BY NORBERT', 'CR EVIAN PET 50CL', 'LAVAGE CLU']"
86,[495076],1, 1665,2018-01-08,M,0.5,1,M,['product-20619746']
87,"[318927, 418229, 816747]",3, 1699,2018-01-08,M,0.5,3,M,['LAVAGE MANUEL']
88,[418229],1, 1699 4125,2018-01-08,M,0.5,1,M,"['LAVAGE MANUEL', 'RECHARGE LAVAGE TW - A']"
89,"[370690, 425954]",2, 1871,2018-01-08,M,0.5,2,M,['CR CHAUSSON AUX POMMES 120G']
90,[425954],1, 1871 389 163 1622 1825,2018-01-08,M,0.5,1,M,"['CR CHAUSSON AUX POMMES 120G', 'MARLBORO', 'product-451', 'CR PAIN AU CHOCOLAT', 'MALBORO']"
91,"[449166, 752568]",2, 1986,2018-01-08,M,0.5,2,M,['DOLE PECHE SIRO']
92,"[468426, 971440]",2, 2362,2018-01-08,M,0.5,2,M,['EVIAN FREERIDE 75 CL']
93,"[415502, 500462, 942898]",3, 2369,2018-01-08,M,0.5,3,M,['EVIAN 1L PET*']
94,"[500462, 942898]",2, 2369 4112,2018-01-08,M,0.5,2,M,"['EVIAN 1L PET*', 'LAVAGE CLU']"
95,[580094],1, 2549,2018-01-08,M,0.5,1,M,['HARIBO ZAN MENTHE 12G JLC']
96,"[199673, 828469, 942898]",3, 2645,2018-01-08,M,0.5,3,M,['PULCO CITRONNADE 50CL']
97,"[122110, 964774, 1001980]",3, 2825,2018-01-08,M,0.5,3,M,['BN MADELEINES 1']
98,"[734723, 988692, 1037072]",3, 3261,2018-01-08,M,0.5,3,M,['FUSILLI FROMAGE 300G']
99,"[988692, 1037072]",2, 3261 263,2018-01-08,M,0.5,2,M,"['FUSILLI FROMAGE 300G', 'REMISE BUS AUTOROUTE 9\x80']"
100,"[734723, 988692]",2, 3261 5344 1547,2018-01-08,M,0.5,2,M,"['FUSILLI FROMAGE 300G', 'CHOUPETTE 28G L', 'SAC BOUTIQUE KRAFT']"
101,"[310155, 451669]",2, 3517,2018-01-08,M,0.5,2,M,['CROIBLEU SEVE PIN 100G']
102,"[913872, 988692]",2, 3652 263,2018-01-08,M,0.5,2,M,"['YOP FRUITS ROUGES 500G', 'REMISE BUS AUTOROUTE 9\x80']"
103,"[199519, 351640, 584174]",3, 3878,2018-01-08,M,0.5,3,M,['XXL PLET ROTI CRUD. 230G']
104,"[149579, 292422, 618550]",3, 3881,2018-01-08,M,0.5,3,M,['SDW DAUNAT MINI']
105,"[321172, 533706, 539813]",3, 4101,2018-01-08,M,0.5,3,M,['LAVAGE 4 PLEIN']
106,[539813],1, 4101 4112,2018-01-08,M,0.5,1,M,"['LAVAGE 4 PLEIN', 'LAVAGE CLU']"
107,"[280693, 350965, 446979]",3, 4104,2018-01-08,M,0.5,3,M,['LAVAGE 6 PLEIN TARIF']
108,[602830],1, 4135 4130,2018-01-08,M,0.5,1,M,"['LAVAGE HP', 'ASPIRATEUR']"
109,"[113725, 290268, 291218]",3, 4632,2018-01-08,M,0.5,3,M,['NET.JANTE 500ML NEOCLEAN']
110,"[290268, 291218]",2, 4632 4136,2018-01-08,M,0.5,2,M,"['NET.JANTE 500ML NEOCLEAN', 'RECHARGE LAVAGE TW - D']"
111,[290268],1, 4632 4136 4112,2018-01-08,M,0.5,1,M,"['NET.JANTE 500ML NEOCLEAN', 'RECHARGE LAVAGE TW - D', 'LAVAGE CLU']"
112,"[1008533, 1037072]",2, 5606,2018-01-08,M,0.5,2,M,['FANTA ORANGE PET 50CL']
113,"[199673, 734723]",2, 5829,2018-01-08,M,0.5,2,M,['PIMS FRAMBOISE 150G']
114,"[625643, 923299, 942898]",3, 5844,2018-01-08,M,0.5,3,M,['GAUFFRE LIEGE CHOCO X5 225G LOTUS']
115,"[540247, 913872, 998545]",3, 5925,2018-01-08,M,0.5,3,M,['COCA COLA  1L']
116,"[565138, 1036452]",2, 6293,2018-01-08,M,0.5,2,M,['LION PEANUT 2 PACK 62G']
117,"[199519, 1036452]",2, 6398,2018-01-08,M,0.5,2,M,['MILKA CHOCO SUPREME 150G']
118,"[369769, 494293, 975522]",3, 6969,2018-01-08,M,0.5,3,M,['RED BULL BTE 25CL']
119,"[485052, 496856]",2, 1,2018-01-08,M,0.5,2,M,['product-1']
120,"[264688, 401190]",2, 3,2018-01-08,M,0.5,2,M,['product-3']
121,"[149806, 579539]",2, 57,2018-01-08,M,0.5,2,M,['product-100']
122,[321672],1, 277,2018-01-08,M,0.5,1,M,['product-11679']
123,"[187947, 316593]",2, 285,2018-01-08,M,0.5,2,M,['product-19378']
124,"[387325, 413973]",2, 408,2018-01-08,M,0.5,2,M,['BUTANE MALICE 6']
125,"[190168, 630496]",2, 431,2018-01-08,M,0.5,2,M,['CAFE EXPRESSO']
126,"[112044, 216620]",2, 604,2018-01-08,M,0.5,2,M,['CR SANDWICH CAP']
127,"[113527, 798831]",2, 610,2018-01-08,M,0.5,2,M,['CRO HOT DOG BACON CHEESE']
128,"[325831, 888684]",2, 709,2018-01-08,M,0.5,2,M,['CR TARTE CITRON MERINGUÉET']
129,"[372108, 549754]",2, 1037,2018-01-08,M,0.5,2,M,['BD SDW BRIOCHE']
130,"[156096, 188938]",2, 1532 4112,2018-01-08,M,0.5,2,M,"['product-12520046', 'LAVAGE CLU']"
131,"[335334, 588965]",2, 1533,2018-01-08,M,0.5,2,M,['product-12520053']
132,[515371],1, 1541 2971,2018-01-08,M,0.5,1,M,"['PRIME CARTE A GRATTER COCA COLA', 'LAVE  GLACE DEG']"
133,"[451669, 966333]",2, 1683,2018-01-08,M,0.5,2,M,['HOLLYW.CHLORO.20 DRAG 28G']
