,user_ids,support,itemsets,period,property_values,depth,size,SEX,itemset_name
0,"[250397, 433003, 479753, 542513, 607089, 957813]",6, 1053 1482 1487,2018-04-01,M,0.0,6,M,['BDG ECLAIR CHOCOLAT']
3,"[578639, 619437, 752568, 1007975, 1014685]",5, 904 482 87,2018-04-01,M,0.0,5,M,[]
5,"[108938, 114666, 127790, 224585, 464331, 588437, 607784, 832102]",8, 1917 962 59,2018-04-01,M,0.0,8,M,['BD MUFFIN TOBLERONE']
8,"[108938, 114666, 127790, 222001, 588437]",5, 1917 2259 962,2018-04-01,M,0.0,5,M,"['BD MUFFIN TOBLERONE', 'YRT DANIO PASSI']"
9,"[428202, 752568, 1007975, 1037646, 1060608]",5, 1578 482 87,2018-04-01,M,0.0,5,M,[]
13,"[154953, 212834, 387123, 410856, 607089, 839968, 953213]",7, 2095 1482 1952,2018-05-01,M,0.3333333333333333,7,M,['BDG ECLAIR CHOCOLAT']
14,"[336312, 348380, 364930, 403828, 607089, 761035]",6, 2095 1482 1953,2018-05-01,M,0.3333333333333333,6,M,['BDG ECLAIR CHOCOLAT']
21,"[118478, 314647, 422933, 513268, 588437, 970438, 1030087]",7, 1842 59 1952,2018-05-01,M,0.3333333333333333,7,M,['NESTEA PECHE 50']
25,"[205109, 251568, 423574, 451363, 588437]",5, 59 1053 1952,2018-05-01,M,0.3333333333333333,5,M,[]
26,"[849812, 1014685, 1048011, 1060608, 1082751]",5, 910 482 87,2018-05-01,M,0.3333333333333333,5,M,[]
29,"[264020, 440924, 464842, 502470, 578038, 607089, 832718]",7, 1487 1482 1953,2018-05-01,M,0.3333333333333333,7,M,['BDG ECLAIR CHOCOLAT']
30,"[125579, 132253, 242000, 322207, 350390, 359007, 376431, 382944, 410856, 461078, 502470, 607089, 839968, 1057667]",14, 1487 1482 1952,2018-05-01,M,0.3333333333333333,14,M,['BDG ECLAIR CHOCOLAT']
33,"[101205, 172631, 247754, 462697, 502470, 607089]",6, 1482 1953 1952,2018-05-01,M,0.3333333333333333,6,M,['BDG ECLAIR CHOCOLAT']
34,"[100186, 217162, 257643, 271452, 342688, 366994, 467169, 588437, 866495, 875212, 884542, 992699]",12, 1842 1053 1952,2018-05-01,M,0.3333333333333333,12,M,['NESTEA PECHE 50']
35,"[752568, 1007975, 1008376, 1014685, 1082751]",5, 910 482 87,2018-06-01,M,0.6666666666666666,5,M,[]
