,user_ids,support,itemsets,period,property_values,depth,size,a,itemset_name
510,"[105649, 111432, 115334, 126718, 153850, 165785, 171799, 176162, 188482, 197678, 206024, 208744, 209010, 252901, 273864, 274953, 281256, 295124, 298742, 317586, 327452, 328952, 344970, 363045, 366567, 372638, 380944, 385630, 390982, 405310, 447143, 451082, 461875, 463550, 476652, 481388, 486023, 492488, 497798, 502556, 507933, 511013, 532781, 536074, 537265, 538955, 548581, 558934, 578715, 579353, 597370, 606741, 622767, 626163, 716095, 741484, 808804, 818420, 836821, 879507, 886119, 895812, 897154, 908076, 911256, 941598, 964485, 974216, 1015669, 1018623, 1025791, 1028364, 1068315, 1089775, 1124305, 1153136, 1172388, 1193377, 1194623]",79, 4129 4116,2018-09-01,1,0.0,79,1,"['LAVAGECLU', 'RECHARGELAVAGETW-A']"
511,"[102136, 130464, 139113, 173559, 188482, 189637, 200564, 274953, 281256, 339822, 340446, 341716, 361353, 365174, 410397, 438131, 484135, 504317, 506588, 515602, 538955, 553151, 554586, 578715, 597370, 606450, 616355, 634282, 686919, 704043, 732484, 740249, 818420, 897112, 929267, 968700, 998975, 1003499, 1009063, 1027170, 1037370, 1044582, 1050419, 1098836, 1115724, 1120736, 1159127, 1161081]",48, 4129 4130,2018-09-01,1,0.0,48,1,"['RECHARGELAVAGE', 'RECHARGELAVAGETW-A']"
513,"[100009, 101246, 101392, 101581, 101652, 104311, 105892, 106150, 106186, 106442, 106730, 107225, 108468, 109527, 109711, 109910, 110569, 110590, 111432, 111896, 112436, 113566, 114817, 115016, 115880, 116737, 118302, 118364, 119521, 121730, 122861, 123708, 124069, 124132, 124464, 125555, 126006, 126548, 129105, 130015, 130769, 130996, 131188, 131320, 132014, 132046, 134545, 136271, 137806, 137955, 138187, 139113, 141220, 141311, 141312, 141636, 141648, 141652, 141681, 141778, 142984, 143941, 144250, 145017, 146201, 147984, 148440, 149020, 149662, 152339, 152438, 152484, 152621, 153970, 154248, 154536, 156705, 157561, 157573, 157796, 158388, 158554, 158672, 161827, 162148, 162689, 162826, 164245, 165109, 165145, 165375, 165765, 166252, 167209, 167996, 168799, 168956, 169094, 169558, 169955, 170777, 171480, 171615, 171711, 171799, 172457, 172679, 172822, 173656, 174578, 174604, 174731, 174839, 175080, 175673, 176750, 177933, 178911, 179113, 179122, 180601, 180654, 180667, 181027, 181697, 181867, 183931, 184251, 186240, 187189, 187606, 187930, 188309, 190280, 191346, 191517, 191747, 191835, 192198, 192951, 193058, 193807, 193818, 194283, 195246, 195384, 196667, 197452, 197892, 198525, 199576, 200375, 200596, 200628, 200739, 201396, 202371, 203373, 203487, 203590, 204046, 204431, 204765, 205024, 205683, 205793, 206402, 206991, 207309, 208423, 208598, 208883, 209038, 209677, 212450, 213075, 213730, 220021, 220201, 220594, 221882, 222012, 222847, 223161, 224472, 224509, 225255, 226302, 226774, 227626, 227768, 228020, 228118, 229099, 230124, 230822, 230884, 230896, 232528, 233501, 233592, 234914, 238005, 238161, 238322, 240151, 241533, 242524, 243592, 245092, 247595, 248072, 248336, 249535, 249736, 251428, 251477, 253296, 253379, 253778, 253781, 254833, 254849, 255972, 256648, 256728, 260019, 260114, 260199, 261752, 262379, 263706, 263990, 265350, 267463, 268921, 270237, 272943, 274371, 275134, 275275, 275398, 277677, 279401, 279540, 280156, 280693, 280966, 283553, 285067, 285611, 285933, 286170, 286753, 286963, 287131, 287867, 287925, 289051, 289259, 289822, 289918, 290045, 290835, 291165, 291363, 292654, 293607, 293943, 293965, 296033, 296832, 296915, 296978, 297113, 297354, 299637, 300450, 300916, 301157, 301591, 302588, 303182, 303602, 304487, 304901, 308273, 309113, 309149, 309475, 309563, 310155, 312856, 313130, 313674, 314607, 314636, 315579, 316368, 318114, 318245, 319299, 319309, 319718, 319861, 320170, 321180, 321198, 322467, 325031, 325217, 325354, 327491, 329426, 329683, 330072, 330084, 330312, 330866, 331746, 332432, 332943, 334092, 334330, 336514, 337309, 337353, 337617, 337814, 337921, 338762, 339051, 340260, 340412, 341023, 341341, 344415, 344696, 344791, 345500, 347476, 347545, 349205, 349385, 350541, 350768, 350783, 350965, 351983, 352432, 353117, 353724, 354101, 355825, 356763, 359592, 359683, 360750, 361047, 361090, 361353, 361488, 361695, 362516, 362611, 362698, 364206, 364367, 364676, 364850, 365043, 365989, 366241, 366535, 366573, 367212, 367391, 368517, 368753, 369391, 369474, 369769, 370453, 370568, 372468, 373317, 374485, 374604, 374935, 375108, 375230, 375618, 376431, 376854, 377062, 377366, 378081, 380569, 380881, 381915, 382117, 383912, 384017, 385630, 386680, 387114, 387239, 387325, 387459, 388097, 388222, 388248, 388392, 388728, 389097, 389312, 389628, 389853, 391490, 393261, 393298, 394345, 396106, 396392, 396597, 396774, 397187, 397622, 398225, 398534, 400253, 400749, 401082, 401190, 401508, 401848, 405113, 405439, 406490, 407077, 407912, 408037, 408382, 409613, 410571, 410741, 411179, 411438, 411452, 411679, 412572, 414076, 414193, 415008, 415742, 415780, 416795, 417557, 418716, 418808, 418965, 419594, 419668, 419979, 421226, 422933, 424321, 424857, 426036, 426341, 427662, 429092, 429379, 429527, 429896, 429948, 430932, 431350, 431743, 433359, 433889, 435404, 436180, 436727, 438369, 438932, 439714, 440908, 441375, 441993, 442248, 442282, 444540, 444803, 445612, 445789, 446165, 449233, 449280, 450524, 450776, 451669, 451897, 453338, 453529, 454907, 455334, 455458, 455688, 456219, 458081, 459932, 460202, 460808, 462736, 463969, 465147, 465179, 465266, 467975, 468551, 468749, 469710, 469858, 470165, 470752, 471799, 473484, 474006, 474505, 476566, 477469, 478331, 478931, 479474, 479797, 480061, 480106, 480218, 480255, 480899, 483100, 483493, 484505, 486237, 488781, 489485, 490581, 490823, 491168, 492313, 492444, 492650, 493270, 495076, 495481, 495617, 496318, 496456, 497481, 497798, 498489, 498529, 499127, 499303, 501913, 502622, 502923, 503496, 503898, 504317, 504769, 505787, 506129, 507119, 507552, 507622, 510208, 510627, 510669, 512350, 512805, 513469, 514260, 515307, 515936, 516399, 517918, 518800, 519024, 519802, 519863, 519950, 522268, 522574, 523099, 523421, 524542, 525242, 525249, 526524, 527137, 527626, 527838, 527874, 528008, 528431, 528716, 528960, 529241, 529783, 530814, 532306, 536146, 536487, 536870, 536890, 537182, 537965, 539301, 539509, 539533, 539653, 540226, 540810, 541286, 541513, 543325, 543699, 545130, 545598, 545944, 546750, 548345, 548581, 548678, 549392, 550268, 550874, 550956, 552046, 552282, 555653, 555797, 555882, 556204, 556481, 557034, 559052, 559082, 559419, 560724, 562758, 563386, 563734, 563868, 564203, 564238, 564353, 565670, 566408, 567436, 568233, 569268, 569602, 570444, 570458, 572092, 572243, 573561, 574861, 574979, 575287, 576362, 578455, 578619, 580198, 580277, 580987, 581927, 582527, 582665, 582735, 584815, 585247, 586840, 588382, 588525, 588699, 589066, 589322, 590237, 590713, 591465, 592446, 593459, 593782, 594142, 595248, 596052, 596440, 598769, 598886, 599353, 599789, 600365, 600505, 601110, 601588, 601654, 601724, 602111, 602687, 603301, 604361, 606283, 606739, 606928, 607312, 607593, 610554, 611967, 613272, 614557, 614670, 615570, 616170, 616858, 617424, 618413, 619453, 623406, 623846, 625131, 638941, 640236, 655983, 657804, 657916, 662312, 663939, 665575, 670675, 671927, 678188, 686041, 690546, 694298, 696120, 698237, 705222, 708824, 711253, 711308, 711978, 713391, 715221, 716646, 717552, 723560, 723615, 725596, 731874, 734723, 741468, 742006, 743110, 745446, 747029, 747446, 748021, 755143, 755330, 758197, 760240, 765409, 765780, 779732, 779891, 780125, 781095, 782330, 783600, 789545, 795020, 798317, 798943, 799315, 803292, 804528, 805164, 805211, 814142, 815942, 818139, 825962, 827893, 830180, 832102, 832912, 833153, 835247, 835707, 836943, 837001, 837799, 839577, 841132, 841409, 841657, 843188, 844047, 844279, 844499, 845000, 845238, 845932, 846301, 847660, 864534, 866385, 866785, 867332, 869831, 870078, 871355, 873779, 874415, 876389, 879125, 881058, 881978, 882016, 882416, 882474, 882841, 884245, 884273, 888449, 888764, 889070, 892944, 892959, 893459, 895064, 895185, 896485, 897079, 897783, 898933, 899049, 899176, 899601, 899949, 901658, 901879, 904638, 906151, 907522, 907567, 907974, 909107, 911256, 912494, 912919, 913577, 914100, 918942, 920128, 920814, 922413, 923019, 926125, 926313, 927148, 929119, 930665, 935878, 936000, 938063, 938188, 941075, 941598, 942640, 948710, 952528, 953914, 956000, 956341, 957913, 961599, 963774, 963990, 967786, 968286, 970375, 970654, 970914, 972938, 973987, 974768, 975143, 975853, 978466, 978488, 980272, 984556, 988004, 988923, 990490, 991727, 993892, 995709, 997283, 998638, 999010, 1000230, 1000503, 1001604, 1003159, 1003675, 1005523, 1006301, 1006960, 1009063, 1009163, 1012523, 1012796, 1015022, 1015526, 1016589, 1018851, 1020428, 1020856, 1021696, 1022103, 1022740, 1023349, 1029623, 1029767, 1030310, 1030590, 1031992, 1032905, 1032954, 1033381, 1035023, 1036266, 1036808, 1037198, 1038025, 1038325, 1038955, 1039399, 1040323, 1040595, 1043253, 1046018, 1046200, 1047905, 1052397, 1054560, 1056379, 1056909, 1057085, 1057511, 1057667, 1058826, 1060917, 1063103, 1064192, 1064491, 1065001, 1065835, 1066548, 1066844, 1068195, 1068889, 1070408, 1070412, 1072656, 1072832, 1075258, 1075341, 1077788, 1079124, 1080645, 1082527, 1082641, 1083441, 1084775, 1088585, 1090057, 1090202, 1092742, 1099683, 1100632, 1101837, 1106348, 1107772, 1108193, 1111386, 1111778, 1112698, 1113184, 1115415, 1116016, 1117132, 1117552, 1121044, 1123580, 1132196, 1149491, 1149848, 1150585, 1158305, 1159069, 1159084, 1160772, 1160845, 1160879, 1161081, 1161406, 1165070, 1165600, 1166747, 1167088, 1168082, 1169210, 1169666, 1174871, 1178525, 1179279, 1182559, 1187369]",1035, 2971,2018-09-01,1,0.0,1035,1,['TW10LINGUETTE']
514,"[111432, 119521, 123708, 124069, 130015, 131320, 137806, 141778, 149020, 157573, 158554, 167209, 171711, 171799, 173656, 176750, 177933, 183931, 193807, 203373, 203590, 204046, 205024, 205683, 208423, 209677, 220201, 222012, 227626, 234914, 238161, 243592, 254833, 255972, 256728, 263990, 279401, 280966, 286963, 287925, 289259, 289822, 300450, 310155, 312856, 313130, 313674, 315579, 321198, 329426, 330866, 337814, 361695, 369391, 374604, 376854, 382117, 383912, 385630, 387239, 387325, 393298, 397622, 400253, 408382, 411679, 415780, 419668, 419979, 429379, 429948, 445612, 449280, 450524, 450776, 459932, 467975, 470752, 476566, 478331, 480061, 484505, 490823, 492313, 497481, 497798, 501913, 510627, 512350, 518800, 519802, 527626, 529783, 532306, 536487, 537965, 539509, 543325, 543699, 546750, 548581, 555882, 557034, 560724, 562758, 564203, 578455, 578619, 580987, 582527, 588699, 591465, 595248, 598769, 598886, 614670, 655983, 657916, 694298, 708824, 711978, 723615, 741468, 745446, 747446, 748021, 827893, 837001, 837799, 843188, 845000, 876389, 882474, 888764, 892959, 895064, 906151, 911256, 912919, 913577, 920128, 922413, 941598, 972938, 975853, 999010, 1000503, 1035023, 1038025, 1038325, 1046200, 1052397, 1054560, 1057511, 1065835, 1088585, 1101837, 1112698, 1158305, 1159069, 1166747]",161, 2971 4116,2018-09-01,1,0.0,161,1,"['LAVAGECLU', 'TW10LINGUETTE']"
515,"[106150, 130769, 139113, 141636, 154248, 156705, 157561, 177933, 179113, 191517, 202371, 209677, 222847, 232528, 240151, 245092, 277677, 287131, 293965, 296915, 299637, 300450, 309563, 312856, 332432, 354101, 361353, 365989, 369391, 376431, 380881, 388097, 393261, 394345, 396774, 398225, 407912, 419594, 429379, 444803, 450524, 468749, 470752, 489485, 496456, 498529, 504317, 507622, 537965, 545598, 552282, 562758, 568233, 600365, 747029, 765409, 765780, 805164, 841409, 882841, 884245, 888764, 899601, 912919, 973987, 1009063, 1009163, 1023349, 1030310, 1031992, 1092742, 1106348, 1117552, 1158305, 1161081]",75, 2971 4130,2018-09-01,1,0.0,75,1,"['RECHARGELAVAGE', 'TW10LINGUETTE']"
516,"[108938, 110899, 114666, 118478, 127790, 130532, 133892, 149963, 154300, 156634, 161394, 162567, 187833, 199984, 205109, 206426, 235297, 244827, 251568, 261384, 270220, 275782, 292347, 314647, 368080, 370988, 375021, 403445, 421137, 423574, 425954, 427096, 427250, 432305, 438350, 444802, 445481, 451363, 460228, 464331, 483533, 521982, 523545, 552846, 573259, 600467, 602580, 604098, 607784, 612824, 616689, 731934, 739860, 746930, 751640, 786504, 903640, 943482, 957469, 999796, 1042827, 1045120, 1061637, 1095891, 1103098, 1106966, 1163691, 1166148, 1167207, 1168767, 1171591, 1178295, 1180756, 1196697, 1198352, 1204127, 1205586, 1214239, 1237802]",79, 1538 163,2018-09-01,1,0.0,79,1,['RECHARGECAFÉCLUB2\x80']
517,"[177933, 209677, 300450, 312856, 369391, 429379, 450524, 470752, 537965, 562758, 888764, 912919, 1158305]",13, 2971 4130 4116,2018-09-01,1,0.0,13,1,"['LAVAGECLU', 'RECHARGELAVAGE', 'TW10LINGUETTE']"
518,"[111432, 171799, 385630, 497798, 548581, 911256, 941598]",7, 2971 4129 4116,2018-09-01,1,0.0,7,1,"['LAVAGECLU', 'RECHARGELAVAGETW-A', 'TW10LINGUETTE']"
520,"[101937, 103914, 104293, 105293, 108938, 110899, 111737, 112044, 113036, 113376, 114666, 118478, 121147, 123801, 127790, 128703, 130181, 130532, 133892, 137504, 137871, 138455, 139598, 145875, 147589, 147772, 149963, 152339, 153185, 154300, 156634, 161394, 162055, 162567, 167520, 167694, 173071, 173169, 174585, 177160, 177373, 178797, 187833, 191304, 191532, 191561, 199984, 200082, 201600, 205109, 206426, 207305, 210060, 210355, 214721, 217160, 223966, 226086, 231418, 235297, 235462, 244827, 249736, 251568, 251775, 253171, 253363, 256669, 260419, 261384, 265419, 266458, 266488, 268238, 270220, 270341, 270517, 275377, 275782, 277766, 281988, 284704, 288842, 292347, 293947, 296181, 296486, 302056, 303315, 303666, 303718, 312314, 314647, 322597, 326598, 333147, 333668, 336730, 337424, 338762, 341270, 345108, 345427, 346829, 347715, 353175, 356448, 356857, 363093, 363105, 363412, 365174, 367609, 368080, 370988, 372038, 372212, 372351, 373006, 373230, 373743, 373747, 375021, 375197, 377599, 381310, 385713, 386199, 386947, 389285, 394541, 395023, 395351, 398236, 399356, 400880, 403184, 403445, 407134, 414036, 417954, 418986, 420597, 421137, 422933, 423574, 425954, 427096, 427250, 429595, 431592, 431870, 432305, 433827, 438350, 444802, 445481, 449488, 449745, 451363, 458240, 459432, 460228, 462037, 464331, 464605, 470564, 471630, 471956, 476763, 477520, 480033, 483533, 485289, 485938, 486127, 487076, 490114, 496617, 503953, 505613, 508803, 519059, 520930, 520939, 521306, 521982, 522862, 523132, 523545, 524613, 524777, 528367, 529492, 532364, 539333, 541815, 543699, 543877, 549392, 551617, 551846, 552282, 552846, 554580, 555714, 557602, 558462, 558611, 563375, 565842, 567220, 570894, 571338, 573259, 573477, 574836, 575050, 578813, 580438, 583460, 588423, 589124, 593085, 594619, 597071, 597681, 598520, 600064, 600143, 600467, 601578, 602580, 603391, 604098, 606879, 607784, 608890, 612518, 612824, 615164, 616689, 617099, 619369, 623841, 671315, 673209, 676950, 681522, 690904, 707341, 712477, 716325, 729883, 731934, 733876, 734723, 738639, 739860, 740276, 742398, 746930, 751640, 752912, 758478, 759742, 764017, 786504, 787610, 807917, 822198, 827410, 828203, 832102, 838190, 847910, 864160, 872217, 877179, 878173, 879726, 884366, 896048, 898005, 898488, 902966, 903640, 904661, 912949, 926491, 930557, 934545, 937410, 937696, 943482, 944957, 950519, 953681, 956580, 956698, 957469, 981076, 988472, 995860, 999796, 1007158, 1015214, 1015768, 1018026, 1019039, 1020488, 1027783, 1031252, 1032078, 1036517, 1038540, 1039640, 1042827, 1045120, 1046714, 1047195, 1047997, 1056508, 1059661, 1060391, 1061637, 1062047, 1064793, 1065235, 1065591, 1066122, 1067480, 1068268, 1068448, 1071020, 1074210, 1079464, 1083396, 1085088, 1087871, 1095891, 1096379, 1097119, 1097548, 1097825, 1099079, 1099347, 1099947, 1103098, 1106546, 1106966, 1109186, 1111244, 1112194, 1112777, 1113680, 1152434, 1162081, 1163691, 1164116, 1164323, 1166148, 1167207, 1168173, 1168320, 1168767, 1168900, 1169643, 1170526, 1171591, 1172616, 1177872, 1178295, 1179522, 1180356, 1180756, 1182118, 1192664, 1194012, 1194046, 1195165, 1196697, 1198308, 1198352, 1201406, 1202494, 1202909, 1204127, 1204414, 1204460, 1205093, 1205586, 1207721, 1208935, 1209189, 1211373, 1214239, 1218364, 1218881, 1220228, 1226798, 1227732, 1229202, 1229524, 1232568, 1234017, 1234764, 1235236, 1235780, 1235897, 1236675, 1237802, 1240314, 1241399]",414, 163,2018-09-01,1,0.0,414,1,[]
521,"[133892, 205109, 207305, 261384, 421137, 460228, 543699, 552846, 607784, 828203, 904661, 953681]",12, 163 4116,2018-09-01,1,0.0,12,1,['LAVAGECLU']
525,"[100194, 108938, 109054, 109730, 110899, 114666, 118478, 123952, 127760, 127790, 130532, 133070, 133892, 138170, 146208, 147410, 149963, 154300, 155063, 156514, 156634, 161394, 162567, 163470, 175853, 183631, 187833, 199021, 199984, 205109, 206426, 210939, 235297, 244827, 249000, 251568, 254475, 255972, 261384, 270220, 271779, 272472, 273854, 274754, 275782, 280536, 292347, 296343, 304712, 307173, 308992, 314647, 319861, 320135, 324605, 325309, 327909, 328183, 329014, 329711, 339011, 344696, 346289, 346427, 349732, 368080, 369359, 370988, 375021, 377190, 378200, 403445, 409613, 413059, 419944, 421137, 423574, 424345, 425954, 427096, 427250, 427921, 432305, 438350, 442885, 444802, 445481, 446043, 449529, 449531, 450658, 451363, 453193, 455360, 460228, 464331, 478931, 483533, 488821, 489993, 495382, 499532, 519327, 520599, 521982, 523545, 530814, 535838, 552846, 556062, 573259, 573355, 575523, 589209, 590747, 590883, 592984, 596217, 600467, 602580, 604098, 606762, 607223, 607784, 612824, 616689, 621412, 622271, 636341, 675528, 690546, 731934, 733453, 739860, 741170, 746930, 751640, 755525, 776030, 777319, 786504, 804991, 805158, 865313, 870253, 874736, 875601, 879803, 898933, 903640, 911967, 915181, 943482, 946527, 950817, 957469, 960639, 988747, 999796, 1011028, 1022598, 1030310, 1042614, 1042827, 1045120, 1056892, 1061637, 1070572, 1084524, 1095891, 1099020, 1103098, 1106966, 1122125, 1163691, 1166148, 1167207, 1168767, 1171591, 1178295, 1180756, 1181387, 1186493, 1196697, 1198352, 1204127, 1205586, 1206265, 1214239, 1227762, 1234306, 1237802]",192, 1538,2018-09-01,1,0.0,192,1,['RECHARGECAFÉCLUB2\x80']
526,"[133892, 205109, 255972, 261384, 304712, 324605, 369359, 421137, 424345, 450658, 460228, 552846, 607784, 804991, 875601, 1122125]",16, 1538 4116,2018-09-01,1,0.0,16,1,"['LAVAGECLU', 'RECHARGECAFÉCLUB2\x80']"
527,"[101392, 109910, 111432, 139113, 146201, 153970, 171799, 172457, 181027, 191747, 195246, 203487, 207309, 283553, 297113, 302588, 321180, 325354, 330084, 334092, 341341, 361353, 368517, 380569, 385630, 387114, 397187, 408037, 411179, 429092, 463969, 468551, 471799, 480899, 497798, 502923, 504317, 524542, 528008, 548581, 563868, 590237, 678188, 711253, 805211, 815942, 818139, 864534, 873779, 901879, 907522, 911256, 941598, 1009063, 1022740, 1047905, 1068889, 1075341, 1116016, 1161081]",60, 2971 4129,2018-09-01,1,0.0,60,1,"['RECHARGELAVAGETW-A', 'TW10LINGUETTE']"
528,"[124464, 147984, 168799, 414193, 470752, 486237, 499303, 615570, 657916, 742006, 748021, 926125, 1083441, 1149491]",14, 4140 2971,2018-09-01,1,0.0,14,1,"['RECHARGELAVAGETW-D', 'TW10LINGUETTE']"
529,"[102136, 108805, 124464, 237597, 319484, 383170, 408070, 414193, 459305, 470752, 575459, 704970, 742006, 895429, 911241, 956935, 1149491, 1164184]",18, 4140 2949,2018-09-01,1,0.0,18,1,"['RECHARGELAVAGETW-D', 'TWLAVEGLACE']"
530,"[124464, 414193, 470752, 742006, 1149491]",5, 4140 2949 2971,2018-09-01,1,0.0,5,1,"['RECHARGELAVAGETW-D', 'TW10LINGUETTE', 'TWLAVEGLACE']"
531,"[129105, 181421, 347996, 391816, 392706, 450548, 567649, 569180, 911475]",9, 2959 2949,2018-09-01,1,0.0,9,1,"['TOTALADBLUEBECV.5L', 'TWLAVEGLACE']"
532,"[429537, 450548, 458921, 460089, 528757, 543430, 587875, 599725, 911475, 1183237, 1199905]",11, 2959 4077,2018-09-01,1,0.0,11,1,"['TOTALADBLUE10L', 'TOTALADBLUEBECV.5L']"
533,"[145232, 153963, 158639, 226621, 248633, 249715, 263913, 264552, 267648, 272341, 278593, 294115, 322466, 327452, 335544, 348255, 353824, 363692, 373747, 385149, 447204, 468837, 471775, 490024, 496421, 505859, 518902, 519887, 520708, 529466, 529805, 540247, 543699, 545984, 563483, 563837, 613804, 686005, 715341, 719763, 737878, 809946, 824398, 847038, 875023, 916245, 934189, 963615, 972779, 988614, 993844, 1006069, 1041531, 1058591, 1082539, 1103450, 1121384, 1162193, 1176997, 1179385]",60, 431,2018-09-01,1,0.0,60,1,['CAFEEXPRESSO']
535,"[294115, 363692, 468837, 471775, 519887, 520708, 545984, 719763, 824398, 934189, 963615, 988614, 993844, 1058591, 1162193]",15, 431 263,2018-09-01,1,0.0,15,1,"['CAFEEXPRESSO', 'REMISEBUSAUTOROUTE9\x80']"
536,"[100169, 117790, 129525, 156121, 166799, 171795, 191307, 211149, 219957, 269732, 274796, 300175, 314138, 316368, 352980, 360011, 411041, 513037, 518800, 556689, 615217, 640694, 671210, 724230, 799041, 812459, 815181, 864748, 890518, 898275, 905482, 949334, 975853, 1014033, 1022283, 1030310, 1049071, 1198647]",38, 4135,2018-09-01,1,0.0,38,1,['LAVAGE2PLEINTARIF']
537,"[100169, 314138, 518800, 975853, 1014033]",5, 4135 4116,2018-09-01,1,0.0,5,1,"['LAVAGE2PLEINTARIF', 'LAVAGECLU']"
539,"[100715, 103977, 112041, 112044, 114202, 121672, 123777, 138455, 179750, 199673, 261280, 270220, 305678, 350978, 381294, 407030, 433654, 439825, 468192, 493984, 529566, 539737, 578301, 584447, 585878, 600388, 756866, 836943, 907465, 916245, 971894, 992218, 998545, 1007158, 1014685, 1015043, 1040391, 1048011, 1048518, 1061637, 1071032, 1075356, 1095891, 1140364, 1153425, 1196697]",46, 1622,2018-09-01,1,0.0,46,1,['CRPAINAUCHOCOLAT']
540,"[129105, 490823, 545598, 804528, 1006960]",5, 2959 2971,2018-09-01,1,0.0,5,1,"['TOTALADBLUEBECV.5L', 'TW10LINGUETTE']"
541,"[112044, 138455, 270220, 1007158, 1061637, 1095891, 1196697]",7, 1622 163,2018-09-01,1,0.0,7,1,['CRPAINAUCHOCOLAT']
544,"[100497, 107225, 113425, 113487, 114202, 121672, 123777, 138455, 168332, 176424, 183398, 186835, 231223, 242913, 259756, 261280, 263990, 267648, 278593, 278763, 280999, 378833, 406989, 439825, 447204, 460684, 467772, 540247, 542534, 543699, 556301, 575459, 584447, 585878, 597247, 734723, 758395, 818643, 836943, 869831, 872217, 880018, 916245, 954307, 971686, 988692, 995709, 1006214, 1015043, 1039399, 1041531, 1048011, 1115172, 1121384, 1150208, 1153425, 1162193, 1180587, 1219891]",59, 1738,2018-09-01,1,0.0,59,1,['CRCAFEEXPRESSO']
549,"[267648, 278593, 447204, 540247, 543699, 916245, 1041531, 1121384, 1162193]",9, 1738 431,2018-09-01,1,0.0,9,1,"['CAFEEXPRESSO', 'CRCAFEEXPRESSO']"
552,"[332348, 355203, 458921, 543430, 879507]",5, 2959 4129,2018-09-01,1,0.0,5,1,"['RECHARGELAVAGETW-A', 'TOTALADBLUEBECV.5L']"
553,"[250397, 257886, 347996, 545598, 567649, 911475]",6, 2959 4130,2018-09-01,1,0.0,6,1,"['RECHARGELAVAGE', 'TOTALADBLUEBECV.5L']"
554,"[115022, 181421, 232475, 250397, 257886, 270809, 314138, 383035, 490823, 528757, 550646, 599725, 879507, 906775, 911475, 932324, 997163, 1185433]",18, 2959 4116,2018-09-01,1,0.0,18,1,"['LAVAGECLU', 'TOTALADBLUEBECV.5L']"
555,"[124464, 348948, 459305, 463253, 470752, 499303, 657916, 908982]",8, 4140 4077,2018-09-01,1,0.0,8,1,"['RECHARGELAVAGETW-D', 'TOTALADBLUE10L']"
561,"[102647, 122685, 125494, 153963, 154544, 156096, 162585, 167298, 172406, 191426, 191954, 204886, 254623, 258555, 298174, 304012, 307210, 315774, 334919, 345337, 350143, 351461, 366803, 377790, 380150, 380828, 396038, 407030, 439351, 449743, 453037, 458098, 459305, 460608, 466946, 471775, 488635, 511527, 519469, 526399, 528700, 555714, 578301, 584447, 600388, 606704, 655970, 734723, 742890, 767197, 789110, 798831, 849812, 863993, 900951, 915587, 930235, 949779, 979705, 984430, 988692, 995513, 995860, 998545, 1007975, 1014685, 1015043, 1016894, 1047955, 1048011, 1058591, 1072004, 1113856, 1152434, 1153425, 1155422, 1162193, 1172837, 1174591]",79, 1547,2018-09-01,1,0.0,79,1,['SACBOUTIQUEKRAFT']
563,"[380150, 471775, 519469, 526399, 528700, 555714, 584447, 734723, 849812, 979705, 988692, 995513, 995860, 998545, 1007975, 1014685, 1015043, 1047955, 1048011, 1058591, 1113856, 1152434, 1153425, 1155422, 1162193, 1174591]",26, 1547 263,2018-09-01,1,0.0,26,1,"['REMISEBUSAUTOROUTE9\x80', 'SACBOUTIQUEKRAFT']"
564,"[138395, 162326, 163689, 174115, 178786, 181642, 185215, 188551, 195211, 200223, 202754, 208744, 221606, 249320, 275134, 284052, 292909, 307874, 327129, 327997, 330069, 330205, 334185, 353221, 353744, 356178, 357053, 361384, 364850, 366241, 368772, 376219, 409352, 410392, 422871, 424597, 433359, 440622, 449671, 449925, 450559, 451129, 454059, 455558, 464835, 465370, 474302, 476646, 477056, 484956, 487513, 520267, 528869, 530240, 540798, 545406, 551446, 571913, 574649, 577372, 580256, 719359, 804528, 807970, 863202, 875487, 886924, 897154, 898933, 899061, 915686, 917773, 920439, 925116, 947757, 964806, 965663, 1019603, 1030971, 1070388, 1091976, 1096332, 1103368, 1110941, 1165785, 1170319, 1174350, 1196711, 1216244, 1225191, 1227221, 1239591]",92, 4131,2018-09-01,1,0.0,92,1,['RECLAVAGEPJE20U']
568,"[106748, 124101, 149358, 171803, 312856, 447204, 452539, 459305, 499712, 525672, 535413, 567971, 601148, 602997, 622174, 717935, 875023, 884807, 933342, 950781, 966582, 971686, 984430, 997283, 998545, 1003424, 1047955, 1057679, 1058826, 1089901, 1120037, 1152207, 1162191, 1172598, 1177347, 1179611, 1204097]",37, 6974,2018-09-01,1,0.0,37,1,['REDBULLBTE25CL']
571,"[117249, 129390, 156491, 170729, 180990, 193333, 201887, 217726, 222650, 234495, 235596, 249680, 268251, 288098, 297198, 302223, 302871, 304895, 305343, 312931, 322061, 327025, 331420, 332133, 333674, 335544, 337309, 353221, 353762, 355892, 358181, 361384, 372572, 372863, 375108, 375519, 376658, 392865, 395989, 409352, 431713, 432888, 432995, 455319, 467225, 470752, 472468, 475454, 488841, 493535, 506206, 506984, 523356, 525118, 530240, 535603, 549137, 565546, 574456, 575826, 597247, 600393, 605098, 616105, 625134, 739929, 779222, 821047, 838612, 876768, 905418, 908504, 909387, 918260, 939073, 943036, 946068, 988859, 998627, 1030971, 1040881, 1047505, 1096332, 1108138, 1115939, 1158085, 1174484, 1177060, 1177137, 1178802, 1205694, 1210851, 1214796, 1218747, 1235047]",95, 4133,2018-09-01,1,0.0,95,1,['RECLAVAGEPJE']
