,user_ids,support,itemsets,period,property_values,depth,size,a,itemset_name
52,"[105769, 106214, 112041, 132260, 172838, 222650, 1034783]",7, 6541,2018-09-01,1,0.0,7,1,[]
54,"[623497, 821001, 893080, 992034, 998061, 1080578]",6, 25,2018-09-01,1,0.0,6,1,[]
64,"[124464, 170884, 272307, 632049, 744951, 842057, 882757, 1016894, 1180497]",9, 1760,2018-09-01,1,0.0,9,1,['COCACOLACHERRY50CLPET']
66,"[147896, 277744, 450524, 519887, 594142, 881754, 1182559]",7, 1813,2018-09-01,1,0.0,7,1,['MENTOSFRESHMTHEUCALY60G']
80,"[154982, 381774, 439351, 476436, 998545, 1058591, 1155422]",7, 2821,2018-09-01,1,0.0,7,1,['CANDYUPCHOCOLAT50CL']
87,"[191426, 317527, 527231, 585130, 594535, 622396, 655294, 1100632, 1152434]",9, 3323,2018-09-01,1,0.0,9,1,['SDWMEGAJ/E230G']
101,"[117978, 120262, 123777, 526900, 1014685, 1162191, 1173969]",7, 4448,2018-09-01,1,0.0,7,1,['LIPTONGREEN']
105,"[197939, 252901, 321180, 339822, 388801, 391040, 407466, 444167, 475671, 712041, 1108254, 1164184, 1184015]",13, 6463,2018-09-01,1,0.0,13,1,[]
114,"[117387, 179727, 201396, 204208, 223493, 252901, 380689, 388004, 459305, 480255, 832733, 983244, 1059674, 1071331]",14, 2948,2018-09-01,1,0.0,14,1,['TWLAVEGLACEH2L']
116,"[153963, 265739, 345506, 468837, 625643, 734723, 887891, 979705, 1045120, 1052503, 1058591]",11, 3341,2018-09-01,1,0.0,11,1,['SALADEANTIBES320G']
117,"[197939, 252901, 321180, 339822, 444167, 1164184, 1184015]",7, 6463 4129,2018-09-01,1,0.0,7,1,['RECHARGELAVAGETW-A']
118,"[468837, 625643, 734723, 979705, 1052503, 1058591]",6, 3341 263,2018-09-01,1,0.0,6,1,"['REMISEBUSAUTOROUTE9\x80', 'SALADEANTIBES320G']"
122,"[107225, 259520, 270220, 317527, 403598, 415088, 574168, 601900, 893080, 1036452, 1064854, 1184076, 1238217]",13, 6018,2018-09-01,1,0.0,13,1,['SNICKERS2PACK75G']
