,user_ids,support,itemsets,period,property_values,depth,size,a,itemset_name
18,"[120248, 132519, 145478, 154386, 164231, 164308, 168285, 176750, 179416, 181642, 209276, 218431, 226924, 226985, 231629, 231893, 252704, 259132, 262442, 273229, 280880, 350354, 364137, 376277, 386709, 389609, 432898, 438114, 465308, 482512, 508797, 520056, 522268, 530327, 556943, 625091, 626547, 642259, 843577, 863705, 871913, 911318, 912398, 949491, 997163, 1033300, 1064103, 1107311, 1178337, 1196711]",50,4112,2019-03-01,1,0.6470588235294118,50,1,['LAVAGE CLU']
19,"[107216, 134163, 157246, 188588, 189283, 192635, 197752, 205800, 219353, 221900, 231629, 246348, 273864, 274953, 285090, 286161, 336247, 338288, 378965, 432898, 437974, 482580, 533708, 560864, 625091, 711978, 721306, 805158, 874591, 876693, 965178, 1030140, 1031383, 1038786, 1055191, 1107311, 1242175]",37,4112,2019-04-01,1,0.7058823529411765,37,1,['LAVAGE CLU']
20,"[119521, 127802, 130184, 133917, 138663, 147391, 152857, 157246, 188588, 193191, 203511, 252547, 259132, 280880, 285090, 309886, 345624, 403177, 483211, 545910, 625091, 711978, 721306, 923982, 997163, 1048334, 1168652]",27,4112,2019-05-01,1,0.7647058823529411,27,1,['LAVAGE CLU']
21,"[115334, 120286, 126277, 133917, 137685, 157246, 176750, 180230, 188588, 189906, 192709, 209276, 223109, 259132, 261752, 273864, 274953, 280880, 309886, 343202, 476566, 520056, 750974, 820248, 912398, 1029987, 1062335, 1107311, 1177294, 1199522]",30,4112,2019-06-01,1,0.8235294117647058,30,1,['LAVAGE CLU']
22,"[120286, 149886, 164308, 173174, 180230, 185342, 192034, 250176, 257373, 257484, 271489, 274953, 301967, 336247, 345624, 347942, 355661, 390199, 437424, 440514, 460243, 499734, 519327, 535838, 557131, 618337, 625091, 626547, 642259, 771232, 805158, 820248, 867805, 923982, 1029987, 1196711, 1215832]",37,2051,2019-07-01,1,0.8823529411764706,37,1,[]
23,"[105193, 147391, 173174, 179416, 188588, 189906, 200898, 206416, 211671, 212029, 221900, 222204, 237303, 259132, 271489, 274953, 285090, 307158, 345624, 378965, 390199, 437974, 452425, 457599, 465567, 530327, 585456, 711978, 835363, 871913, 874653, 1029987, 1030140]",33,4112,2019-07-01,1,0.8823529411764706,33,1,['LAVAGE CLU']
24,"[105193, 120248, 176750, 177693, 193191, 219870, 222204, 226924, 239451, 251114, 270966, 286161, 307158, 332665, 376277, 380236, 402831, 416890, 454815, 482580, 498303, 537723, 560048, 574109, 578902, 580829, 717621, 835017, 886537, 957568, 1039029, 1062318, 1066967, 1177294]",34,4156,2019-07-01,1,0.8823529411764706,34,1,[]
25,"[119521, 133917, 145257, 154386, 182475, 188588, 189906, 200898, 212029, 237303, 273864, 285365, 338288, 355812, 366458, 378965, 384542, 457599, 530327, 758846, 810467, 921601, 1005729, 1005767, 1030140, 1048334, 1163901, 1177294, 1236038, 1242175]",30,4158,2019-07-01,1,0.8823529411764706,30,1,[]
26,"[146032, 149886, 176750, 177693, 194904, 226924, 226985, 273864, 274953, 278491, 285365, 288714, 347942, 436127, 465004, 530327, 538133, 585456, 592345, 923982, 1216244]",21,4125,2019-07-01,1,0.8823529411764706,21,1,['RECHARGE LAVAGE TW - A']
27,"[108228, 140566, 145478, 189769, 214066, 215849, 223786, 285090, 301967, 389609, 393439, 402831, 411159, 432898, 452975, 499127, 500865, 532933, 565442, 645215, 749466, 814129, 843580, 873360, 894316, 949491, 952256, 1003223, 1031383, 1059452, 1164511, 1168652, 1177294]",33,4156,2019-08-01,1,0.9411764705882353,33,1,[]
28,"[140566, 147391, 179416, 197752, 209276, 251350, 280880, 309886, 317586, 332635, 391758, 427150, 438114, 498626, 532933, 575523, 645215, 844897, 846796, 949491]",20,4112,2019-08-01,1,0.9411764705882353,20,1,['LAVAGE CLU']
29,"[115022, 133917, 180230, 188588, 189769, 244544, 251114, 251350, 262442, 274871, 274953, 285365, 332635, 338288, 355661, 391758, 403177, 410571, 498303, 520056, 642259, 1177294]",22,4126,2019-08-01,1,0.9411764705882353,22,1,['RECHARGE LAVAGE']
