,user_ids,support,itemsets,period,property_values,depth,size,AGE,itemset_name
38,"[101749, 106410, 107463, 111890, 114449, 121730, 125579, 129390, 134631, 140784, 146263, 147333, 147495, 153358, 157310, 169447, 177933, 195864, 200564, 205793, 206673, 221900, 236608, 237181, 239835, 249024, 251428, 251719, 255658, 256540, 257154, 258658, 261240, 264230, 267277, 271640, 271964, 272184, 272307, 272341, 274316, 274953, 277799, 285995, 287608, 290616, 296181, 299637, 307966, 308866, 315727, 321596, 325354, 327351, 328086, 331082, 348380, 364804, 371266, 373648, 373931, 379576, 383055, 406437, 409076, 416080, 426000, 427626, 432924, 436854, 462236, 468396, 470752, 481492, 484230, 490639, 515329, 516884, 520056, 521769, 523013, 534226, 535047, 535224, 540476, 545082, 569508, 570365, 604433, 606281, 608366, 613209, 616311, 621494, 623541, 627182, 649774, 653959, 657123, 670760, 685988, 686964, 703490, 721420, 730652]",105, 4126,2017-03-01,50-65,0.0,105,50-65,['RECHARGE LAVAGE']
39,"[100615, 103904, 105769, 109910, 118554, 122194, 123618, 125615, 138325, 139038, 140784, 143488, 152370, 153534, 156950, 165785, 170198, 175030, 176750, 181624, 185724, 194762, 199937, 213211, 222403, 228856, 233072, 238881, 242142, 245059, 250180, 251826, 252901, 254276, 258896, 269492, 269708, 272441, 274001, 282188, 285334, 288714, 290288, 299540, 302379, 315397, 316895, 340678, 343449, 362274, 392562, 392807, 398652, 401971, 404047, 407441, 408037, 412376, 413059, 431316, 443524, 454219, 460771, 474879, 479396, 488754, 491014, 493696, 497772, 500915, 505184, 506445, 511024, 516054, 542277, 545337, 554567, 563868, 573796, 580458, 580580, 600505, 604581, 604772, 605523, 666558, 758591]",87, 4125,2017-03-01,50-65,0.0,87,50-65,['RECHARGE LAVAGE TW - A']
40,"[104293, 113036, 118478, 122584, 130532, 167694, 177373, 187833, 191561, 199984, 251775, 264526, 270220, 270517, 281206, 287610, 293120, 294969, 338762, 345108, 347715, 368080, 375197, 384135, 385713, 398681, 418815, 438350, 444802, 454494, 464331, 464605, 482919, 519059, 551228, 555432, 557999, 559445, 588437, 651436, 685231, 752912, 787610]",43, 163,2017-03-01,50-65,0.0,43,50-65,[]
41,"[422794, 428202, 470636, 519887, 521885, 526400, 542068, 555845, 563834, 584447, 752568]",11, 263,2017-03-01,50-65,0.0,11,50-65,['REMISE BUS AUTOROUTE 9\x80']
42,"[104142, 107250, 113270, 137677, 167694, 169402, 180172, 192627, 234017, 250116, 251141, 274892, 288466, 318991, 366834, 369549, 372272, 380131, 450205, 470752, 490090, 572676, 616924, 620225]",24, 2946,2017-03-01,50-65,0.0,24,50-65,['TW  LAVE GLACE']
43,"[157573, 223363, 296110, 400374, 457187, 469830, 525118, 623497]",8, 4101,2017-03-01,50-65,0.0,8,50-65,['LAVAGE 4 PLEIN']
44,"[100977, 104518, 113036, 121147, 168144, 169402, 240683, 270422, 287468, 291453, 294568, 301402, 379576, 439384, 459432, 485168, 528757, 613132, 737348]",19, 4074,2017-03-01,50-65,0.0,19,50-65,['BIDON AD BLUE 10L']
45,"[114176, 123314, 170729, 178862, 215614, 242148, 274124, 299417, 302343, 375108, 444295, 475454, 561615, 605319, 616924, 623204]",16, 4129,2017-03-01,50-65,0.0,16,50-65,['REC LAVAGE PJE']
46,"[100203, 126551, 134473, 158802, 159082, 174735, 291218, 296036, 344660, 348948, 363005, 372272, 452375, 470752, 498334, 622174, 624179, 730072, 733908]",19, 4136,2017-03-01,50-65,0.0,19,50-65,['RECHARGE LAVAGE TW - D']
47,"[143947, 247754, 263990, 315695, 365536, 447013, 519887, 668617, 752568]",9, 431,2017-03-01,50-65,0.0,9,50-65,['CAFE EXPRESSO']
48,"[176424, 246323, 261443, 266265, 269187, 321127, 437007, 518210, 540247, 698572]",10, 1738,2017-03-01,50-65,0.0,10,50-65,['CR CAFE EXPRESSO']
49,"[100715, 199673, 260630, 294969, 344702, 348997, 356654, 383585, 527643, 584447, 752568]",11, 1547,2017-03-01,50-65,0.0,11,50-65,['SAC BOUTIQUE KRAFT']
50,"[139038, 187833, 269187, 278763, 345758, 518210, 540247, 576233, 594666]",9, 1622,2017-03-01,50-65,0.0,9,50-65,['CR PAIN AU CHOCOLAT']
51,"[269187, 518210, 540247]",3, 1622 1738,2017-03-01,50-65,0.0,3,50-65,"['CR CAFE EXPRESSO', 'CR PAIN AU CHOCOLAT']"
