,user_ids,support,itemsets,period,property_values,depth,size,a,itemset_name
0,"[101749, 169447, 221900, 261240, 274953, 520056]",6, 4126,2017-03-01,1,0.0,6,1,['RECHARGE LAVAGE']
1,"[115022, 118606, 186654, 221900, 264679, 285365, 365101, 410571, 428273, 438454, 478530, 561973, 730825, 866133]",14, 4126,2017-04-01,1,0.029411764705882353,14,1,['RECHARGE LAVAGE']
2,"[116517, 150269, 176750, 178285, 226924, 226985, 288714, 343202, 432898, 585456]",10, 4125,2017-04-01,1,0.029411764705882353,10,1,['RECHARGE LAVAGE TW - A']
3,"[110455, 147287, 149886, 178285, 223109, 226924, 273864, 288714, 301967, 303696, 432898, 474879, 580829, 913899]",14, 4125,2017-05-01,1,0.058823529411764705,14,1,['RECHARGE LAVAGE TW - A']
4,"[115022, 145478, 164308, 231893, 290496, 347942, 482512]",7, 4126,2017-05-01,1,0.058823529411764705,7,1,['RECHARGE LAVAGE']
5,"[145747, 146032, 149886, 154132, 176750, 226924, 263042, 264679, 273864, 303696, 317586, 328105, 472947, 474879, 923982]",15, 4125,2017-06-01,1,0.08823529411764706,15,1,['RECHARGE LAVAGE TW - A']
6,"[101749, 132519, 202428, 274953, 428273, 498303, 508797, 642259, 894316]",9, 4126,2017-06-01,1,0.08823529411764706,9,1,['RECHARGE LAVAGE']
7,"[145747, 195808, 209218, 384542, 416627, 561973, 580829]",7, 4918,2017-07-01,1,0.11764705882352941,7,1,['SERVIT.BILL PAP ETE 2017']
8,"[147287, 150269, 191681, 226924, 252704, 273864, 303696, 343202, 432898, 474879, 585456, 923982]",12, 4125,2017-07-01,1,0.11764705882352941,12,1,['RECHARGE LAVAGE TW - A']
9,"[110073, 264679, 273864, 347548, 437974, 474879, 598886, 874591]",8, 4916,2017-07-01,1,0.11764705882352941,8,1,['SERVIT.MARSU PA']
10,"[145478, 199021, 221900, 264679, 274953, 280880, 355661, 476566, 478530, 482512, 498303, 721386, 740464, 810467, 866133, 876768]",16, 4126,2017-07-01,1,0.11764705882352941,16,1,['RECHARGE LAVAGE']
11,"[114932, 132519, 153213, 158672, 168953, 197752, 221900, 244320, 251114, 285090, 332635, 355812, 380236, 397953, 411159, 432898, 452425, 465308, 480726, 574109, 575523, 585456, 599789, 717621, 866133]",25, 4915,2017-07-01,1,0.11764705882352941,25,1,['SERVIT.MARSUPILAMI PAP ETE 2017']
12,"[109220, 118606, 119521, 176750, 193191, 274132, 315018, 386192, 390199, 406959, 410571, 440514, 482512, 498303, 538133, 624145]",16, 4917,2017-07-01,1,0.11764705882352941,16,1,['SERVIT.GASTON P']
13,"[178285, 266177, 273864, 303696, 317586, 472947, 913899]",7, 4125,2017-08-01,1,0.14705882352941177,7,1,['RECHARGE LAVAGE TW - A']
14,"[200898, 244544, 264679, 397621, 478530, 534619, 866133]",7, 4126,2017-08-01,1,0.14705882352941177,7,1,['RECHARGE LAVAGE']
15,"[149886, 150269, 152633, 226924, 278491, 343202, 432898, 468551, 472947, 810074, 923982]",11, 4125,2017-09-01,1,0.17647058823529413,11,1,['RECHARGE LAVAGE TW - A']
16,"[105126, 137685, 244544, 250176, 262442, 321135, 332635, 482512, 866133]",9, 4126,2017-09-01,1,0.17647058823529413,9,1,['RECHARGE LAVAGE']
17,"[114170, 118067, 176750, 180230, 188309, 195078, 221900, 275835, 293771, 365101, 432898, 438114, 465308, 483211, 711978]",15, 4112,2017-10-01,1,0.20588235294117646,15,1,['LAVAGE CLU']
18,"[147287, 176750, 215374, 245059, 273864, 275835, 288714, 303696, 343202, 411724, 432898, 516389, 832235, 913899]",14, 4125,2017-10-01,1,0.20588235294117646,14,1,['RECHARGE LAVAGE TW - A']
19,"[180230, 186625, 261240, 264679, 274953, 478530, 534619, 535838, 866133]",9, 4126,2017-10-01,1,0.20588235294117646,9,1,['RECHARGE LAVAGE']
20,"[118606, 189283, 191293, 193191, 380236, 402831, 519327, 624174, 717621, 876768, 887117]",11, 5623,2017-11-01,1,0.23529411764705882,11,1,['SNICKERS 50G']
21,"[119521, 183500, 301967, 416890, 436127, 476566, 575523]",7, 1707,2017-11-01,1,0.23529411764705882,7,1,['BOUNTY CHOC LAIT 57G']
22,"[149886, 176750, 215374, 226924, 264679, 303696, 472947, 923982]",8, 4125,2017-11-01,1,0.23529411764705882,8,1,['RECHARGE LAVAGE TW - A']
23,"[194561, 221900, 273864, 280880, 460243, 835363, 874591]",7, 5625 4112,2017-11-01,1,0.23529411764705882,7,1,"['LAVAGE CLU', 'MARS  51G']"
24,"[106174, 114932, 123000, 132519, 134977, 149797, 151260, 168956, 188309, 193102, 195808, 200898, 202428, 206416, 226924, 264679, 274132, 321135, 332635, 365367, 438454, 465004, 499127, 503579, 532504, 565442, 574109, 615324, 957568, 964386]",30, 5631,2017-11-01,1,0.23529411764705882,30,1,['TWIX 50G']
25,"[106174, 132519, 151260, 206416, 321135, 465004, 532504, 957568]",8, 5631 4112,2017-11-01,1,0.23529411764705882,8,1,"['LAVAGE CLU', 'TWIX 50G']"
26,"[106174, 132519, 151260, 183500, 194561, 205800, 206416, 210628, 221900, 262442, 273864, 274953, 280880, 312415, 321135, 412666, 427150, 460243, 465004, 465308, 476566, 530327, 532504, 563195, 625091, 835363, 863705, 874591, 957568]",29, 4112,2017-11-01,1,0.23529411764705882,29,1,['LAVAGE CLU']
27,"[110073, 120286, 147391, 158032, 159554, 168953, 176750, 194561, 221900, 223786, 261752, 273864, 280880, 285090, 293771, 330859, 355812, 390199, 460243, 498400, 537723, 582720, 598886, 619157, 835363, 874591, 886537, 915090]",28, 5625,2017-11-01,1,0.23529411764705882,28,1,['MARS  51G']
28,"[107216, 130184, 147391, 180230, 223788, 242680, 273864, 274953, 280880, 321135, 345624, 503579, 532504, 598886, 711978, 835363, 837950, 874591, 923982, 957568]",20, 4112,2017-12-01,1,0.2647058823529412,20,1,['LAVAGE CLU']
29,"[149886, 215374, 226924, 226985, 252704, 273864, 285365, 303696, 345624, 432898, 516389, 585456, 913899, 923982]",14, 4125,2017-12-01,1,0.2647058823529412,14,1,['RECHARGE LAVAGE TW - A']
30,"[118606, 164308, 221900, 287754, 321135, 335332, 397621, 440533, 478530, 498303, 645215, 866133]",12, 4126,2017-12-01,1,0.2647058823529412,12,1,['RECHARGE LAVAGE']
31,"[118606, 189283, 200898, 275425, 345624, 416657, 631244, 957568, 1023595]",9, 2971,2017-12-01,1,0.2647058823529412,9,1,['LAVE  GLACE DEG']
32,"[120286, 176911, 180008, 219353, 631244, 717621]",6, 4074,2018-01-01,1,0.29411764705882354,6,1,['BIDON AD BLUE 10L']
33,"[101749, 145478, 164308, 192709, 228634, 321135, 332635, 338288, 347942, 408096, 478530, 717621, 866133]",13, 4126,2018-01-01,1,0.29411764705882354,13,1,['RECHARGE LAVAGE']
34,"[176750, 215374, 226924, 226985, 227628, 303696, 343202, 432898, 472947, 516389, 900950, 913899, 915090, 923982]",14, 4125,2018-01-01,1,0.29411764705882354,14,1,['RECHARGE LAVAGE TW - A']
35,"[120086, 120286, 130527, 183500, 184629, 189283, 226617, 250176, 262442, 262728, 274953, 288714, 355661, 382812, 390199, 397621, 397953, 412666, 416657, 416890, 417444, 438114, 440514, 530327, 578902, 585456, 598886, 615324, 711978, 820248, 824262, 866133, 900950, 923982]",34, 4112,2018-01-01,1,0.29411764705882354,34,1,['LAVAGE CLU']
36,"[105524, 109220, 116628, 131516, 188588, 231893, 251114, 274953, 347322, 402831, 475859, 476566, 478530, 483211, 911734, 915090, 997163]",17, 4112,2018-02-01,1,0.3235294117647059,17,1,['LAVAGE CLU']
37,"[149886, 176750, 191681, 226924, 266177, 288714, 303696, 472947, 474879, 626547, 913899, 923982, 967128]",13, 4125,2018-02-01,1,0.3235294117647059,13,1,['RECHARGE LAVAGE TW - A']
38,"[140566, 145073, 147391, 157287, 158032, 176750, 188309, 188588, 209276, 280880, 332635, 332665, 345624, 406056, 465308, 545910, 624174, 835363, 866133]",19, 4112,2018-03-01,1,0.35294117647058826,19,1,['LAVAGE CLU']
