,user_ids,support,itemsets,period,property_values,depth,size,firstpromo,itemset_name
73,"[468837, 625643, 734723, 979705, 1052503, 1058591]",6, 3338 263,2018-09-01,1,0.0,6,1,"['REMISE BUS AUTOROUTE 9\x80', 'SALADE ANTIBES 320G']"
75,"[100715, 325831, 575459, 581812]",4, 1848 608,2018-09-01,1,0.0,4,1,"['CR COOKIE DOUBLE CHOCOLAT 103 GR', 'CR SAND PREMIUM']"
85,"[149358, 376091, 444081, 447204, 449654, 1066548, 1153387, 1166865, 1204097, 1232187]",10, 6976,2018-09-01,1,0.0,10,1,['RED BULL GREEN EDITION 250ML']
138,"[407030, 1014685, 1058591]",3, 6990 1547,2018-09-01,1,0.0,3,1,"['PAGO FRAISE 33C', 'SAC BOUTIQUE KRAFT']"
140,"[619437, 752568, 1014685, 1058591]",4, 6990 263,2018-09-01,1,0.0,4,1,"['PAGO FRAISE 33C', 'REMISE BUS AUTOROUTE 9\x80']"
141,[1089611],1, 6184 6176 4125 6178,2018-09-01,1,0.0,1,1,['RECHARGE LAVAGE TW - A']
142,"[930557, 1089611]",2, 6184 6176 6178,2018-09-01,1,0.0,2,1,[]
148,"[117912, 299907, 357905, 1089611]",4, 6184 4125,2018-09-01,1,0.0,4,1,['RECHARGE LAVAGE TW - A']
150,"[117912, 128213, 299907, 357905, 408070, 443070, 460839, 578537, 910272, 930557, 973987, 1089611]",12, 6184,2018-09-01,1,0.0,12,1,[]
151,"[407030, 424865, 619437, 752568, 1014685, 1058591]",6, 6990,2018-09-01,1,0.0,6,1,['PAGO FRAISE 33C']
160,"[338009, 365294, 476436, 531053, 600388, 838936, 915587, 1100632, 1166865, 1183011]",10, 2851,2018-09-01,1,0.0,10,1,['MADELEINES ST M. 250G']
162,"[172406, 439351, 1058591]",3, 2682 3882 1547,2018-09-01,1,0.0,3,1,"['LAIT UHT 1/2 ECREME CO  1L', 'SAC BOUTIQUE KRAFT', 'SDW DAUNAT MIMI']"
164,"[154737, 172406, 195105, 439351, 761107, 880018, 1058591]",7, 2682,2018-09-01,1,0.0,7,1,['LAIT UHT 1/2 ECREME CO  1L']
169,"[191426, 1072004]",2, 2319 1547,2018-09-01,1,0.0,2,1,"['SAC BOUTIQUE KRAFT', 'VOLVIC NATURE 1']"
171,"[174525, 191426, 199656, 314666, 333067, 409376, 719763, 904661, 981322, 1072004, 1209219, 1237545]",12, 2319,2018-09-01,1,0.0,12,1,['VOLVIC NATURE 1']
176,"[325831, 998545]",2, 1848 1853,2018-09-01,1,0.0,2,1,"['CR COOKIE DOUBLE CHOCOLAT 103 GR', 'CR SANDWICH VOL']"
183,"[156096, 1047955, 1153425]",3, 4440 1547,2018-09-01,1,0.0,3,1,"['LIPTON ICE TEA PECHE  1L', 'SAC BOUTIQUE KRAFT']"
185,"[156096, 521912, 873802, 988614, 1014979, 1039138, 1047955, 1049835, 1052503, 1153425]",10, 4440,2018-09-01,1,0.0,10,1,['LIPTON ICE TEA PECHE  1L']
188,"[156096, 1173969]",2, 4303 4663,2018-09-01,1,0.0,2,1,"['AUVE. MIN STICK NAT 100G', 'MINI STICKS ROQUEFORT&NOIX 100G']"
192,"[156096, 511527, 798831]",3, 4303 1547,2018-09-01,1,0.0,3,1,"['MINI STICKS ROQUEFORT&NOIX 100G', 'SAC BOUTIQUE KRAFT']"
203,"[108396, 156096, 168332, 172679, 256229, 319952, 335716, 498022, 511527, 729048, 798831, 1078330, 1173969]",13, 4303,2018-09-01,1,0.0,13,1,['MINI STICKS ROQUEFORT&NOIX 100G']
205,"[153963, 265739, 345506, 468837, 625643, 734723, 887891, 979705, 1045120, 1052503, 1058591]",11, 3338,2018-09-01,1,0.0,11,1,['SALADE ANTIBES 320G']
262,"[107225, 259520, 270220, 317527, 403598, 415088, 574168, 601900, 893080, 1036452, 1064854, 1184076, 1238217]",13, 6013,2018-09-01,1,0.0,13,1,['SNICKERS 2 PACK 75G']
265,"[156096, 1016894]",2, 6012 4663 1547,2018-09-01,1,0.0,2,1,"['AUVE. MIN STICK NAT 100G', 'ICE TEA PECHE 50CL', 'SAC BOUTIQUE KRAFT']"
269,"[156096, 249535, 392599, 428189, 441047, 495507, 518759, 518902, 551871, 573355, 602649, 1016894, 1037188, 1193729]",14, 6012,2018-09-01,1,0.0,14,1,['ICE TEA PECHE 50CL']
316,"[266263, 337743, 388097, 519469, 622174, 841816, 898005, 956341, 1157926]",9, 1751,2018-09-01,1,0.0,9,1,['FISHERMAN V.MENT.S/S 25G']
320,[573766],1, 6535 4128,2018-09-01,1,0.0,1,1,['REC LAVAGE PJE 35U']
322,"[410397, 435338, 1034783]",3, 6535 4125,2018-09-01,1,0.0,3,1,['RECHARGE LAVAGE TW - A']
323,"[286584, 389725, 410397, 507489, 906287, 959903, 966233, 1043027, 1208292]",9, 6535 4126,2018-09-01,1,0.0,9,1,['RECHARGE LAVAGE']
324,"[286584, 389725, 410397, 435338, 507489, 573766, 906287, 959903, 966233, 1034783, 1043027, 1208292]",12, 6535,2018-09-01,1,0.0,12,1,[]
326,[407466],1, 6458 4136 4112,2018-09-01,1,0.0,1,1,"['LAVAGE CLU', 'RECHARGE LAVAGE TW - D']"
327,"[391040, 407466, 1164184]",3, 6458 4136,2018-09-01,1,0.0,3,1,['RECHARGE LAVAGE TW - D']
344,"[201396, 480255]",2, 2945 2947 2968,2018-09-01,1,0.0,2,1,"['TW  LAVE GLACE -30 4L', 'TW 10 LINGUETTE', 'TW LAVE GLACE H 2L']"
345,"[197939, 252901, 321180, 339822, 444167, 1164184, 1184015]",7, 6458 4125,2018-09-01,1,0.0,7,1,['RECHARGE LAVAGE TW - A']
346,"[459305, 1071331]",2, 2945 4136,2018-09-01,1,0.0,2,1,"['RECHARGE LAVAGE TW - D', 'TW LAVE GLACE H 2L']"
348,"[117387, 179727, 201396, 204208, 223493, 252901, 380689, 388004, 459305, 480255, 832733, 983244, 1059674, 1071331]",14, 2945,2018-09-01,1,0.0,14,1,['TW LAVE GLACE H 2L']
359,"[252901, 407466, 712041]",3, 6458 4112,2018-09-01,1,0.0,3,1,['LAVAGE CLU']
360,"[197939, 252901, 321180, 339822, 388801, 391040, 407466, 444167, 475671, 712041, 1108254, 1164184, 1184015]",13, 6458,2018-09-01,1,0.0,13,1,[]
416,[579539],1, 63 57 4074,2018-09-01,1,0.0,1,1,['BIDON AD BLUE 10L']
418,"[358380, 401190, 559661, 579539]",4, 63,2018-09-01,1,0.0,4,1,[]
419,"[146720, 470752]",2, 6894 4112,2018-09-01,1,0.0,2,1,"['LAMPE H7 12V 55W PREMIU', 'LAVAGE CLU']"
420,"[146720, 249738, 250022, 470752, 534467, 1078868, 1192820, 1198347]",8, 6894,2018-09-01,1,0.0,8,1,['LAMPE H7 12V 55W PREMIU']
431,"[449166, 535449, 897079, 1152207]",4, 5624 3510,2018-09-01,1,0.0,4,1,"['CRISTALINE 1.5L', 'MMS PEANUT JNE 200G']"
462,"[131823, 199655, 402629, 449166, 535449, 625643, 897079, 926125, 1036452, 1152207]",10, 5624,2018-09-01,1,0.0,10,1,['MMS PEANUT JNE 200G']
490,"[149358, 335918, 490858, 503825, 507317, 594535, 849340, 989996, 1082060]",9, 3408,2018-09-01,1,0.0,9,1,['CRISTALINE 1L']
538,"[154982, 381774, 439351, 476436, 998545, 1058591, 1155422]",7, 2817,2018-09-01,1,0.0,7,1,['CANDY UP CHOCOLAT 50CL']
539,"[439351, 998545, 1058591, 1155422]",4, 2817 1547,2018-09-01,1,0.0,4,1,"['CANDY UP CHOCOLAT 50CL', 'SAC BOUTIQUE KRAFT']"
540,"[998545, 1058591, 1155422]",3, 2817 1547 263,2018-09-01,1,0.0,3,1,"['CANDY UP CHOCOLAT 50CL', 'REMISE BUS AUTOROUTE 9\x80', 'SAC BOUTIQUE KRAFT']"
558,"[439351, 1058591]",2, 2817 2682 1547 3882,2018-09-01,1,0.0,2,1,"['CANDY UP CHOCOLAT 50CL', 'LAIT UHT 1/2 ECREME CO  1L', 'SAC BOUTIQUE KRAFT', 'SDW DAUNAT MIMI']"
606,[549038],1, 1743 6178 4125 6179,2018-09-01,1,0.0,1,1,"['LION UNITE 42G', 'RECHARGE LAVAGE TW - A']"
608,"[304012, 367391, 549038, 991495, 1057511]",5, 1743,2018-09-01,1,0.0,5,1,['LION UNITE 42G']
616,"[197985, 275978, 351461, 403181, 476436, 919805, 1158336]",7, 1757,2018-09-01,1,0.0,7,1,['COCA COLA LIGHT 50CL']
629,"[470752, 1072489]",2, 2920 4638 4112 4126 2946,2018-09-01,1,0.0,2,1,"['LAVAGE CLU', 'NEOCLEAN JANTES', 'RECHARGE LAVAGE', 'TW  LAVE GLACE', 'TW MICROFIBRE DE SECHAGE']"
630,"[470752, 496860]",2, 2920 4136,2018-09-01,1,0.0,2,1,"['RECHARGE LAVAGE TW - D', 'TW MICROFIBRE DE SECHAGE']"
631,"[470752, 475454, 496860, 1053328, 1072489, 1081768]",6, 2920,2018-09-01,1,0.0,6,1,['TW MICROFIBRE DE SECHAGE']
636,"[286429, 1157557]",2, 2912 2946 4126,2018-09-01,1,0.0,2,1,"['RECHARGE LAVAGE', 'TW  LAVE GLACE', 'TW 16 LINGETTES VITRES']"
638,"[233328, 286429, 300649, 407242, 529543, 575287, 1025474, 1037937, 1066512, 1066878, 1157557, 1173867]",12, 2912,2018-09-01,1,0.0,12,1,['TW 16 LINGETTES VITRES']
670,"[100715, 270220, 493984, 1153425]",4, 1871 1622,2018-09-01,1,0.0,4,1,"['CR CHAUSSON AUX POMMES 120G', 'CR PAIN AU CHOCOLAT']"
673,"[270220, 734723]",2, 1871 163,2018-09-01,1,0.0,2,1,['CR CHAUSSON AUX POMMES 120G']
674,"[100715, 242913, 270220, 430160, 493984, 734723, 911614, 1007975, 1153425, 1183011]",10, 1871,2018-09-01,1,0.0,10,1,['CR CHAUSSON AUX POMMES 120G']
682,"[545944, 1072489]",2, 1797 2325,2018-09-01,1,0.0,2,1,"['MENTOS BOT P.FRESH M 60G', 'VOLVIC ZEST CIT']"
684,"[147896, 305678, 545944, 675881, 1072489, 1182559, 1209772]",7, 1797,2018-09-01,1,0.0,7,1,['MENTOS BOT P.FRESH M 60G']
710,[270220],1, 1871 6013 163 1538 1622 649,2018-09-01,1,0.0,1,1,"['CR CHAUSSON AUX POMMES 120G', 'CR PAIN AU CHOCOLAT', 'RECHARGE CAFÉ CLUB 2\x80', 'SNICKERS 2 PACK 75G']"
724,"[619437, 752568, 1058591]",3, 6985 6990 263,2018-09-01,1,0.0,3,1,"['PAGO ACE 33CL P', 'PAGO FRAISE 33C', 'REMISE BUS AUTOROUTE 9\x80']"
725,"[898005, 1058591]",2, 6985 3510,2018-09-01,1,0.0,2,1,"['CRISTALINE 1.5L', 'PAGO ACE 33CL P']"
726,"[136072, 350143, 410581, 619437, 752568, 898005, 1058591, 1183011]",8, 6985,2018-09-01,1,0.0,8,1,['PAGO ACE 33CL P']
729,[1139056],1, 6850 2369,2018-09-01,1,0.0,1,1,"['EVIAN 1L PET*', 'NUTS NOISETTE 42G UNITE']"
730,"[120262, 149358, 298174, 412949, 522628, 529710, 536398, 877676, 983577, 1139056, 1197856]",11, 6850,2018-09-01,1,0.0,11,1,['NUTS NOISETTE 42G UNITE']
740,"[157861, 268141, 592647]",3, 6485 4125,2018-09-01,1,0.0,3,1,['RECHARGE LAVAGE TW - A']
743,"[157861, 263990, 268141, 285652, 387532, 392706, 394345, 426472, 513469, 592647, 1103368]",11, 6485,2018-09-01,1,0.0,11,1,[]
772,[410397],1, 6459 6535 4126 4125,2018-09-01,1,0.0,1,1,"['RECHARGE LAVAGE', 'RECHARGE LAVAGE TW - A']"
773,"[252901, 321180]",2, 6459 6458 4125,2018-09-01,1,0.0,2,1,['RECHARGE LAVAGE TW - A']
786,"[381774, 441047, 684803, 881163, 1007975, 1014685, 1054887]",7, 4443,2018-09-01,1,0.0,7,1,['LIPTON ICE TEA 50CL']
800,"[348948, 1061853, 1163690]",3, 6459 4136,2018-09-01,1,0.0,3,1,['RECHARGE LAVAGE TW - D']
802,"[252901, 328952]",2, 6459 4125 4112,2018-09-01,1,0.0,2,1,"['LAVAGE CLU', 'RECHARGE LAVAGE TW - A']"
803,"[141196, 252901, 263432, 321180, 328952, 410397, 1162329]",7, 6459 4125,2018-09-01,1,0.0,7,1,['RECHARGE LAVAGE TW - A']
805,"[410397, 965637, 1175910]",3, 6459 4126,2018-09-01,1,0.0,3,1,['RECHARGE LAVAGE']
806,"[252901, 328952, 348948, 965637, 1175910]",5, 6459 4112,2018-09-01,1,0.0,5,1,['LAVAGE CLU']
807,"[141196, 252901, 263432, 321180, 328952, 348948, 410397, 965637, 1061853, 1162329, 1163690, 1175910]",12, 6459,2018-09-01,1,0.0,12,1,[]
808,"[470752, 1046279]",2, 6454 2946 4126,2018-09-01,1,0.0,2,1,"['RECHARGE LAVAGE', 'TW  LAVE GLACE']"
809,"[180397, 470752, 531887, 557541, 1046279, 1233160]",6, 6454 4126,2018-09-01,1,0.0,6,1,['RECHARGE LAVAGE']
811,"[470752, 573126]",2, 6454 4112,2018-09-01,1,0.0,2,1,['LAVAGE CLU']
814,"[488635, 516711]",2, 5975 6972,2018-09-01,1,0.0,2,1,"['RED BULL 473ML', 'STARBUCKS DOUBL']"
817,"[170884, 439383, 488635, 516711, 914109, 1040391, 1209219]",7, 5975,2018-09-01,1,0.0,7,1,['STARBUCKS DOUBL']
822,"[180397, 470752, 531887, 557541, 573126, 1046279, 1194486, 1233160]",8, 6454,2018-09-01,1,0.0,8,1,[]
838,"[171222, 325831, 1155422]",3, 1853 608,2018-09-01,1,0.0,3,1,"['CR SAND PREMIUM', 'CR SANDWICH VOL']"
875,"[118478, 148440, 171222, 201169, 277744, 293147, 309153, 325831, 331511, 444555, 486628, 616225, 734723, 791569, 867654, 998545, 1028864, 1049835, 1071032, 1121094, 1155422]",21, 1853,2018-09-01,1,0.0,21,1,['CR SANDWICH VOL']
877,"[470752, 504168, 866723]",3, 6447 4136,2018-09-01,1,0.0,3,1,['RECHARGE LAVAGE TW - D']
878,"[470752, 829955]",2, 6447 2946 4112,2018-09-01,1,0.0,2,1,"['LAVAGE CLU', 'TW  LAVE GLACE']"
879,"[157561, 470752]",2, 6447 2968 4126,2018-09-01,1,0.0,2,1,"['RECHARGE LAVAGE', 'TW 10 LINGUETTE']"
881,"[157561, 239503, 470752, 504949, 609319, 809838, 961140]",7, 6447 4126,2018-09-01,1,0.0,7,1,['RECHARGE LAVAGE']
882,"[157561, 239503, 470752, 504168, 504949, 609319, 809838, 829955, 866723, 961140, 1162167, 1177060, 1211308]",13, 6447,2018-09-01,1,0.0,13,1,[]
887,"[470752, 1177060]",2, 6447 4129,2018-09-01,1,0.0,2,1,['REC LAVAGE PJE']
902,"[158388, 193219, 220023, 235259, 282500, 320170, 336097, 339159, 394646, 420524, 424857, 432312, 464167, 482729, 665787, 723615, 829744, 863192, 1052838, 1161081]",20, 1,2018-09-01,1,0.0,20,1,[]
904,"[113487, 204029, 267956, 314494, 734723]",5, 699 1615,2018-09-01,1,0.0,5,1,['CR FLAN NATURE']
914,"[113487, 204029, 267956, 284718, 309153, 314494, 320316, 337743, 380828, 400827, 409096, 526900, 575459, 599279, 725052, 734723, 869831, 1064097]",18, 699,2018-09-01,1,0.0,18,1,[]
929,"[339428, 616767]",2, 6176 6175 4125,2018-09-01,1,0.0,2,1,['RECHARGE LAVAGE TW - A']
930,"[309563, 930557]",2, 6176 6175 4126,2018-09-01,1,0.0,2,1,['RECHARGE LAVAGE']
931,"[309563, 339428, 616767, 930557]",4, 6176 6175,2018-09-01,1,0.0,4,1,[]
932,"[565260, 1089611, 1121072]",3, 6176 6178 4125,2018-09-01,1,0.0,3,1,['RECHARGE LAVAGE TW - A']
934,"[380689, 565260, 917858, 930557, 1089611, 1121072]",6, 6176 6178,2018-09-01,1,0.0,6,1,[]
942,"[309563, 387114, 615570]",3, 6176 2968,2018-09-01,1,0.0,3,1,['TW 10 LINGUETTE']
943,"[339428, 387114, 447050, 459345, 468467, 480373, 560369, 565260, 615217, 616767, 829305, 887474, 1089611, 1121072]",14, 6176 4125,2018-09-01,1,0.0,14,1,['RECHARGE LAVAGE TW - A']
944,"[309563, 380689, 759495, 917858, 930557, 939408]",6, 6176 4126,2018-09-01,1,0.0,6,1,['RECHARGE LAVAGE']
