,user_ids,support,itemsets,period,property_values,depth,size,a
0,"[ 101937  103914  104293  105293  108938  110899  111737  112044  113036
  113376  114666  118478  121147  123801  127790  128703  130181  130532
  133892  137504  137871  138455  139598  145875  147589  147772  149963
  152339  153185  154300  156634  161394  162055  162567  167520  167694
  173071  173169  174585  177160  177373  178797  187833  191304  191532
  191561  199984  200082  201600  205109  206426  207305  210060  210355
  214721  217160  223966  226086  231418  235297  235462  244827  249736
  251568  251775  253171  253363  256669  260419  261384  265419  266458
  266488  268238  270220  270341  270517  275377  275782  277766  281988
  284704  288842  292347  293947  296181  296486  302056  303315  303666
  303718  312314  314647  322597  326598  333147  333668  336730  337424
  338762  341270  345108  345427  346829  347715  353175  356448  356857
  363093  363105  363412  365174  367609  368080  370988  372038  372212
  372351  373006  373230  373743  373747  375021  375197  377599  381310
  385713  386199  386947  389285  394541  395023  395351  398236  399356
  400880  403184  403445  407134  414036  417954  418986  420597  421137
  422933  423574  425954  427096  427250  429595  431592  431870  432305
  433827  438350  444802  445481  449488  449745  451363  458240  459432
  460228  462037  464331  464605  470564  471630  471956  476763  477520
  480033  483533  485289  485938  486127  487076  490114  496617  503953
  505613  508803  519059  520930  520939  521306  521982  522862  523132
  523545  524613  524777  528367  529492  532364  539333  541815  543699
  543877  549392  551617  551846  552282  552846  554580  555714  557602
  558462  558611  563375  565842  567220  570894  571338  573259  573477
  574836  575050  578813  580438  583460  588423  589124  593085  594619
  597071  597681  598520  600064  600143  600467  601578  602580  603391
  604098  606879  607784  608890  612518  612824  615164  616689  617099
  619369  623841  671315  673209  676950  681522  690904  707341  712477
  716325  729883  731934  733876  734723  738639  739860  740276  742398
  746930  751640  752912  758478  759742  764017  786504  787610  807917
  822198  827410  828203  832102  838190  847910  864160  872217  877179
  878173  879726  884366  896048  898005  898488  902966  903640  904661
  912949  926491  930557  934545  937410  937696  943482  944957  950519
  953681  956580  956698  957469  981076  988472  995860  999796 1007158
 1015214 1015768 1018026 1019039 1020488 1027783 1031252 1032078 1036517
 1038540 1039640 1042827 1045120 1046714 1047195 1047997 1056508 1059661
 1060391 1061637 1062047 1064793 1065235 1065591 1066122 1067480 1068268
 1068448 1071020 1074210 1079464 1083396 1085088 1087871 1095891 1096379
 1097119 1097548 1097825 1099079 1099347 1099947 1103098 1106546 1106966
 1109186 1111244 1112194 1112777 1113680 1152434 1162081 1163691 1164116
 1164323 1166148 1167207 1168173 1168320 1168767 1168900 1169643 1170526
 1171591 1172616 1177872 1178295 1179522 1180356 1180756 1182118 1192664
 1194012 1194046 1195165 1196697 1198308 1198352 1201406 1202494 1202909
 1204127 1204414 1204460 1205093 1205586 1207721 1208935 1209189 1211373
 1214239 1218364 1218881 1220228 1226798 1227732 1229202 1229524 1232568
 1234017 1234764 1235236 1235780 1235897 1236675 1237802 1240314 1241399]",414, 451,2018-09-01,1,0.0,414,1
1,[144811 253749],2, 650 100,2018-09-01,1,0.0,2,1
2,[ 182535  315996  377865 1218664],4, 1234,2018-09-01,1,0.0,4,1
3,[176549 305264 541417],3, 1964,2018-09-01,1,0.0,3,1
5,[107225 267648 319251 336921 575459 925473],6, 3412051,2018-09-01,1,0.0,6,1
6,[107225 336921 575459],3, 3412051 3461025,2018-09-01,1,0.0,3,1
7,[267648 575459],2, 3412051 3430051 3450042,2018-09-01,1,0.0,2,1
8,[575459 925473],2, 3412051 3461040 2850269,2018-09-01,1,0.0,2,1
9,[144811 253749 449596 607312 905875],5, 650,2018-09-01,1,0.0,5,1
10,[ 405080 1108766],2, 3451005,2018-09-01,1,0.0,2,1
12,[312825 418129 963615],3, 5450154,2018-09-01,1,0.0,3,1
13,[312825 963615],2, 5450154 7719715 7892095 5461017,2018-09-01,1,0.0,2,1
14,[418129 963615],2, 5450154 7770415 6033,2018-09-01,1,0.0,2,1
15,[206659 264151 306030 338091 353824],5, 5461033,2018-09-01,1,0.0,5,1
16,[306030 353824],2, 5461033 12520039,2018-09-01,1,0.0,2,1
17,[206659 353824],2, 5461033 7719715,2018-09-01,1,0.0,2,1
20,[226621 348456 353824 580665],4, 5470002,2018-09-01,1,0.0,4,1
21,[584447 984430],2, 7618315 8287519 13600075 4190175 5401046,2018-09-01,1,0.0,2,1
22,[263913 984430],2, 7618315 7892095 5401046,2018-09-01,1,0.0,2,1
23,[409260 575459],2, 3461040 4152819,2018-09-01,1,0.0,2,1
24,[206659 221812 540247 549386 558309 715341 968563],7, 5450137,2018-09-01,1,0.0,7,1
25,[206659 540247],2, 5450137 7719715,2018-09-01,1,0.0,2,1
26,[540247 715341],2, 5450137 5461018 7445935 5401047,2018-09-01,1,0.0,2,1
27,[540247 549386],2, 5450137 7739995,2018-09-01,1,0.0,2,1
28,[201253 264552 418129 447204 488754 715341 960142],7, 5450138,2018-09-01,1,0.0,7,1
29,[264552 447204 715341],3, 5450138 7445935,2018-09-01,1,0.0,3,1
30,[418129 715341],2, 5450138 6033,2018-09-01,1,0.0,2,1
31,[ 984430 1204437],2, 7618315 7587895,2018-09-01,1,0.0,2,1
32,[264552 488754],2, 5450138 7719715,2018-09-01,1,0.0,2,1
33,[182809 539410 584447 679482 963615 991720],6, 5461028,2018-09-01,1,0.0,6,1
34,[182809 539410 584447 679482 963615],5, 5461028 5450142,2018-09-01,1,0.0,5,1
35,[584447 679482 963615],3, 5461028 7719715 5450142,2018-09-01,1,0.0,3,1
36,[584447 963615],2, 5461028 7729855 6026 6033 5450142 7719715 5430201,2018-09-01,1,0.0,2,1
37,[963615 991720],2, 5461028 5450090,2018-09-01,1,0.0,2,1
38,[ 263913  584447  984430 1006069 1204437],5, 7618315,2018-09-01,1,0.0,5,1
39,[ 263913 1006069],2, 7618315 7445935,2018-09-01,1,0.0,2,1
40,[263913 584447 984430],3, 7618315 5401046,2018-09-01,1,0.0,3,1
41,[418129 447204],2, 5450138 5401051,2018-09-01,1,0.0,2,1
42,[226621 353824],2, 5470002 7445935,2018-09-01,1,0.0,2,1
44,[353824 580665],2, 5470002 5450086,2018-09-01,1,0.0,2,1
45,[322520 575459],2, 3461005 3461025,2018-09-01,1,0.0,2,1
46,[319251 575459],2, 3461005 3412051,2018-09-01,1,0.0,2,1
47,[ 303934  616225 1173969],3, 3461006,2018-09-01,1,0.0,3,1
48,[ 616225 1173969],2, 3461006 4190175 6033,2018-09-01,1,0.0,2,1
49,[303934 616225],2, 3461006 3450010,2018-09-01,1,0.0,2,1
51,[ 263913  811620 1058393],3, 5401038,2018-09-01,1,0.0,3,1
52,[109665 307559 332928 963615],4, 5430043,2018-09-01,1,0.0,4,1
53,[319251 322520 575459 622371 847660],5, 3461005,2018-09-01,1,0.0,5,1
54,[109665 332928 963615],3, 5430043 5461017,2018-09-01,1,0.0,3,1
55,[307559 963615],2, 5430043 5461018 5450142,2018-09-01,1,0.0,2,1
56,[109665 963615],2, 5430043 5430201 5461017,2018-09-01,1,0.0,2,1
57,[109665 332928],2, 5430043 5461014 5461017,2018-09-01,1,0.0,2,1
58,[447204 535413 584447 819872],4, 5430104,2018-09-01,1,0.0,4,1
59,[447204 584447],2, 5430104 5401046 4190175,2018-09-01,1,0.0,2,1
60,[584447 819872],2, 5430104 7729855 5450142 7719715 8287519,2018-09-01,1,0.0,2,1
61,[447204 819872],2, 5430104 7598035 5401051,2018-09-01,1,0.0,2,1
62,[ 278593  972937 1097861 1179385],4, 5430258,2018-09-01,1,0.0,4,1
63,[307559 332928 963615],3, 5430043 5450142,2018-09-01,1,0.0,3,1
66,[337743 725052],2, 3450021 3450022 3461039,2018-09-01,1,0.0,2,1
67,[113425 250022 543699 556301 585878],5, 7461038 1073439 583279,2018-09-01,1,0.0,5,1
68,[155063 182925 280075],3, 8,2018-09-01,1,0.0,3,1
69,[ 114202  172406  276032  847660 1183011],5, 16070,2018-09-01,1,0.0,5,1
70,[ 555714  979705 1172837 1220228],4, 194433,2018-09-01,1,0.0,4,1
71,[ 555714 1220228],2, 194433 451,2018-09-01,1,0.0,2,1
72,[ 555714  979705 1172837],3, 194433 13600075,2018-09-01,1,0.0,3,1
73,[555714 979705],2, 194433 13600075 6026,2018-09-01,1,0.0,2,1
74,[132482 332928 344568 554300],4, 237666,2018-09-01,1,0.0,4,1
75,[447204 996797],2, 1061983,2018-09-01,1,0.0,2,1
76,[278763 405080 407141 556301],4, 1128582 1073439,2018-09-01,1,0.0,4,1
77,[278763 405080 556301],3, 1128582 583279 1073439,2018-09-01,1,0.0,3,1
78,[153963 267648 468837],3, 3119857,2018-09-01,1,0.0,3,1
82,[309153 585878],2, 3430109,2018-09-01,1,0.0,2,1
83,[244198 491168 880018],3, 3430213,2018-09-01,1,0.0,3,1
84,[204029 267648 337743 491168 725052],5, 3450021,2018-09-01,1,0.0,5,1
85,[204029 337743 725052],3, 3450021 3461039,2018-09-01,1,0.0,3,1
86,[183398 575459],2, 3461040 6157591 3450014,2018-09-01,1,0.0,2,1
87,[ 575459 1044697],2, 3461040 4159045 3450042,2018-09-01,1,0.0,2,1
88,[ 112044  183398  245144  409260  575459  925473 1044697],7, 3461040,2018-09-01,1,0.0,7,1
89,[ 867654 1155422],2, 3461029 3450011,2018-09-01,1,0.0,2,1
91,[226621 307210 338091 540247 549386 679482 945563],7, 7739995,2018-09-01,1,0.0,7,1
92,[226621 540247],2, 7739995 7445935,2018-09-01,1,0.0,2,1
94,[338091 540247 679482],3, 7739995 5450142,2018-09-01,1,0.0,3,1
95,[540247 679482],2, 7739995 7719715 5450142,2018-09-01,1,0.0,2,1
96,[107225 244198 261223 263990 616225],5, 2605189,2018-09-01,1,0.0,5,1
97,[107225 263990],2, 2605189 3461025,2018-09-01,1,0.0,2,1
99,[267648 526900 575459 599279],4, 3430051,2018-09-01,1,0.0,4,1
100,[526900 575459],2, 3430051 3461039 2850269,2018-09-01,1,0.0,2,1
101,[526900 599279],2, 3430051 3450137 3450013 3461039,2018-09-01,1,0.0,2,1
102,[ 112041  322520  369654  405080  734911  791569 1062852 1216762],8, 3430130,2018-09-01,1,0.0,8,1
103,[322520 734911 791569],3, 3430130 3461025,2018-09-01,1,0.0,3,1
104,[ 112041  369654 1062852],3, 3430130 3461018,2018-09-01,1,0.0,3,1
105,[ 112041 1216762],2, 3430130 6157591,2018-09-01,1,0.0,2,1
106,[112041 369654],2, 3430130 3450026 3461018,2018-09-01,1,0.0,2,1
107,[ 369654 1062852],2, 3430130 3450100 3461018,2018-09-01,1,0.0,2,1
108,[526900 575459 599279],3, 3430051 3461039,2018-09-01,1,0.0,3,1
111,[719763 819872],2, 7598035 5450142,2018-09-01,1,0.0,2,1
112,[ 474598  484507  497223  543993  880445  955263 1102748 1158085],8, 459,2018-09-01,1,0.0,8,1
113,[ 197985  261223  369654  383964 1062852 1071032 1108766 1162193],8, 3450100,2018-09-01,1,0.0,8,1
114,[ 369654 1071032],2, 3450100 3450026,2018-09-01,1,0.0,2,1
115,[ 355952  369654  734911  881754  979705  988747  998545 1121094],8, 3450114,2018-09-01,1,0.0,8,1
116,[ 998545 1121094],2, 3450114 3450011,2018-09-01,1,0.0,2,1
117,[355952 369654 881754 998545],4, 3450114 3450026,2018-09-01,1,0.0,4,1
118,[355952 881754],2, 3450114 3450026 3450042,2018-09-01,1,0.0,2,1
119,[369654 881754 998545],3, 3450114 3450026 3461018,2018-09-01,1,0.0,3,1
120,[881754 998545],2, 3450114 3450026 4159045 3461018,2018-09-01,1,0.0,2,1
121,[ 100715  278763  539410  599279  869865  903174  925473 1166138],8, 3461003,2018-09-01,1,0.0,8,1
122,[ 869865  903174 1166138],3, 3461003 3450014,2018-09-01,1,0.0,3,1
123,[100715 278763 925473],3, 3461003 2850269,2018-09-01,1,0.0,3,1
125,[ 216979  447204  532337  594237  719763  819872 1034599 1090818],8, 7598035,2018-09-01,1,0.0,8,1
126,[532337 719763],2, 7598035 6026,2018-09-01,1,0.0,2,1
127,[ 216979  719763 1034599],3, 7598035 5401047,2018-09-01,1,0.0,3,1
128,[216979 447204 594237 719763],4, 7598035 5401046,2018-09-01,1,0.0,4,1
129,[447204 719763],2, 7598035 5401046 7445935,2018-09-01,1,0.0,2,1
130,[216979 719763],2, 7598035 5401046 5401047,2018-09-01,1,0.0,2,1
131,[369654 734911],2, 3430130 3450114,2018-09-01,1,0.0,2,1
132,[ 278593 1179385],2, 5430258 7445935,2018-09-01,1,0.0,2,1
133,[ 204037  303934  325831  353744 1173969 1180587],6, 3461028,2018-09-01,1,0.0,6,1
134,[204037 353744],2, 3461028 4159045,2018-09-01,1,0.0,2,1
135,[332928 819872],2, 5461014 5461035 5450142 7729855,2018-09-01,1,0.0,2,1
136,[ 249916  348255  496094  497651  979705 1097861],6, 5462024,2018-09-01,1,0.0,6,1
137,[ 496094  979705 1097861],3, 5462024 6033,2018-09-01,1,0.0,3,1
139,[ 497651  979705 1097861],3, 5462024 5401046,2018-09-01,1,0.0,3,1
140,[ 979705 1097861],2, 5462024 5401046 6033 6026,2018-09-01,1,0.0,2,1
141,[134419 448856 467695 563152 855528],5, 5,2018-09-01,1,0.0,5,1
144,[134811 262444 436726 523818 893080],5, 24,2018-09-01,1,0.0,5,1
145,[185772 233592 473585 474598 484507],5, 463,2018-09-01,1,0.0,5,1
146,[474598 484507],2, 463 459,2018-09-01,1,0.0,2,1
147,[ 176862 1103976 1207037],3, 1061982,2018-09-01,1,0.0,3,1
148,[355952 448392 473768 600388 731074 830201],6, 3450136,2018-09-01,1,0.0,6,1
149,[731074 830201],2, 3450136 3461025,2018-09-01,1,0.0,2,1
150,[473768 600388 731074],3, 3450136 6157591,2018-09-01,1,0.0,3,1
151,[355952 448392 473768],3, 3450136 3450026,2018-09-01,1,0.0,3,1
152,[ 567441  867654 1155422],3, 3461029,2018-09-01,1,0.0,3,1
153,[ 189579  306942  415447  536870  899326 1001170],6, 104,2018-09-01,1,0.0,6,1
155,[332928 679482 819872],3, 5461014 5450142,2018-09-01,1,0.0,3,1
156,[ 418129  563837 1155422],3, 5461014 6033,2018-09-01,1,0.0,3,1
159,[ 204037 1173969],2, 3461028 3461026 6157591,2018-09-01,1,0.0,2,1
160,[138455 307210 353824 580665 953681 963615],6, 5450086,2018-09-01,1,0.0,6,1
162,[580665 963615],2, 5450086 5461017,2018-09-01,1,0.0,2,1
163,[353824 963615],2, 5450086 7719715 7445935,2018-09-01,1,0.0,2,1
164,[138455 963615],2, 5450086 5461018,2018-09-01,1,0.0,2,1
165,[ 141642  332928  468837  963615 1097861],5, 5450157,2018-09-01,1,0.0,5,1
166,[ 468837  963615 1097861],3, 5450157 6033 6026,2018-09-01,1,0.0,3,1
167,[332928 468837 963615],3, 5450157 5461017,2018-09-01,1,0.0,3,1
168,[ 332928  963615 1097861],3, 5450157 5450142,2018-09-01,1,0.0,3,1
169,[ 141642  963615 1097861],3, 5450157 5461018,2018-09-01,1,0.0,3,1
170,[ 963615 1097861],2, 5450157 5461018 5450142 6026 6033,2018-09-01,1,0.0,2,1
171,[468837 963615],2, 5450157 7770415 6026 7445935 6033 5461017,2018-09-01,1,0.0,2,1
172,[141642 332928 963615],3, 5450157 7729855,2018-09-01,1,0.0,3,1
173,[141642 963615],2, 5450157 7729855 5461018,2018-09-01,1,0.0,2,1
174,[ 332928 1097861],2, 5450157 5461035 5450142,2018-09-01,1,0.0,2,1
175,[ 109665  332928  418129  563837  679482  819872 1155422],7, 5461014,2018-09-01,1,0.0,7,1
176,[ 325831  353744 1173969],3, 3461028 2850269,2018-09-01,1,0.0,3,1
177,[268921 276275 331214 577134],4, 107 1505,2018-09-01,1,0.0,4,1
178,[ 972937 1097861 1179385],3, 5430258 5461035 6033 5401047 5450142,2018-09-01,1,0.0,3,1
180,[538235 988692],2, 5462013,2018-09-01,1,0.0,2,1
182,[153963 267648],2, 6424099 3119857 6424091,2018-09-01,1,0.0,2,1
183,[153829 153963],2, 6430045,2018-09-01,1,0.0,2,1
184,[267648 468837],2, 6430061 3119857,2018-09-01,1,0.0,2,1
185,[230856 267648],2, 6461013 3138238,2018-09-01,1,0.0,2,1
186,[153963 468837],2, 6461023 3119857,2018-09-01,1,0.0,2,1
187,[ 122130 1008562],2, 6461028 3646779,2018-09-01,1,0.0,2,1
190,[263990 394148],2, 7421007 2850269,2018-09-01,1,0.0,2,1
191,[263990 863647],2, 7423010 1073439,2018-09-01,1,0.0,2,1
194,[ 556301 1049835],2, 7430073 1073439 583279,2018-09-01,1,0.0,2,1
195,[405080 585878],2, 7461039 1073439 583279,2018-09-01,1,0.0,2,1
196,[199655 979705],2, 7640006,2018-09-01,1,0.0,2,1
197,[248633 584447],2, 7881955 5401046,2018-09-01,1,0.0,2,1
201,[447204 702529],2, 5450143,2018-09-01,1,0.0,2,1
202,[601588 706051],2, 269,2018-09-01,1,0.0,2,1
210,[418129 972937],2, 5461026 6033,2018-09-01,1,0.0,2,1
211,[ 245144 1108766],2, 3430183,2018-09-01,1,0.0,2,1
212,[1062651 1155422],2, 3430246,2018-09-01,1,0.0,2,1
214,[122130 353144],2, 3462969 3646779 3708049,2018-09-01,1,0.0,2,1
215,[580665 715341],2, 3959813,2018-09-01,1,0.0,2,1
216,[335544 849340],2, 4450111,2018-09-01,1,0.0,2,1
218,[ 332928 1177599],2, 5430098,2018-09-01,1,0.0,2,1
220,[452589 599279],2, 3430185,2018-09-01,1,0.0,2,1
221,"[ 101937  103914  104293  105293  108938  110899  111737  112044  113036
  113376  114666  118478  121147  123801  127790  128703  130181  130532
  133892  137504  137871  138455  139598  145875  147589  147772  149963
  152339  153185  154300  156634  161394  162055  162567  167520  167694
  173071  173169  174585  177160  177373  178797  187833  191304  191532
  191561  199984  200082  201600  205109  206426  207305  210060  210355
  214721  217160  223966  226086  231418  235297  235462  244827  249736
  251568  251775  253171  253363  256669  260419  261384  265419  266458
  266488  268238  270220  270341  270517  275377  275782  277766  281988
  284704  288842  292347  293947  296181  296486  302056  303315  303666
  303718  312314  314647  322597  326598  333147  333668  336730  337424
  338762  341270  345108  345427  346829  347715  353175  356448  356857
  363093  363105  363412  365174  367609  368080  370988  372038  372212
  372351  373006  373230  373743  373747  375021  375197  377599  381310
  385713  386199  386947  389285  394541  395023  395351  398236  399356
  400880  403184  403445  407134  414036  417954  418986  420597  421137
  422933  423574  425954  427096  427250  429595  431592  431870  432305
  433827  438350  444802  445481  449488  449745  451363  458240  459432
  460228  462037  464331  464605  470564  471630  471956  476763  477520
  480033  483533  485289  485938  486127  487076  490114  496617  503953
  505613  508803  519059  520930  520939  521306  521982  522862  523132
  523545  524613  524777  528367  529492  532364  539333  541815  543699
  543877  549392  551617  551846  552282  552846  554580  555714  557602
  558462  558611  563375  565842  567220  570894  571338  573259  573477
  574836  575050  578813  580438  583460  588423  589124  593085  594619
  597071  597681  598520  600064  600143  600467  601578  602580  603391
  604098  606879  607784  608890  612518  612824  615164  616689  617099
  619369  623841  671315  673209  676950  681522  690904  707341  712477
  716325  729883  731934  733876  734723  738639  739860  740276  742398
  746930  751640  752912  758478  759742  764017  786504  787610  807917
  822198  827410  828203  832102  838190  847910  864160  872217  877179
  878173  879726  884366  896048  898005  898488  902966  903640  904661
  912949  926491  930557  934545  937410  937696  943482  944957  950519
  953681  956580  956698  957469  981076  988472  995860  999796 1007158
 1015214 1015768 1018026 1019039 1020488 1027783 1031252 1032078 1036517
 1038540 1039640 1042827 1045120 1046714 1047195 1047997 1056508 1059661
 1060391 1061637 1062047 1064793 1065235 1065591 1066122 1067480 1068268
 1068448 1071020 1074210 1079464 1083396 1085088 1087871 1095891 1096379
 1097119 1097548 1097825 1099079 1099347 1099947 1103098 1106546 1106966
 1109186 1111244 1112194 1112777 1113680 1152434 1162081 1163691 1164116
 1164323 1166148 1167207 1168173 1168320 1168767 1168900 1169643 1170526
 1171591 1172616 1177872 1178295 1179522 1180356 1180756 1182118 1192664
 1194012 1194046 1195165 1196697 1198308 1198352 1201406 1202494 1202909
 1204127 1204414 1204460 1205093 1205586 1207721 1208935 1209189 1211373
 1214239 1218364 1218881 1220228 1226798 1227732 1229202 1229524 1232568
 1234017 1234764 1235236 1235780 1235897 1236675 1237802 1240314 1241399]",414, 451,2018-09-01,1,0.0,414,1
222,"[ 100194  108938  109054  109730  110899  114666  118478  123952  127760
  127790  130532  133070  133892  138170  146208  147410  149963  154300
  155063  156514  156634  161394  162567  163470  175853  183631  187833
  199021  199984  205109  206426  210939  235297  244827  249000  251568
  254475  255972  261384  270220  271779  272472  273854  274754  275782
  280536  292347  296343  304712  307173  308992  314647  319861  320135
  324605  325309  327909  328183  329014  329711  339011  344696  346289
  346427  349732  368080  369359  370988  375021  377190  378200  403445
  409613  413059  419944  421137  423574  424345  425954  427096  427250
  427921  432305  438350  442885  444802  445481  446043  449529  449531
  450658  451363  453193  455360  460228  464331  478931  483533  488821
  489993  495382  499532  519327  520599  521982  523545  530814  535838
  552846  556062  573259  573355  575523  589209  590747  590883  592984
  596217  600467  602580  604098  606762  607223  607784  612824  616689
  621412  622271  636341  675528  690546  731934  733453  739860  741170
  746930  751640  755525  776030  777319  786504  804991  805158  865313
  870253  874736  875601  879803  898933  903640  911967  915181  943482
  946527  950817  957469  960639  988747  999796 1011028 1022598 1030310
 1042614 1042827 1045120 1056892 1061637 1070572 1084524 1095891 1099020
 1103098 1106966 1122125 1163691 1166148 1167207 1168767 1171591 1178295
 1180756 1181387 1186493 1196697 1198352 1204127 1205586 1206265 1214239
 1227762 1234306 1237802]",192, 12520268,2018-09-01,1,0.0,192,1
223,"[ 108938  110899  114666  118478  127790  130532  133892  149963  154300
  156634  161394  162567  187833  199984  205109  206426  235297  244827
  251568  261384  270220  275782  292347  314647  368080  370988  375021
  403445  421137  423574  425954  427096  427250  432305  438350  444802
  445481  451363  460228  464331  483533  521982  523545  552846  573259
  600467  602580  604098  607784  612824  616689  731934  739860  746930
  751640  786504  903640  943482  957469  999796 1042827 1045120 1061637
 1095891 1103098 1106966 1163691 1166148 1167207 1168767 1171591 1178295
 1180756 1196697 1198352 1204127 1205586 1214239 1237802]",79, 12520268 451,2018-09-01,1,0.0,79,1
224,[278593 353824 447204 540247],4, 12520039 7445935,2018-09-01,1,0.0,4,1
225,[585878 600388],2, 12520039 19419902,2018-09-01,1,0.0,2,1
226,"[ 101583  118071  128775  130759  132062  137464  140050  141636  147896
  176713  188938  250163  252829  261340  263245  273947  280156  290355
  306257  307573  334058  342442  344568  351455  394148  411677  448392
  452539  452726  472186  475296  501606  515602  529492  530127  539358
  541417  554667  555991  562740  567649  659362  698889  714390  716317
  726529  778493  779241  821181  881754  945174  983363 1002608 1006301
 1014979 1018245 1024715 1029264 1029914 1035563 1049835 1115172 1138487
 1162683 1163690 1191838 1201691 1215150 1220258]",69, 12520053,2018-09-01,1,0.0,69,1
227,"[ 100497  103977  112044  123777  179750  187833  305678  406989  435521
  447204  539737  543642  560139  584447  591704  600388  616225  624828
  734723  758395  885828  984430  992218  998545 1015043 1071032 1153425
 1155422 1173969 1234306]",30, 4190175,2018-09-01,1,0.0,30,1
228,[112044 187833 734723],3, 4190175 451,2018-09-01,1,0.0,3,1
229,[ 187833 1234306],2, 4190175 12520268,2018-09-01,1,0.0,2,1
230,[ 584447  734723  998545 1015043 1153425 1155422 1173969],7, 4190175 6026,2018-09-01,1,0.0,7,1
231,[ 584447  600388  734723  984430  998545 1015043 1153425 1155422],8, 4190175 13600075,2018-09-01,1,0.0,8,1
232,[530814 600467 960639],3, 12520039 12520268,2018-09-01,1,0.0,3,1
233,[ 584447  734723  998545 1015043 1153425 1155422],6, 4190175 13600075 6026,2018-09-01,1,0.0,6,1
234,[ 584447  600388  998545 1015043 1153425],5, 4190175 19419902 13600075,2018-09-01,1,0.0,5,1
235,[ 584447  998545 1015043 1153425],4, 4190175 19419902 13600075 6026,2018-09-01,1,0.0,4,1
236,[ 584447  616225  734723  998545 1155422 1173969],6, 4190175 6033,2018-09-01,1,0.0,6,1
237,[ 584447  734723  998545 1155422 1173969],5, 4190175 6033 6026,2018-09-01,1,0.0,5,1
238,[ 584447  734723  998545 1155422],4, 4190175 6033 13600075 6026,2018-09-01,1,0.0,4,1
239,[447204 600388 984430],3, 4190175 12520039,2018-09-01,1,0.0,3,1
240,[600388 984430],2, 4190175 12520039 13600075,2018-09-01,1,0.0,2,1
241,"[ 107493  216979  263913  294115  363692  397717  400722  455008  471775
  490024  496094  520708  535413  540247  545984  563483  715341  719763
  824398  886899  916245  972937  988692 1034599 1097861 1155422 1162193
 1179385]",28, 5401047,2018-09-01,1,0.0,28,1
242,"[ 103977  112044  123777  179750  305678  539737  584447  600388  992218
  998545 1015043 1071032 1153425]",13, 4190175 19419902,2018-09-01,1,0.0,13,1
243,[485938 600467 956580],3, 12520039 451,2018-09-01,1,0.0,3,1
244,"[ 101912  109665  167349  184920  211249  213412  278593  286637  306030
  306607  313674  332610  335716  353824  364900  387532  393038  401255
  402886  404827  407141  409730  419473  447204  450519  457287  466184
  485938  503254  520041  530814  533207  540247  557537  584082  585878
  594535  600388  600467  618779  624033  725594  740786  743419  755860
  777179  778494  791569  876615  880018  890643  899392  912470  936719
  956580  960639  984430  996211 1017855 1018724 1037809 1060176 1062519
 1120037 1121824 1150728 1153745 1191002 1221607]",69, 12520039,2018-09-01,1,0.0,69,1
245,[ 584447  998545 1075356],3, 6033 19419902 6026,2018-09-01,1,0.0,3,1
246,"[ 259520  294115  315139  354336  359175  363690  363692  380150  396933
  428189  428202  453036  468837  471775  518759  518888  519469  519472
  519499  519887  521885  526399  528700  531053  532337  535929  538246
  542084  545984  548999  555714  572285  574634  584447  587069  596217
  602649  605068  606290  614220  619437  619463  625643  693153  695135
  719763  734723  752568  754357  772088  784359  824398  825189  842240
  842941  849812  901480  902696  903197  934189  945563  963615  964915
  965330  971686  979705  988614  988692  993844  995513  995860  998545
 1007975 1014685 1015043 1034094 1036452 1037646 1040091 1047955 1048011
 1052503 1054006 1058591 1075356 1097861 1108055 1113856 1116587 1152207
 1152434 1153425 1155422 1162191 1162193 1166433 1169908 1173969 1174591
 1193469 1205188]",101, 6026,2018-09-01,1,0.0,101,1
247,"[ 102647  122685  125494  153963  154544  156096  162585  167298  172406
  191426  191954  204886  254623  258555  298174  304012  307210  315774
  334919  345337  350143  351461  366803  377790  380150  380828  396038
  407030  439351  449743  453037  458098  459305  460608  466946  471775
  488635  511527  519469  526399  528700  555714  578301  584447  600388
  606704  655970  734723  742890  767197  789110  798831  849812  863993
  900951  915587  930235  949779  979705  984430  988692  995513  995860
  998545 1007975 1014685 1015043 1016894 1047955 1048011 1058591 1072004
 1113856 1152434 1153425 1155422 1162193 1172837 1174591]",79, 13600075,2018-09-01,1,0.0,79,1
248,"[ 380150  471775  519469  526399  528700  555714  584447  734723  849812
  979705  988692  995513  995860  998545 1007975 1014685 1015043 1047955
 1048011 1058591 1113856 1152434 1153425 1155422 1162193 1174591]",26, 13600075 6026,2018-09-01,1,0.0,26,1
249,[ 555714  734723  995860 1152434],4, 13600075 6026 451,2018-09-01,1,0.0,4,1
250,"[ 145232  158639  226621  248633  249715  263913  264552  272341  278593
  294115  327452  348255  353824  363692  373747  385149  447204  468837
  471775  490024  496421  505859  518902  519887  520708  529466  529805
  540247  543699  545984  563483  563837  613804  686005  715341  719763
  737878  809946  824398  847038  875023  916245  934189  963615  972779
  988614 1006069 1041531 1058591 1082539 1103450 1121384 1162193 1176997
 1179385]",55, 7445935,2018-09-01,1,0.0,55,1
251,[373747 543699],2, 7445935 451,2018-09-01,1,0.0,2,1
252,"[ 294115  363692  468837  471775  519887  545984  719763  824398  934189
  963615  988614 1058591 1162193]",13, 7445935 6026,2018-09-01,1,0.0,13,1
253,[ 471775 1058591 1162193],3, 7445935 13600075 6026,2018-09-01,1,0.0,3,1
