,user_ids,support,itemsets,period,property_values,depth,size,a
1817,[ 584447  719763 1097861],3, 5450142 5401046 6026 6033,2018-09-01,1,0.0,3,1
1818,[ 719763 1097861],2, 5450142 5401046 5401047 6033 6026,2018-09-01,1,0.0,2,1
1819,[332928 338091 505859 963615],4, 5450142 5461017,2018-09-01,1,0.0,4,1
1820,"[ 125918  144811  230124  253749  334330  429671  433073  459260  533301
  547651  579539  810351 1022090 1085887]",14, 100,2018-09-01,1,0.0,14,1
1821,"[ 186748  268921  276275  331214  410330  438192  451794  516890  577134
  962975  969445 1210284]",12, 1505,2018-09-01,1,0.0,12,1
1822,"[ 104790  113487  204029  267956  277744  314494  329057  381774  387123
  446165  473768  486628  555714  585878  622371  734723  903174  967199
  988692 1041531 1063543 1180587]",22, 18064205,2018-09-01,1,0.0,22,1
1823,[555714 734723 988692],3, 18064205 13600075 6026,2018-09-01,1,0.0,3,1
1824,[ 988692 1041531],2, 18064205 5401046,2018-09-01,1,0.0,2,1
1825,[104790 381774 486628 734723 903174],5, 18064205 3450014,2018-09-01,1,0.0,5,1
1830,"[ 158388  193219  220023  235259  282500  320170  336097  339159  394646
  420524  424857  432312  464167  482729  665787  723615  829744  863192
 1052838 1161081]",20, 1,2018-09-01,1,0.0,20,1
1831,"[ 118478  148440  171222  201169  277744  293147  309153  325831  331511
  444555  486628  616225  734723  791569  867654  998545 1028864 1049835
 1071032 1121094 1155422]",21, 3450011,2018-09-01,1,0.0,21,1
1832,[118478 734723],2, 3450011 451,2018-09-01,1,0.0,2,1
1833,[ 616225  734723  998545 1071032 1155422],5, 3450011 4190175,2018-09-01,1,0.0,5,1
1834,[ 540247  719763 1179385],3, 5450142 5401047 7445935,2018-09-01,1,0.0,3,1
1835,[ 540247  719763  972937 1097861 1179385],5, 5450142 5401047,2018-09-01,1,0.0,5,1
1836,[719763 963615],2, 5450142 6033 7445935 6026,2018-09-01,1,0.0,2,1
1837,[ 505859  719763  963615 1179385],4, 5450142 6033 7445935,2018-09-01,1,0.0,4,1
1838,[112041 168332],2, 3461018 2850269,2018-09-01,1,0.0,2,1
1839,"[ 104790  204037  280999  314494  331511  353744  497579  575459  581812
  881754  903174  998545 1044697 1049835 1108766 1111712 1166138]",17, 4159045,2018-09-01,1,0.0,17,1
1840,[ 881754 1049835],2, 4159045 12520053,2018-09-01,1,0.0,2,1
1841,[ 104790  204037  575459  903174 1166138],5, 4159045 3450014,2018-09-01,1,0.0,5,1
1842,[ 280999  353744  575459  581812 1108766],5, 4159045 2850269,2018-09-01,1,0.0,5,1
1843,[280999 331511 575459],3, 4159045 3461025,2018-09-01,1,0.0,3,1
1844,[280999 575459],2, 4159045 3461025 2850269,2018-09-01,1,0.0,2,1
1845,[ 575459  881754  903174 1044697],4, 4159045 3450042,2018-09-01,1,0.0,4,1
1846,[575459 903174],2, 4159045 3450042 3450014,2018-09-01,1,0.0,2,1
1847,[ 616225  734723  998545 1155422],4, 3450011 4190175 6033,2018-09-01,1,0.0,4,1
1848,"[ 171222  331511  337743  387123  409260  438350  526900  540247  554300
  599279  731074  734723  866385  963523  971894  988692 1039399 1061637
 1064097 1108766 1216762]",21, 3450013,2018-09-01,1,0.0,21,1
1849,[ 438350 1061637],2, 3450013 12520268 451,2018-09-01,1,0.0,2,1
1850,[ 971894 1061637],2, 3450013 19419902,2018-09-01,1,0.0,2,1
1851,[ 171222  526900 1108766],3, 3450013 2850269,2018-09-01,1,0.0,3,1
1852,[171222 331511 540247 731074],4, 3450013 3461025,2018-09-01,1,0.0,4,1
1854,"[ 182809  254144  307559  332928  338091  482628  505859  539410  540247
  584447  679482  702529  719763  809946  819872  862846  963615  972937
 1097861 1103450 1179385]",21, 5450142,2018-09-01,1,0.0,21,1
1855,[ 505859  540247  719763  809946  963615 1103450 1179385],7, 5450142 7445935,2018-09-01,1,0.0,7,1
1856,[ 505859  584447  719763  862846  963615  972937 1097861 1179385],8, 5450142 6033,2018-09-01,1,0.0,8,1
1857,[ 584447  719763  963615 1097861],4, 5450142 6033 6026,2018-09-01,1,0.0,4,1
1858,[ 438350  734723 1061637],3, 3450013 451,2018-09-01,1,0.0,3,1
1859,[ 734723  998545 1155422],3, 3450011 4190175 6033 13600075 6026,2018-09-01,1,0.0,3,1
1860,[ 309153  444555  486628  734723 1028864],5, 3450011 3450014,2018-09-01,1,0.0,5,1
1861,[ 171222  325831 1155422],3, 3450011 2850269,2018-09-01,1,0.0,3,1
1862,[540247 600388],2, 6157591 12520039,2018-09-01,1,0.0,2,1
1863,[ 600388  998545 1173969],3, 6157591 4190175,2018-09-01,1,0.0,3,1
1864,[600388 998545],2, 6157591 4190175 19419902 13600075,2018-09-01,1,0.0,2,1
1865,[ 540247  988692 1162193],3, 6157591 5401047,2018-09-01,1,0.0,3,1
1866,[ 540247 1162193],2, 6157591 5401047 7445935,2018-09-01,1,0.0,2,1
1867,[183398 204037 381774 575459 819320],5, 6157591 3450014,2018-09-01,1,0.0,5,1
1868,[ 112041  575459 1173969],3, 6157591 2850269,2018-09-01,1,0.0,3,1
1869,[540247 575459 731074 819320],4, 6157591 3461025,2018-09-01,1,0.0,4,1
1870,[575459 819320],2, 6157591 3461025 3450014,2018-09-01,1,0.0,2,1
1871,[ 988692  998545 1162193],3, 6157591 6033 13600075 6026,2018-09-01,1,0.0,3,1
1872,[ 575459 1162193 1173969],3, 6157591 3450042,2018-09-01,1,0.0,3,1
