,user_ids,support,itemsets,period,property_values,depth,size,SEX,itemset_name
1034,"[113487, 140911, 225166, 263913, 281283, 314234, 416219, 430319, 519887, 521931, 531392, 553832, 770127, 822868, 842240, 913872, 916838, 919731, 963615, 971686, 1040091]",21, 146,2018-05-01,M,0.5,21,M,[]
1035,"[416219, 521931, 553832, 842240, 913872, 963615, 1040091]",7, 146 87,2018-05-01,M,0.5,7,M,[]
1036,"[127136, 136688, 140911, 201688, 208815, 217726, 223906, 274836, 281274, 289106, 291022, 298245, 322061, 331420, 337309, 341101, 371866, 375108, 477648, 493502, 523356, 525118, 540798, 550676, 561280, 570723, 819522, 830622, 835254, 893310, 908504, 932279, 989745, 1015959, 1043765, 1049675, 1096289, 1096332]",38, 1490,2018-05-01,M,0.5,38,M,[]
1037,"[121408, 121590, 147432, 194430, 221595, 241604, 251765, 257643, 394811, 409957, 449358, 455688, 478470, 487374, 489485, 517820, 582735, 597071, 608527, 624879, 631244, 752568, 776030, 779242, 948321, 1071138]",26, 862,2018-05-01,M,0.5,26,M,[]
1038,"[121590, 194430, 257643, 394811, 409957, 455688, 478470, 489485, 582735, 624879, 752568, 776030, 948321]",13, 862 1952,2018-05-01,M,0.5,13,M,[]
1039,"[121408, 147432, 221595, 241604, 251765, 449358, 487374, 517820, 752568]",9, 862 1953,2018-05-01,M,0.5,9,M,[]
1040,"[121408, 194430, 394811, 449358, 478470, 487374]",6, 862 1482,2018-05-01,M,0.5,6,M,['BDG ECLAIR CHOCOLAT']
1041,"[221595, 257643, 752568, 779242]",4, 862 1842,2018-05-01,M,0.5,4,M,['NESTEA PECHE 50']
1042,"[139124, 193469, 300175, 316368, 501168, 523099, 804528, 873625, 897154, 948337, 975853, 996421, 1030527, 1088671]",14, 1491,2018-05-01,M,0.5,14,M,[]
1043,"[133113, 138017, 150337, 203468, 204400, 209794, 261384, 312256, 329014, 337630, 339445, 340295, 342130, 457077, 510973, 511179, 531250, 533921, 537580, 539857, 624106, 770747, 864948, 868873, 875771, 897826, 907465, 975853, 1001471, 1048263]",30, 480,2018-05-01,M,0.5,30,M,[]
1044,"[913872, 1014685, 1040091, 1060608]",4, 1940 482 87,2018-05-01,M,0.5,4,M,[]
1045,"[329014, 337630, 340295, 511179, 531250, 975853]",6, 480 1953,2018-05-01,M,0.5,6,M,[]
1046,"[752568, 761107, 901480, 913872, 1014685, 1040091, 1060608]",7, 1940 87,2018-05-01,M,0.5,7,M,[]
1047,"[194407, 242618, 287308, 287730, 387862, 488496, 752568, 988971, 992235, 1025269, 1041531]",11, 1940 1952,2018-05-01,M,0.5,11,M,[]
1048,"[192624, 247754, 452286, 594535]",4, 1242 1482,2018-05-01,M,0.5,4,M,"['BDG ECLAIR CHOCOLAT', 'RE OEUF MAYONNA']"
1049,"[448886, 555714, 752568, 913872, 1058591, 1101120]",6, 1242 87,2018-05-01,M,0.5,6,M,['RE OEUF MAYONNA']
1050,"[149020, 150337, 152260, 155855, 193191, 227837, 239503, 292856, 294412, 316852, 323729, 368210, 404236, 451669, 453834, 457077, 471775, 482649, 568646, 570702, 571753, 573259, 594114, 594535, 604947, 609104, 613132, 625753, 866495, 873712, 959196, 995860, 1016700, 1027715, 1042707, 1046200, 1053073]",37, 1946,2018-05-01,M,0.5,37,M,[]
1051,"[149020, 150337, 193191, 227837, 368210, 451669, 453834, 457077, 568646, 570702, 571753, 594114, 609104, 625753, 866495, 873712, 1016700, 1027715, 1046200]",19, 1946 1952,2018-05-01,M,0.5,19,M,[]
1052,"[149020, 404236, 451669, 594535, 1016700]",5, 1946 1482,2018-05-01,M,0.5,5,M,['BDG ECLAIR CHOCOLAT']
1053,"[239503, 457077, 625753, 1027715]",4, 1946 1487,2018-05-01,M,0.5,4,M,[]
1054,"[149020, 150337, 152260, 227837, 451669, 457077, 482649, 568646, 570702, 571753, 594114, 609104, 866495, 1016700]",14, 1946 1842,2018-05-01,M,0.5,14,M,['NESTEA PECHE 50']
1055,"[149020, 150337, 227837, 451669, 457077, 568646, 570702, 571753, 594114, 609104, 866495, 1016700]",12, 1946 1842 1952,2018-05-01,M,0.5,12,M,['NESTEA PECHE 50']
1056,"[111931, 112161, 121128, 130571, 172631, 195197, 207287, 218865, 222001, 260914, 262871, 267234, 268731, 275156, 306607, 317211, 352980, 387862, 402886, 433916, 435834, 443377, 462048, 484604, 488580, 493535, 550646, 559009, 568735, 574537, 588620, 590831, 594535, 597464, 599365, 603391, 607433, 656857, 757147, 837001, 867553, 926125, 926660, 1043083, 1060176, 1092488]",46, 476,2018-05-01,M,0.5,46,M,[]
1057,"[111931, 172631, 218865, 222001, 268731, 275156, 387862, 488580, 1060176]",9, 476 1952,2018-05-01,M,0.5,9,M,[]
1058,"[172631, 267234, 352980, 443377, 462048, 603391]",6, 476 1953,2018-05-01,M,0.5,6,M,[]
1059,"[111931, 112161, 121128, 172631, 218865, 268731, 275156, 443377, 550646, 594535, 597464, 926125]",12, 476 1482,2018-05-01,M,0.5,12,M,['BDG ECLAIR CHOCOLAT']
1060,"[111931, 172631, 218865, 268731, 275156]",5, 476 1482 1952,2018-05-01,M,0.5,5,M,['BDG ECLAIR CHOCOLAT']
1061,"[267234, 268731, 443377, 488580, 568735]",5, 476 1053,2018-05-01,M,0.5,5,M,[]
1062,"[140231, 194407, 210460, 242618, 287308, 287730, 336312, 337630, 338619, 374604, 387862, 404236, 488496, 574518, 608527, 618374, 752568, 761107, 880558, 901480, 913872, 948279, 988971, 992235, 1014685, 1018394, 1025269, 1040091, 1041531, 1060608]",30, 1940,2018-05-01,M,0.5,30,M,[]
1063,"[336312, 337630, 338619, 374604, 404236, 752568]",6, 1940 1953,2018-05-01,M,0.5,6,M,[]
1064,"[209988, 524542, 753456, 901254]",4, 2310,2018-05-01,M,0.5,4,M,[]
