,user_ids,support,itemsets,period,property_values,depth,size,DEPARTEMENT
58,"[ 416219  619437  849812  989025  993844 1008376 1014685 1037646 1045705
 1048011 1060608 1082751]",12, 13600075 6026,2018-05-01,78,0.4375,12,78
59,[416219 521931 553832 842240 963615],5, 7445935 6026,2018-05-01,78,0.4375,5,78
60,[416219 418129 471775 842240 963615],5, 6033 6026,2018-05-01,78,0.4375,5,78
61,[225166 263913 281283 314234 416219 519887 521931 916838],8, 5401047 7445935,2018-05-01,78,0.4375,8,78
62,[281283 416219 505859 519887 563837 916838],6, 5401047 6033,2018-05-01,78,0.4375,6,78
63,[ 565366  610249  719763  754685 1014685 1047955 1048011],7, 6027 6026,2018-05-01,78,0.4375,7,78
64,[281283 416219 519887 531392 842240 916838 963615 971686],8, 6033 7445935,2018-05-01,78,0.4375,8,78
65,[ 565366  610249  719763  754685 1014685 1047955 1048011],7, 6027 6026,2018-05-01,78,0.4375,7,78
66,[281283 416219 505859 519887 563837 916838],6, 5401047 6033,2018-05-01,78,0.4375,6,78
67,[225166 263913 281283 314234 416219 519887 521931 916838],8, 5401047 7445935,2018-05-01,78,0.4375,8,78
68,[281283 416219 519887 531392 842240 916838 963615 971686],8, 6033 7445935,2018-05-01,78,0.4375,8,78
69,[416219 418129 471775 842240 963615],5, 6033 6026,2018-05-01,78,0.4375,5,78
70,[416219 521931 553832 842240 963615],5, 7445935 6026,2018-05-01,78,0.4375,5,78
71,"[ 416219  619437  849812  989025  993844 1008376 1014685 1037646 1045705
 1048011 1060608 1082751]",12, 13600075 6026,2018-05-01,78,0.4375,12,78
72,[ 526400  734723  913872  979729  988692 1040091 1058591],7, 13600075 6026,2018-05-01,59,0.4375,7,59
73,[ 588730  842314  911614 1001550 1097861],5, 5401047 6033,2018-06-01,78,0.46875,5,78
74,"[ 416219  471775  535929  536334  584447  752568  957240  989025 1007975
 1008376 1036452 1037646 1082751]",13, 13600075 6026,2018-06-01,78,0.46875,13,78
75,"[ 416219  471775  535929  536334  584447  752568  957240  989025 1007975
 1008376 1036452 1037646 1082751]",13, 13600075 6026,2018-06-01,78,0.46875,13,78
76,[ 588730  842314  911614 1001550 1097861],5, 5401047 6033,2018-06-01,78,0.46875,5,78
77,[ 490024  584447  588730  911614 1001550],5, 8287519 6033,2018-06-01,78,0.46875,5,78
78,[ 490024  584447  588730  911614 1001550],5, 8287519 6033,2018-06-01,78,0.46875,5,78
80,[348255 469829 521883 532337 542073 553832 563837],7, 6033 7445935,2018-07-01,78,0.5,7,78
81,[103371 263913 348255 521883 553832 863993],6, 5401046 7445935,2018-07-01,78,0.5,6,78
82,[ 567971  860435  979705  998545 1152434],5, 13600075 6026,2018-07-01,59,0.5,5,59
83,"[ 105293  110899  114666  118478  147589  167694  187833  199984  235462
  251568  270220  314647  368080  403445  425954  427096  427250  432305
  451363  464331  588437  602580  604098  607784  612824  616689  739860
  751640  957469 1052581 1095891 1106546]",32, 12520268 451,2018-07-01,59,0.5,32,59
84,"[ 363692  468837  519885  536334  555714  578639  754776 1007975 1008376
 1014685 1047955 1082751 1097861]",13, 13600075 6026,2018-07-01,78,0.5,13,78
85,"[ 114666  118478  167694  187833  199984  292347  314647  351686  425954
  427096  427250  528367  602580  604098  681522  751640  777319 1095891
 1163691 1167617 1168767 1171591]",22, 12520268 451,2018-08-01,59,0.53125,22,59
86,[ 749038  860435  891917  979705 1152434 1155422 1179263],7, 13600075 6026,2018-08-01,59,0.53125,7,59
87,[ 519885  614220  619437  754776  979497 1007975 1037646 1082751 1113856],9, 13600075 6026,2018-08-01,78,0.53125,9,78
88,[143238 294115 399107 518902 550646 966582],6, 5401047 7445935,2018-08-01,78,0.53125,6,78
89,[ 294115  416219  519885  849812  963615 1097861],6, 6033 6026,2018-08-01,78,0.53125,6,78
90,[294115 399107 518902 521894 963615],5, 6033 7445935,2018-08-01,78,0.53125,5,78
91,[ 614220  893157  993844 1082751 1172145],5, 19419902 4190175,2018-08-01,78,0.53125,5,78
92,[ 400722  508618  552972  911665  963615 1181464],6, 7892095 6033,2018-09-01,78,0.5625,6,78
93,[400722 455008 490024 508618 545984 824398 911614],7, 5401047 6033,2018-09-01,78,0.5625,7,78
94,[471775 490024 545984 824398 916245],5, 5401047 7445935,2018-09-01,78,0.5625,5,78
95,"[ 108938  114666  118478  133892  167694  187833  199984  235462  244827
  270220  292347  314647  368080  389285  403445  425954  427250  432305
  438350  451363  464331  483533  521982  523545  602580  604098  607784
  612824  616689  751640  903640  957469 1061637 1095891 1163691 1167207
 1167617 1168767 1171591 1198352]",40, 12520268 451,2018-09-01,59,0.5625,40,59
96,"[ 471775  519469  526399  614220  719763  752568  754789  849812  995513
 1048011 1174591]",11, 13600075 6026,2018-09-01,78,0.5625,11,78
97,[490024 518902 545984 737878 824398 963615],6, 6033 7445935,2018-09-01,78,0.5625,6,78
99,[ 505859  862846  963615  972937 1097861],5, 5450142 6033,2018-10-01,78,0.59375,5,78
100,[1014685 1015043 1048011 1075356 1153425],5, 19419902 6026,2018-10-01,78,0.59375,5,78
101,[226621 264552 468837 505859 963615],5, 5461017 7445935,2018-10-01,78,0.59375,5,78
102,[363692 520708 540247 563483 715341 719763],6, 5401047 7445935,2018-10-01,78,0.59375,6,78
103,[ 496094  520708  715341  719763 1097861],5, 5401047 6033,2018-10-01,78,0.59375,5,78
104,[468837 505859 519887 520708 563837 715341 719763 963615],8, 6033 7445935,2018-10-01,78,0.59375,8,78
105,[ 460228  552846 1166148 1205586 1214239],5, 12520268 451,2018-10-01,62,0.59375,5,62
106,[ 471775  995513 1015043 1047955 1048011 1113856 1153425],7, 13600075 6026,2018-10-01,78,0.59375,7,78
107,[ 734723  979705 1058591 1152434 1162193],5, 13600075 6026,2018-10-01,59,0.59375,5,59
108,"[ 108938  114666  118478  127790  133892  149963  162567  187833  235297
  244827  270220  275782  292347  314647  368080  370988  375021  403445
  423574  425954  427096  427250  432305  445481  451363  464331  483533
  607784  612824  739860  751640  903640  957469  999796 1042827 1061637
 1095891 1103098 1106966 1163691 1167207 1168767 1171591 1178295]",44, 12520268 451,2018-10-01,59,0.59375,44,59
109,[ 156634  205109  460228  552846  731934  746930 1166148 1205586],8, 12520268 451,2018-11-01,62,0.625,8,62
110,"[ 114666  118478  127790  133892  161394  187833  199984  235297  244827
  251568  270220  314647  368080  425954  427096  427250  451363  464331
  521982  523545  602580  604098  607784  612824  616689  739860  751640
  786504 1061637 1163691 1167207 1168767 1171591 1180756 1196697 1198352]",36, 12520268 451,2018-11-01,59,0.625,36,59
111,[ 616225  734723  998545 1155422 1173969],5, 6033 4190175,2018-11-01,59,0.625,5,59
112,[ 616225  734723  998545 1071032 1155422],5, 3450011 4190175,2018-11-01,59,0.625,5,59
113,[ 156634  205109  460228  552846  603391 1166148 1205586],7, 12520268 451,2018-12-01,62,0.65625,7,62
114,[ 528700  555714  584447 1007975 1014685 1034094 1047955],7, 13600075 6026,2018-12-01,78,0.65625,7,78
116,"[ 108938  110899  114666  118478  127790  133892  187833  235297  251568
  270220  275782  292347  314647  368080  403445  421137  427096  438350
  464331  602580  607784  612824  616689  739860  751640  915181  943482
  957469 1061637 1095891 1168767 1171591 1180756 1198352]",34, 12520268 451,2018-12-01,59,0.65625,34,59
117,[ 156634  205109  460228  552846  603391  746930 1166148 1205586],8, 451 12520268,2019-01-01,62,0.6875,8,62
118,"[ 107030  108938  114666  118478  127790  133892  149963  187833  235297
  235462  244827  251568  270220  292347  368080  403445  421137  427096
  427250  438350  449529  464331  483533  523545  567220  602580  607784
  612824  616689  739860  751640  903640  957469  999796 1095891 1163691
 1167207 1168767 1171591 1180756 1196697 1198352 1221607 1234306 1236675]",45, 12520268 451,2019-01-01,59,0.6875,45,59
119,[ 622027  989025 1014685 1036452 1047955 1082751],6, 13600075 6026,2019-01-01,78,0.6875,6,78
120,"[ 156634  205109  329014  437007  460228  505823  552846  603391 1166148
 1205586]",10, 451 12520268,2019-02-01,62,0.71875,10,62
121,"[ 107030  108938  114666  118478  127790  133892  187833  235297  292347
  403445  421137  425954  427096  427250  438350  464331  483533  602580
  607784  612824  616689  739860  751640  957469  999796 1095891 1167207
 1168767 1171591 1198352]",30, 451 12520268,2019-02-01,59,0.71875,30,59
122,[ 294115  545984  556301  715341 1179385],5, 5401047 7445935,2019-03-01,78,0.75,5,78
123,[113487 241017 268854 548624 984430],5, 5401046 7445935,2019-03-01,78,0.75,5,78
124,"[ 108938  118478  127790  133892  187833  206396  235297  244827  270220
  355050  368080  403445  421137  425954  427250  464331  483533  607784
  612824  616689  739860  751640  838190  903640  957469  999796 1061637
 1095891 1163691 1167207 1168767 1171591 1180756 1198352 1218881 1237802]",36, 451 12520268,2019-03-01,59,0.75,36,59
125,[ 555714  761107 1007975 1014685 1082751],5, 13600075 6026,2019-03-01,78,0.75,5,78
126,[ 133070  156634  329014  460228  552846 1166148],6, 451 12520268,2019-04-01,62,0.78125,6,62
127,"[ 107030  108938  114666  127790  133892  187833  199984  235297  244827
  270220  275782  292347  314647  370988  400880  403445  421137  425954
  427096  427250  464331  483533  554673  588437  602580  604098  607784
  612824  616689  681522  739860  751640  838190  903640  915181  957469
  999796 1061637 1095891 1103098 1163691 1167207 1167617 1168767 1171591
 1198352 1236675 1237802 1239872]",49, 451 12520268,2019-04-01,59,0.78125,49,59
128,[ 263990  516496  564592  715341  842314 1211526],6, 5401047 7445935,2019-04-01,78,0.78125,6,78
129,"[ 108938  110899  114666  118478  127790  133892  187833  235297  270220
  314647  403445  421137  425954  427096  427250  464331  483533  602580
  612824  616689  681522  739860  751640  838190  957469 1061637 1095891
 1163691 1167207 1167617 1168767 1171591 1198352 1229524 1237802]",35, 12520268 451,2019-05-01,59,0.8125,35,59
130,[ 156634  505823  552846  619193 1166148 1205586],6, 451 12520268,2019-05-01,62,0.8125,6,62
131,[342631 658850 719763 727418 963615],5, 7770415 7445935,2019-05-01,78,0.8125,5,78
132,[ 133070  156634  373743  460228 1166148 1186493 1205586],7, 451 12520268,2019-06-01,62,0.84375,7,62
133,[ 552972 1014685 1034094 1054006 1171502],5, 13600075 6026,2019-06-01,78,0.84375,5,78
134,"[ 107030  114666  118478  127790  133892  187833  199984  235297  270220
  314647  403445  427096  464331  483533  523545  554673  602580  612824
  616689  739860  751640  838190  915181  957469 1042827 1061637 1095891
 1163691 1167207 1168767 1171591 1237802]",32, 12520268 451,2019-06-01,59,0.84375,32,59
135,"[ 108938  110899  114666  118478  127790  133113  133892  187833  235297
  244827  292347  314647  351686  357025  368080  403445  421137  427096
  464331  483533  554673  588437  602580  612824  616689  681522  739860
  751640  758478  786504  838190  957469  999796 1061637 1095891 1163691
 1167207 1167617 1168767 1171591 1189196 1198352 1237802]",43, 12520268 451,2019-07-01,59,0.875,43,59
136,[ 133070  156634  336730  460228  552846 1205586],6, 451 12520268,2019-07-01,62,0.875,6,62
137,[ 112633  416219  576327  916245 1179385],5, 5401047 7445935,2019-07-01,78,0.875,5,78
138,[ 112633  263913  281283  383508  469829  518911 1001366],7, 5401046 7445935,2019-07-01,78,0.875,7,78
139,"[ 107030  114666  127790  187833  235297  314647  403445  421137  425954
  427096  445481  483533  523545  528367  588437  602580  612824  616689
  751640  838190  957469 1037526 1061637 1095891 1163691 1168767 1171591
 1198352 1236675 1237802]",30, 12520268 451,2019-08-01,59,0.90625,30,59
140,[156634 403184 460228 552846 555432 603391 749584],7, 12520268 451,2019-09-01,62,0.9375,7,62
141,"[ 107030  108938  114666  118478  127790  133892  149963  187833  235297
  270220  275782  292347  314647  403445  421137  425954  427096  427250
  464331  483533  612824  616689  681522  739860  751640  838190  957469
 1061637 1095891 1163691 1167207 1167617 1168767 1171591 1198352 1236675
 1237802]",37, 12520268 451,2019-09-01,59,0.9375,37,59
142,[ 127790  372970  501817  602580 1045083 1124356],6, 3401042 3401043,2019-09-01,59,0.9375,6,59
143,"[ 108938  110899  114666  118478  127790  133892  187833  235297  244827
  270220  314647  351686  403445  418965  425954  427096  427250  445481
  464331  602580  612824  616689  739860  751640  957469 1095891 1163691
 1168767 1171591 1198352 1236675]",31, 12520268 451,2019-10-01,59,0.96875,31,59
144,[156096 421070 518902 540247 547386 576327 715341 916245],8, 5401047 7445935,2019-10-01,78,0.96875,8,78
