,user_ids,support,itemsets,period,property_values,depth,size,AGE,itemset_name
57,"[548999, 734723, 758594]",3, 3404 263,2017-04-01,35-49,0.05555555555555555,3,35-49,"['20 MADELEINES L. CHOCO 250G', 'REMISE BUS AUTOROUTE 9\x80']"
62,"[173033, 173559, 193986, 205440, 218106, 265391, 314677, 325354, 494566, 536074, 606450]",11, 4125 4126,2017-04-01,50-65,0.05555555555555555,11,50-65,"['RECHARGE LAVAGE', 'RECHARGE LAVAGE TW - A']"
63,"[193986, 298776, 309563, 364804, 470752]",5, 2797 4126,2017-04-01,50-65,0.05555555555555555,5,50-65,"['COCA COLA 50CL PET', 'RECHARGE LAVAGE']"
65,"[122584, 187833, 239757, 299971, 347715, 437007, 449488, 464331, 559445, 583351, 604098]",11, 2797 163,2017-04-01,50-65,0.05555555555555555,11,50-65,['COCA COLA 50CL PET']
67,"[380150, 518305, 584447]",3, 263 2797,2017-04-01,50-65,0.05555555555555555,3,50-65,"['COCA COLA 50CL PET', 'REMISE BUS AUTOROUTE 9\x80']"
69,"[173319, 297431, 331822, 339524, 374383, 487374, 570365, 606283]",8, 4112 2797,2017-04-01,50-65,0.05555555555555555,8,50-65,"['COCA COLA 50CL PET', 'LAVAGE CLU']"
70,"[273864, 294969, 303696, 378687, 468467]",5, 2969 4125,2017-04-01,50-65,0.05555555555555555,5,50-65,"['RECHARGE LAVAGE TW - A', 'TW LG DEMOUSTIQUEUR 3+1L']"
71,"[241533, 274894, 280850, 363005, 383043, 449176, 470752, 624179]",8, 4136 2797,2017-04-01,50-65,0.05555555555555555,8,50-65,"['COCA COLA 50CL PET', 'RECHARGE LAVAGE TW - D']"
77,"[363692, 421070, 428202, 518871, 526400, 531393, 535929, 535942, 548624, 552972, 584447, 908778]",12, 1547 263,2017-04-01,50-65,0.05555555555555555,12,50-65,"['REMISE BUS AUTOROUTE 9\x80', 'SAC BOUTIQUE KRAFT']"
78,"[387869, 471775, 489055, 584447, 714833]",5, 1738 263,2017-04-01,50-65,0.05555555555555555,5,50-65,"['CR CAFE EXPRESSO', 'REMISE BUS AUTOROUTE 9\x80']"
83,"[269187, 471775, 584447, 594666]",4, 693 1738,2017-04-01,50-65,0.05555555555555555,4,50-65,"['CR CAFE EXPRESSO', 'CRO JUS ORANGE 25 CL ANDROS']"
84,"[187833, 584447, 594666]",3, 1669 1622 721,2017-04-01,50-65,0.05555555555555555,3,50-65,"['BD. PAIN CHOCOLAT PAC', 'CR PAIN AU CHOCOLAT', 'CR PAIN AUX RAISINS']"
87,"[263990, 792749, 908778]",3, 912 969,2017-04-01,50-65,0.05555555555555555,3,50-65,[]
95,"[403445, 602580, 739860]",3, 2797 163,2017-04-01,<35,0.05555555555555555,3,<35,['COCA COLA 50CL PET']
109,"[471775, 752568, 908778]",3, 3404 263,2017-04-01,50-65,0.05555555555555555,3,50-65,"['20 MADELEINES L. CHOCO 250G', 'REMISE BUS AUTOROUTE 9\x80']"
110,"[428202, 584447, 908778]",3, 1162 1547 263,2017-04-01,50-65,0.05555555555555555,3,50-65,"['BD - - - A EMPO', 'REMISE BUS AUTOROUTE 9\x80', 'SAC BOUTIQUE KRAFT']"
111,"[428202, 526985, 584447, 908778]",4, 1162 263,2017-04-01,50-65,0.05555555555555555,4,50-65,"['BD - - - A EMPO', 'REMISE BUS AUTOROUTE 9\x80']"
