,user_ids,support,itemsets,period,property_values,depth,size,STATION_MGT_TYPE
0,"[428202 518871 531393 535929 548624 555714 565366 574634 584447 602649
 735292 751356 752568 758594 761107 849812 908778]",17, 13600075 6026,2017-02-01,COCO,0.0,17,COCO
2,[206078 263990 365536 622027 752568],5, 5461017 7445935,2017-02-01,COCO,0.0,5,COCO
3,[381774 395713 584447 610249 622027],5, 3461023 18064205,2017-02-01,COCO,0.0,5,COCO
4,[324797 352928 540247 600388 610249 616225 622027],7, 6157591 3450013,2017-02-01,COCO,0.0,7,COCO
5,[112041 352928 472871 610249 622027],5, 6157591 18064205,2017-02-01,COCO,0.0,5,COCO
6,[143947 315695 526985 622027 810219],5, 5470002 7445935,2017-02-01,COCO,0.0,5,COCO
7,[204029 286729 288846 525249 610249],5, 3461024 18064205,2017-02-01,COCO,0.0,5,COCO
8,[428202 616225 622027 752568 754685],5, 6027 6033 6026,2017-02-01,COCO,0.0,5,COCO
9,[428202 602649 610365 616225 622027 752568 754685 908778],8, 6027 6026,2017-02-01,COCO,0.0,8,COCO
10,[352928 602649 610249 622027 754685],5, 3450013 18064205,2017-02-01,COCO,0.0,5,COCO
11,[122584 352391 352928 385584 514349],5, 3461003 3450011,2017-02-01,COCO,0.0,5,COCO
12,[555714 602649 616225 622027 754685],5, 3450013 6026,2017-02-01,COCO,0.0,5,COCO
13,[555714 610249 616225 622027 754685],5, 3450013 6033,2017-02-01,COCO,0.0,5,COCO
14,[363692 428202 531393 548624 555714 565366 584447 752568],8, 6033 13600075,2017-02-01,COCO,0.0,8,COCO
15,[428202 531393 548624 555714 565366 584447 752568],7, 6033 13600075 6026,2017-02-01,COCO,0.0,7,COCO
16,[187833 322520 350647 427250 518210 565366 576233 584447 603204 624033],10, 4190175 19419902,2017-02-01,COCO,0.0,10,COCO
17,"[428202 471775 519469 519887 521885 531393 548624 555714 565366 584447
 616225 622027 752568 754685]",14, 6033 6026,2017-02-01,COCO,0.0,14,COCO
18,[471775 519887 548624 622027 752568],5, 7445935 6033 6026,2017-02-01,COCO,0.0,5,COCO
19,[584447 602649 622027 752568 754685],5, 18064205 6026,2017-02-01,COCO,0.0,5,COCO
20,[584447 610249 622027 752568 754685],5, 18064205 6033,2017-02-01,COCO,0.0,5,COCO
21,[281283 471775 519887 520708 548624 622027 752568],7, 7445935 6033,2017-02-01,COCO,0.0,7,COCO
22,[135400 158554 263990 332928 514133 543699],6, 5461017 7445935,2017-05-01,COCO,0.09090909090909091,6,COCO
23,[279525 555714 565366 622027 754685],5, 3430026 3450013 6033,2017-05-01,COCO,0.09090909090909091,5,COCO
24,[247730 314234 575459 599279 610249 849812],6, 3430051 3461024,2017-05-01,COCO,0.09090909090909091,6,COCO
25,[187317 489055 552972 553832 863993 911614],6, 7892095 5401004,2017-05-01,COCO,0.09090909090909091,6,COCO
26,[294115 400722 489055 553832 715341 911614],6, 7892095 7476355 6033,2017-05-01,COCO,0.09090909090909091,6,COCO
27,"[134151 274391 294115 400722 489055 510144 553832 566212 715341 863993
 911614]",11, 7892095 7476355,2017-05-01,COCO,0.09090909090909091,11,COCO
28,[294115 428202 489055 519885 553832 587069 715341],7, 7892095 6033 6026,2017-05-01,COCO,0.09090909090909091,7,COCO
29,[294115 400722 428202 489055 519885 553832 587069 715341 911614],9, 7892095 6033,2017-05-01,COCO,0.09090909090909091,9,COCO
30,[294115 428202 489055 519885 552972 553832 587069 715341],8, 7892095 6026,2017-05-01,COCO,0.09090909090909091,8,COCO
31,[124288 544077 734723 754685 913872 939408],6, 3461016 18064205,2017-05-01,COCO,0.09090909090909091,6,COCO
32,[201610 257398 284033 387869 395817 575459 813374],7, 2850269 3461025,2017-05-01,COCO,0.09090909090909091,7,COCO
33,[565366 584447 734723 754685 971894],5, 3461016 3450013 6033,2017-05-01,COCO,0.09090909090909091,5,COCO
34,[565366 584447 734723 754685 913872 971894],6, 3461016 3450013,2017-05-01,COCO,0.09090909090909091,6,COCO
35,[351525 584447 600388 734723 754685],5, 3461016 13600075,2017-05-01,COCO,0.09090909090909091,5,COCO
36,[124288 605409 648155 734723 913872],5, 3450011 18064205,2017-05-01,COCO,0.09090909090909091,5,COCO
37,[118478 603395 616225 734723 913872],5, 3450011 451,2017-05-01,COCO,0.09090909090909091,5,COCO
38,[349380 486023 489055 516496 553832 863993 911614],7, 5401004 7476355,2017-05-01,COCO,0.09090909090909091,7,COCO
39,[313130 349380 363690 471775 516496 531947 695135 863993],8, 5401004 7445935,2017-05-01,COCO,0.09090909090909091,8,COCO
40,[131005 348255 349380 455008 471775 489055 531947 536334 553832 911614],10, 5401004 6033,2017-05-01,COCO,0.09090909090909091,10,COCO
41,[349380 471775 489055 552972 553832 695135],6, 5401004 6026,2017-05-01,COCO,0.09090909090909091,6,COCO
42,[555714 565366 622027 754685 761107],5, 3430026 6027 6026,2017-05-01,COCO,0.09090909090909091,5,COCO
43,[565366 584447 734723 754685 913872],5, 3461016 6027 6026 3450013,2017-05-01,COCO,0.09090909090909091,5,COCO
44,[489055 602649 616225 891279 908778],5, 3461006 3450013,2017-05-01,COCO,0.09090909090909091,5,COCO
45,[494161 555714 622027 754685 849812],5, 3430176 3450013,2017-05-01,COCO,0.09090909090909091,5,COCO
46,"[286391 294115 349380 428202 455008 471775 489055 521885 536334 698767
 971894]",11, 5461012 6033,2017-05-01,COCO,0.09090909090909091,11,COCO
47,[352286 537370 587925 610249 964970],5, 3646779 2066013,2017-05-01,COCO,0.09090909090909091,5,COCO
48,[178271 234742 543699 544077 843216 867332],6, 1073439 583279,2017-05-01,COCO,0.09090909090909091,6,COCO
49,[286391 428202 587069 622013 754685],5, 5450079 6026,2017-05-01,COCO,0.09090909090909091,5,COCO
