,user_ids,support,itemsets,period,property_values,depth,size,AGE,itemset_name
0,"[110133, 124474, 134880, 137892, 149249, 157047, 170455, 184841, 188482, 195200, 208332, 212363, 245407, 330312, 344551, 365174, 377365, 382271, 383944, 387373, 388275, 403386, 406484, 428048, 435091, 457865, 469697, 480899, 482969, 491767, 506588, 518488, 520008, 545406, 548715, 555618, 579243, 584986, 588675, 590237, 613840, 615217, 617729, 626070, 693202, 693851, 733800, 747986, 748989, 756856, 758624, 781591]",52, 4125,2017-02-28,35-49,0.0,52,35-49,['RECHARGE LAVAGE TW - A']
1,"[170729, 274124, 299417, 371949, 375108, 444295, 475454, 561615, 605319, 623204]",10, 4129,2017-02-28,50-65,0.0,10,50-65,['REC LAVAGE PJE']
2,"[422794, 542068, 584447, 752568]",4, 263,2017-02-28,50-65,0.0,4,50-65,['REMISE BUS AUTOROUTE 9\x80']
3,"[104142, 113270, 167694, 192627, 234017, 287161, 369549, 380131]",8, 2946,2017-02-28,50-65,0.0,8,50-65,['TW  LAVE GLACE']
4,"[453036, 519887, 521885, 531393, 752568]",5, 264,2017-02-28,50-65,0.0,5,50-65,['REMISE BUS AUTOROUTE 15\x80']
5,"[247754, 447013, 519887, 752568]",4, 431,2017-02-28,50-65,0.0,4,50-65,['CAFE EXPRESSO']
6,"[199673, 260630, 294969, 383585, 584447]",5, 1547,2017-02-28,50-65,0.0,5,50-65,['SAC BOUTIQUE KRAFT']
7,"[106150, 125798, 356654, 661827]",4, 3334,2017-02-28,50-65,0.0,4,50-65,['SALADE MANHATTA']
8,"[113036, 168144, 301402, 439384, 459432]",5, 4074,2017-02-28,50-65,0.0,5,50-65,['BIDON AD BLUE 10L']
9,"[165568, 186738, 208744, 387101, 496594, 728393]",6, 4127,2017-02-28,50-65,0.0,6,50-65,['REC LAVAGE PJE  20 U']
10,"[134473, 174735, 344660, 470752, 624179, 730072]",6, 4136,2017-02-28,50-65,0.0,6,50-65,['RECHARGE LAVAGE TW - D']
11,"[204046, 240409, 388202, 488785, 558685]",5, 4128,2017-02-28,50-65,0.0,5,50-65,['REC LAVAGE PJE 35U']
12,"[173428, 214946, 331214, 338003]",4, 63,2017-02-28,50-65,0.0,4,50-65,[]
13,"[198513, 518210, 576233]",3, 721,2017-02-28,50-65,0.0,3,50-65,['BD. PAIN CHOCOLAT PAC']
14,"[110245, 235938, 687943]",3, 869,2017-02-28,50-65,0.0,3,50-65,['BD. CROISSANT ECLAT DU TERROIR']
15,"[261443, 269187, 321127, 518210]",4, 1738,2017-02-28,50-65,0.0,4,50-65,['CR CAFE EXPRESSO']
16,"[174525, 177528, 383585]",3, 2769,2017-02-28,50-65,0.0,3,50-65,['CHIPS LAYS MAX NATURE 135G']
17,"[383585, 429540, 463457, 542068]",4, 3275,2017-02-28,50-65,0.0,4,50-65,['SDW CLA JBON BEURRE 125G']
