,user_ids,support,itemsets,period,property_values,depth,size,AGE,itemset_name
0,"[107874, 107966, 112041, 113297, 113875, 125902, 126930, 132683, 133022, 133955, 141648, 145395, 146803, 152806, 154248, 156003, 157180, 164467, 166603, 168797, 170102, 173968, 181085, 182731, 183140, 183978, 184838, 189356, 192038, 193056, 193677, 195757, 197038, 197718, 199285, 199504, 202371, 202501, 211111, 222847, 229028, 230980, 231496, 235302, 236734, 249926, 253734, 260993, 264832, 269982, 270370, 270415, 270754, 278479, 288120, 289819, 289967, 290337, 296137, 298450, 304026, 305001, 305264, 313650, 314153, 314863, 318339, 322207, 327138, 327610, 329514, 329819, 331316, 333530, 335616, 336107, 336968, 337386, 337828, 339726, 339885, 340311, 342376, 342654, 344704, 350593, 350800, 352108, 353509, 353647, 353820, 354101, 354730, 358989, 359007, 359909, 360868, 361859, 362574, 363046, 363393, 368969, 369391, 369476, 374531, 377365, 378650, 380689, 381808, 385474, 389100, 392099, 397173, 397255, 397272, 397289, 403090, 403759, 408605, 409547, 411041, 411774, 411832, 412316, 416537, 419594, 420063, 422146, 422439, 425005, 425686, 426511, 426563, 428148, 429530, 431743, 434724, 435049, 436180, 437676, 438169, 438686, 440924, 444642, 445147, 447321, 448117, 453626, 454130, 454692, 457077, 462181, 463601, 467594, 470042, 470483, 470645, 472481, 472871, 476375, 477668, 479753, 480255, 483490, 486113, 487956, 490190, 491988, 492152, 494705, 495068, 506019, 506392, 506611, 507911, 508067, 513229, 514356, 517640, 518439, 519306, 520840, 521461, 525304, 526976, 527840, 528811, 530414, 536854, 538559, 538640, 543053, 543323, 544080, 545590, 548135, 550293, 552521, 558271, 561292, 562031, 563531, 573393, 573780, 574995, 577041, 583577, 583814, 591109, 592510, 601555, 604625, 607089, 607518, 608653, 612811, 613217, 615241, 617647, 618973, 619106, 620005, 625136, 640725, 653292, 668724, 682984, 700210, 707394, 715934, 716101, 728050, 732484, 748610, 748791, 756856, 757685, 767398, 778878, 783849, 794818, 864313, 868017, 869865, 878915, 882421, 911475]",247, 4126,2017-02-01,35-49,0.0,247,35-49,['RECHARGE LAVAGE']
1,"[269187, 471775, 584447]",3, 693 1622 1738,2017-02-01,50-65,0.0,3,50-65,"['CR CAFE EXPRESSO', 'CR PAIN AU CHOCOLAT', 'CRO JUS ORANGE 25 CL ANDROS']"
7,"[263990, 332928, 365536, 423037, 752568]",5, 1119,2017-02-01,50-65,0.0,5,50-65,['BD SAN PELLEGRI']
8,"[263990, 365536, 752568]",3, 1119 431,2017-02-01,50-65,0.0,3,50-65,"['BD SAN PELLEGRI', 'CAFE EXPRESSO']"
9,"[261443, 269187, 471775, 584447]",4, 693 1738,2017-02-01,50-65,0.0,4,50-65,"['CR CAFE EXPRESSO', 'CRO JUS ORANGE 25 CL ANDROS']"
10,"[100715, 324797, 352928, 540247]",4, 1164,2017-02-01,50-65,0.0,4,50-65,['CR TARTE NORMANDE']
13,"[200853, 247754, 263990, 304549]",4, 1464,2017-02-01,50-65,0.0,4,50-65,['BDG STEACK HACHE FRITES']
14,"[200853, 263990, 304549]",3, 1523 1464,2017-02-01,50-65,0.0,3,50-65,"['BDG EXPRESSO', 'BDG STEACK HACHE FRITES']"
15,"[100715, 470636, 527643, 540247, 584447]",5, 1704,2017-02-01,50-65,0.0,5,50-65,['KIT KAT X 3  124.50']
16,"[100715, 527643, 584447]",3, 1704 1547,2017-02-01,50-65,0.0,3,50-65,"['KIT KAT X 3  124.50', 'SAC BOUTIQUE KRAFT']"
