,user_ids,support,itemsets,period,property_values,depth,size,STATION_MGT_TYPE,DEPARTEMENT
43,[286391 584447 754685 849812 908778],5, 3450013 13600075 6026,2017-06-01,COCO_78,0.11764705882352941,5,COCO,78
44,[428202 489055 519885 552972 553832 715341],6, 7892095 6026,2017-06-01,COCO_78,0.11764705882352941,6,COCO,78
45,[279525 286391 555714 565366 584447 610249 622027 754685 964970 971894],10, 3450013 6033,2017-06-01,COCO_78,0.11764705882352941,10,COCO,78
46,[286391 555714 565366 584447 610249 622027 754685 964970],8, 3450013 6033 6026,2017-06-01,COCO_78,0.11764705882352941,8,COCO,78
47,"[110899 244827 270220 271779 296486 314647 421137 427096 432305 464331
 485938 573259 602580 603395 616689 681522 739860 751640]",18, 12520039 451,2017-06-01,COCO_59,0.11764705882352941,18,COCO,59
48,[138296 258366 314647 330295 447294 453193 622143 681522],8, 2000 12520039,2017-06-01,COCO_59,0.11764705882352941,8,COCO,59
49,[415279 526400 610037 734723 828469],5, 13600075 6026,2017-06-01,COCO_59,0.11764705882352941,5,COCO,59
50,[187833 322520 363922 575890 600388 626162 881166],7, 4190175 19419902,2017-06-01,COCO_59,0.11764705882352941,7,COCO,59
51,[616225 622013 734723 828469 913872],5, 6027 6026,2017-06-01,COCO_59,0.11764705882352941,5,COCO,59
52,"[286391 349380 399087 428202 471775 505859 519885 553832 555714 565366
 578639 584447 610249 622027 715341 754685 964970]",17, 6033 6026,2017-06-01,COCO_78,0.11764705882352941,17,COCO,78
53,[286391 471775 519885 584447 754685],5, 13600075 6033 6026,2017-06-01,COCO_78,0.11764705882352941,5,COCO,78
54,[349380 399087 489055 505859 553832 578639 715341 754685],8, 7476355 6026,2017-06-01,COCO_78,0.11764705882352941,8,COCO,78
55,"[286391 348261 363692 471775 519469 519885 521191 535929 584447 619437
 749414 752568 754685 754772 761107 840055 849812 902696 908778 923572
 957240]",21, 13600075 6026,2017-06-01,COCO_78,0.11764705882352941,21,COCO,78
56,[349380 399087 505859 553832 578639 715341 754685],7, 7476355 6033 6026,2017-06-01,COCO_78,0.11764705882352941,7,COCO,78
57,[286391 555714 565366 584447 610249 622027 754685 849812 908778 964970],10, 3450013 6026,2017-06-01,COCO_78,0.11764705882352941,10,COCO,78
58,[349380 399087 542073 578639 971894],5, 7445935 7476355 6033,2017-06-01,COCO_78,0.11764705882352941,5,COCO,78
59,"[294115 349380 399087 400722 468837 505859 542073 553832 578639 698767
 715341 754685 911614 971894]",14, 7476355 6033,2017-06-01,COCO_78,0.11764705882352941,14,COCO,78
60,[349380 399087 471775 519885 578639],5, 7445935 6033 6026,2017-06-01,COCO_78,0.11764705882352941,5,COCO,78
61,"[349380 399087 471775 519885 519887 521183 542073 545984 578639 612925
 971894]",11, 7445935 6033,2017-06-01,COCO_78,0.11764705882352941,11,COCO,78
62,[156096 214134 349380 399087 469829 516496 542073 578639 971894],9, 7445935 7476355,2017-06-01,COCO_78,0.11764705882352941,9,COCO,78
63,[519885 555714 565366 584447 610249 622027 754685],7, 6027 6033 6026,2017-06-01,COCO_78,0.11764705882352941,7,COCO,78
64,[519885 555714 565366 584447 610249 622027 754685 761107 849812 908778],10, 6027 6026,2017-06-01,COCO_78,0.11764705882352941,10,COCO,78
65,[519885 584447 754685 761107 849812 908778],6, 6027 13600075 6026,2017-06-01,COCO_78,0.11764705882352941,6,COCO,78
66,[380150 482421 489055 548624 563837],5, 5401004 6033,2017-08-01,COCO_78,0.17647058823529413,5,COCO,78
67,[400722 489055 518902 606922 715341],5, 7892095 7476355,2017-08-01,COCO_78,0.17647058823529413,5,COCO,78
68,[400722 428202 489055 518902 715341 842240 963615],7, 7892095 6033,2017-08-01,COCO_78,0.17647058823529413,7,COCO,78
69,[400722 471775 489055 518902 971894],5, 5461012 7476355 6033,2017-08-01,COCO_78,0.17647058823529413,5,COCO,78
70,[182028 476509 508618 849812 957240],5, 3430026 3450013,2017-08-01,COCO_78,0.17647058823529413,5,COCO,78
71,[400722 468837 471775 489055 518902 521885 572619 971894],8, 5461012 6033,2017-08-01,COCO_78,0.17647058823529413,8,COCO,78
72,[111738 241017 380150 482421 548624 563837],6, 5401004 7445935,2017-08-01,COCO_78,0.17647058823529413,6,COCO,78
73,[214134 418127 471775 516496 563837 971894],6, 7476355 7445935,2017-08-01,COCO_78,0.17647058823529413,6,COCO,78
74,[400722 471775 489055 516496 518902 971894],6, 5461012 7476355,2017-08-01,COCO_78,0.17647058823529413,6,COCO,78
75,[508618 619437 957240 965330 971894],5, 3450013 6027,2017-08-01,COCO_78,0.17647058823529413,5,COCO,78
76,[619437 752568 849812 957240 965330 971894 975522],7, 3450013 6026,2017-08-01,COCO_78,0.17647058823529413,7,COCO,78
77,[428202 565366 619437 754685 908778 957240 965330 971894],8, 6027 6026,2017-08-01,COCO_78,0.17647058823529413,8,COCO,78
