,user_ids,support,itemsets,period,property_values,depth,size,a,itemset_name
18,"[109220, 111342, 120286, 126277, 132519, 145747, 147391, 168956, 176750, 176911, 193191, 203511, 205800, 206416, 215849, 219353, 222204, 228634, 231893, 257484, 278491, 285365, 319243, 332635, 338288, 352703, 355661, 384542, 411724, 412666, 416657, 516389, 533708, 603020, 771232, 874591, 890874, 906775, 911318, 913899, 950963, 957568, 967128]",43,4920,2018-07-01,1,0.4375,43,1,['SERVIET.OBELIX']
19,"[116517, 146032, 149886, 150269, 154132, 176750, 178285, 215374, 222204, 223109, 226924, 273864, 278491, 303696, 317586, 343202, 347942, 423611, 454815, 465004, 468551, 533708, 538133, 626547, 763292, 766708, 913899, 923982, 967128]",29,4125,2018-07-01,1,0.4375,29,1,['RECHARGE LAVAGE TW - A']
20,"[120286, 129415, 134163, 168956, 179416, 188588, 222204, 223788, 262442, 273864, 309886, 317586, 332635, 345624, 390199, 397953, 412666, 530327, 540251, 582720, 711978, 804972, 866133, 874591, 890874, 911734, 912398, 957568, 997163, 1030140]",30,4112,2018-07-01,1,0.4375,30,1,['LAVAGE CLU']
21,"[140387, 148461, 158672, 168953, 181642, 206676, 209276, 266177, 270966, 273864, 301967, 317586, 345624, 365367, 423878, 476566, 522268, 580829, 582720, 598886, 642259, 805158, 911734, 1030140]",24,4921,2018-07-01,1,0.4375,24,1,['SERVIET.FALBALA']
22,"[115334, 149886, 176750, 178285, 191681, 215374, 225614, 226924, 226985, 236344, 273864, 274953, 275835, 282315, 303696, 317586, 468551, 472947, 538133, 547913, 647915, 763292, 766708, 890874, 913899, 923982]",26,4125,2018-09-01,1,0.5,26,1,['RECHARGE LAVAGE TW - A']
23,"[114423, 115022, 115334, 119521, 164308, 176750, 179416, 180230, 188588, 206416, 223788, 231893, 262442, 263042, 273864, 274953, 280880, 309886, 317586, 343202, 390199, 412666, 438114, 476566, 530327, 598886, 624174, 711978, 730825, 811951, 866133, 874591, 874653, 886537, 906775, 1004644, 1030140, 1062335, 1066967]",39,4112,2018-09-01,1,0.5,39,1,['LAVAGE CLU']
24,"[115022, 115334, 116610, 120248, 130184, 131516, 133917, 147391, 151260, 167976, 168956, 176750, 193191, 216386, 227628, 231629, 259132, 262442, 266177, 274953, 286963, 301967, 343202, 365367, 421033, 465308, 476566, 482512, 508797, 538133, 574109, 771232, 820248, 835363, 881579, 965178, 997163, 1004644, 1029987, 1199522]",40,4112,2018-11-01,1,0.5625,40,1,['LAVAGE CLU']
25,"[106174, 114932, 115022, 119521, 120086, 120286, 126249, 130184, 132519, 133917, 145257, 146032, 149886, 157246, 169447, 178285, 179416, 188588, 206416, 209276, 221900, 223786, 228458, 231629, 252547, 259132, 261752, 273864, 274132, 278491, 285090, 285450, 287754, 312415, 317586, 332635, 343142, 355661, 357876, 373929, 380236, 384542, 393439, 406056, 423878, 428273, 432898, 437424, 437974, 443706, 476566, 482512, 482580, 483211, 499127, 503579, 508797, 519327, 524668, 535838, 537723, 575523, 623370, 625091, 631244, 711978, 763292, 844897, 866133, 867805, 873360, 965178, 997163, 1004644, 1029987, 1030140, 1085639, 1089136, 1102006, 1109294, 1163901, 1168652, 1199118, 1199522, 1207494, 1215832, 1216244]",87,4112,2019-01-01,1,0.625,87,1,['LAVAGE CLU']
26,"[116517, 149886, 176750, 178285, 215374, 226924, 236344, 252704, 274953, 278491, 288714, 303696, 317586, 432898, 474879, 524668, 538133, 832235, 844897, 913899, 923982, 1109294, 1216244]",23,4125,2019-01-01,1,0.625,23,1,['RECHARGE LAVAGE TW - A']
27,"[105126, 115022, 120086, 126277, 131516, 188588, 194411, 226617, 231629, 231893, 252547, 261240, 266177, 273864, 274953, 287754, 312415, 332635, 390199, 406056, 417444, 428273, 475180, 478530, 498303, 508797, 520056, 545910, 866133]",29,4126,2019-01-01,1,0.625,29,1,['RECHARGE LAVAGE']
28,"[133917, 155862, 155913, 164308, 180230, 206416, 226924, 242680, 273864, 278491, 285090, 355661, 365367, 373929, 397953, 402831, 475180, 498303, 503579, 524668, 538133, 711978, 809144, 876768, 957568]",25,2968,2019-01-01,1,0.625,25,1,['TW 10 LINGUETTE']
