ARTICLE_ID,DESCRIPTION,adoption_counts,loyalty1_counts,loyalty2_counts,loyalty,promo_exclusive_products,replacement
3502110008978,7 UP REG CAN 33CL,0,0,0,0,0,0
3244081500005,75 IGP CAMARGUE RS,0,0,0,0,0,0
3502110006264,7UP MOJITO 33CL,0,0,0,0,0,0
3502110009012,7UP REG PET 500ML (54X24),0,0,0,0,0,0
3502110009036,"7UP REGULAR 1,5L",0,0,0,0,0,0
3760116503129,8 MADELEINES 256G DV CRAQ,0,0,0,0,0,0
3158846642261,8 MINI-FUSIBLES ENFICHABLES,0,0,0,0,0,0
3263855090597,8.0° RROYAL CLUB,0,0,0,0,0,0
8714800004114,8.6 ORIGINAL 50 CL,0,0,0,0,0,0
3700232611940,A ELECTROSTATIQ,0,0,0,0,0,0
3700536103394,A ELECTROSTATIQUE,0,0,0,0,0,0
3285055910055,A MAGNETIQUE,0,0,0,0,0,0
7638900202915,AAA LR03 ULTRA+ ENERGIZER,0,0,0,0,0,0
3011449263762,AB GPNOX LESCOT 10 L,0,0,0,0,0,0
3048431001996,ABATILLES 1.5 L,0,0,0,0,0,0
3162330500012,ABBAYE TRADITION,0,0,0,0,0,0
3170650006114,ABEL AUTO NETTOYANT INSECTES 500ML,0,0,0,0,0,0
3170650006480,ABEL FIENTES 750ML,0,0,0,0,0,0
3597230002029,ABMENT PROPANE 13 KG TOTAL GAZ,0,0,0,0,0,0
3597230002028,ABONNEMENT  13KG,0,0,0,0,0,0
3597230002289,ABONNEMENT 13 KG ET MALI,0,0,0,0,0,0
3597230002012,ABONNEMENT BUTA,0,0,0,0,0,0
7612720201914,ABRE MAGIQUE POMME,0,0,0,0,0,0
3378850008000,ABRICOT 300 GR V&D,0,0,0,0,0,0
3354860373055,ABRICOTS 450G C,0,0,0,0,0,0
7312040017683,ABSOLUT VODKA 700ML,0,0,0,0,0,0
3700520420353,ACC CHEVEUX 3.5EE ETE 16 BIDULES,0,0,0,0,0,0
3700520402014,ACCESS 2 ETE 14 BIDULES,0,0,0,0,0,0
3700520420308,ACCESS C 3E ETE,0,0,0,0,0,0
3700520420407,ACCESS H 4E ETE 15 BIDULES,0,0,0,0,0,0
400000001173,ACCESSOIRES PNE,0,0,0,0,0,0
3017760111799,ACCESSOIRS,0,0,0,0,0,0
4020716088013,ACCUMULATEUR FROID,0,0,0,0,0,0
5410146406201,ACTIMEL 97.5ML,0,0,0,0,0,0
3425901014890,ACTIVA 5000 ESS 15W40,0,0,0,0,0,0
3425901019178,ACTIVA 7000E 5L,0,0,0,0,0,0
3425900000962,ACTIVA 9000  1L   5W40,0,0,0,0,0,0
3011449262970,ACTIVA 9000 5W4,0,0,0,0,0,0
3425901029788,ACTIVA 9000 FUT,0,0,0,0,0,0
3425901015859,ACTIVA 9000E 1L,0,0,0,0,0,0
3425901015835,ACTIVA D5000 1L 15W40,0,0,0,0,0,0
3425901014944,ACTIVA D9000 5L   5W40,0,0,0,0,0,0
3425901018188,ACTIVA INEO ECS 5W30 2L,0,0,0,0,0,0
3425901018201,ACTIVA INEO ECS 5W30 ED 1L,0,0,0,0,0,0
3425901027432,ACTIVA INEO LON,0,0,0,0,0,0
3425901027449,ACTIVA INEO LONG LIFE 5W30 5L,0,0,0,0,0,0
3760137830389,ACTIVATION PACK,0,0,0,0,0,0
3033491139963,ACTIVIA VANILLE,0,0,0,0,0,0
3700232615764,ADAP. PRISE ANGLETERRE/CONTINENT 10A MAX,0,0,0,0,0,0
3700493487414,"ADAPATEUR ALLUME-CIGARE 4 USB 4,8A MOXIE",0,0,0,0,0,0
5414633062017,ADAPT 3100 ALL.CIG. 2USB,0,0,0,0,0,0
3513765119964,ADAPT 4 PRISES,0,0,0,0,0,0
3663111045611,ADAPT ALL CIG 1,0,0,0,0,0,0
8000692389256,ADAPT CIGAR 12/,0,0,0,0,0,0
3513760017470,ADAPT DBLE PRIS,0,0,0,0,0,0
3700232615771,ADAPT UNIVERSELLE PAYS EU 10A MAX 250V,0,0,0,0,0,0
3663111045505,ADAPTAEUR AC 1,0,0,0,0,0,0
3513764489280,ADAPTATEUR 1USB,0,0,0,0,0,0
3513764485299,ADAPTATEUR 2 USB 12/24,0,0,0,0,0,0
3513764485312,ADAPTATEUR 3P A,0,0,0,0,0,0
3663111045659,ADAPTATEUR AC 2,0,0,0,0,0,0
3663111045635,ADAPTATEUR AC 2 USB 2.4A,0,0,0,0,0,0
3561864809071,ADAPTATEUR AC USB,0,0,0,0,0,0
3513764485305,ADAPTATEUR ALL-CIG DOUBLE USB,0,0,0,0,0,0
3513764485282,ADAPTATEUR ALL.,0,0,0,0,0,0
3663111045468,ADAPTATEUR ALLUME-CIGARE 1 USB 1A + CÂBL,0,0,0,0,0,0
3700615063083,ADAPTATEUR CARTE SIM,0,0,0,0,0,0
3513764316029,ADAPTATEUR DE VOYAGE PRISE SECTEUR UK ->,0,0,0,0,0,0
5023808926407,ADAPTATEUR ENGL,0,0,0,0,0,0
3513760017494,ADAPTATEUR TRIP,0,0,0,0,0,0
3303170041680,ADAPTATEUR UNIV ALLUME CIGARE,0,0,0,0,0,0
3425901049946,ADBLUE 1.5L,0,0,0,0,0,0
3507020013494,ADBLUE 1.5L  - SMD,0,0,0,0,0,0
3011449300559,ADBLUE BIDON 5L,0,0,0,0,0,0
3155930005018,ADELSCOTT 6D6 50CL BTE,0,0,0,0,0,0
260916,ADEQUAT ALWAYS ULTRA,0,0,0,0,0,0
260909,ADEQUAT COUPE ONGLES,0,0,0,0,0,0
3760032831313,ADEQUAT GEL ANT,0,0,0,0,0,0
261111,ADEQUAT RASOIR,0,0,0,0,0,0
273107,ADEQUAT RASOIR 3 LAMES BIC,0,0,0,0,0,0
260886,ADEQUAT SHAMPOOING,0,0,0,0,0,0
260954,ADEQUAT SOIN PROTECTEUR LEVRES,0,0,0,0,0,0
3700232614323,ADH ECUS RELIEF SPAIN 112X120 GPS,0,0,0,0,0,0
3158842267789,ADHESIF NOIR PL,0,0,0,0,0,0
3344428063283,AGE DE GLACE 5,0,0,0,0,0,0
4008789052964,AGENT SECRET+GYROPODE PLAYMOBIL,0,0,0,0,0,0
3700353306268,AIGUE MARINE ROSE ANJOU 75CL AGVINS,0,0,0,0,0,0
3222471140925,AILLADOU A.F.H CO 6P. 100G,0,0,0,0,0,0
6922516307302,AIR FRESH 5ML VANILLA  GLASS BLLE,0,0,0,0,0,0
6922516307623,AIR FRESH VANILLA LOLLIPOP PAPER,0,0,0,0,0,0
5060428030350,AIR FRESHENER MICHELIN,0,0,0,0,0,0
7622210293398,AIR RUSH MENTHE,0,0,0,0,0,0
9782919004072,AIRES ET PARKINGS CAMPING-CARS,0,0,0,0,0,0
42211976,AIRWAVES BLACK,0,0,0,0,0,0
4009900426121,AIRWAVES CASSIS,0,0,0,0,0,0
42211983,AIRWAVES CHLORO,0,0,0,0,0,0
42102120,AIRWAVES CHLOROMENT. 14G,0,0,0,0,0,0
42070047,AIRWAVES COOL C,0,0,0,0,0,0
42211969,AIRWAVES COOL CASSIS 14G,0,0,0,0,0,0
42268321,AIRWAVES COOL ICE MINT 14 G,0,0,0,0,0,0
50173167,AIRWAVES DRAG SS MENT.EUC 14G,0,0,0,0,0,0
42189633,AIRWAVES MENTHO,0,0,0,0,0,0
4009900426039,AIRWAVES MENTHOL MINI BOX 64G,0,0,0,0,0,0
3760179562217,AKASHI BI-PACK 2USB SMART,0,0,0,0,0,0
8711252364315,ALARME.SS.FIL.CAMION 100D GPS,0,0,0,0,0,0
14462008,ALB GRAND CAFE CREME,0,0,0,0,0,0
3557828020491,ALCANTE BEBE TEDRESSE,0,0,0,0,0,0
3557828020088,ALCANTE CITRON,0,0,0,0,0,0
3557828020224,ALCANTE FOUGERE DES BOIS,0,0,0,0,0,0
3557828020132,ALCANTE FRAISE DES BOIS,0,0,0,0,0,0
3557828020583,ALCANTE LAVANDE DE PROVE,0,0,0,0,0,0
3557828020163,ALCANTE MANDARI,0,0,0,0,0,0
3557828020385,ALCANTE ORCHIDEE LUXE,0,0,0,0,0,0
3557828020019,ALCANTE PATCHOU,0,0,0,0,0,0
3557828020538,ALCANTE PECHE DU SOLEIL,0,0,0,0,0,0
3557828020330,ALCANTE VETIVER,0,0,0,0,0,0
3160920503306,ALCOOL 70° FLACON MODIF.200ML,0,0,0,0,0,0
3256630030413,ALCOOL A BRULER,0,0,0,0,0,0
834554002087,ALCOOL GELIFIE ONYX 1 L,0,0,0,0,0,0
8711252905372,ALL CIG. 4 PORT USB,0,0,0,0,0,0
8711252379814,ALLUM CIGARE MINI 12/24V,0,0,0,0,0,0
3472380201273,ALLUME  FEU  20L ESSENCE PEUPLIER,0,0,0,0,0,0
