,CUST_ID,SEX,AGE,DEPARTEMENT
215,110073,M,50-65,38
216,110168,M,35-49,38
217,110196,M,50-65,58
218,110211,M,35-49,78
219,110250,M,50-65,51
220,110297,M,50-65,59
221,110349,M,50-65,78
222,110487,M,35-49,78
223,110518,M,50-65,59
224,110527,F,35-49,38
225,110552,M,35-49,58
226,110569,F,>65,21
227,110590,M,35-49,78
228,110592,M,50-65,58
229,110633,M,50-65,51
230,110691,M,50-65,59
231,110731,M,50-65,59
232,110899,M,35-49,59
233,111038,M,50-65,78
234,111061,M,50-65,78
235,111074,M,50-65,62
236,111175,M,50-65,59
237,111176,M,50-65,59
238,111209,M,50-65,51
239,111211,M,50-65,51
240,111287,M,35-49,59
241,111288,M,35-49,62
242,111299,F,>65,62
243,111302,M,50-65,59
244,111303,M,50-65,62
245,111320,F,50-65,21
246,111383,M,>65,33
247,111392,M,35-49,33
248,111432,M,50-65,59
249,111552,M,50-65,33
250,111665,M,50-65,79
251,111668,M,35-49,62
252,111670,M,35-49,59
253,111737,M,<35,78
254,111738,M,50-65,78
255,111800,F,50-65,51
256,111809,M,50-65,58
257,111828,M,50-65,33
258,111880,M,50-65,78
259,111890,M,50-65,59
260,111896,M,>65,78
261,111906,M,35-49,58
262,111911,F,>65,78
263,111939,M,35-49,59
264,111958,M,35-49,59
265,111990,M,50-65,59
266,111996,M,50-65,59
267,112006,M,35-49,78
268,112013,M,50-65,33
269,112041,M,35-49,78
270,112044,M,35-49,59
271,112161,M,50-65,78
272,112235,M,50-65,62
273,112335,M,35-49,59
274,112384,F,35-49,33
275,112387,M,35-49,78
276,112401,M,35-49,59
277,112455,M,35-49,39
278,112498,M,>65,38
279,112511,M,50-65,51
280,112570,M,50-65,78
281,112633,M,50-65,78
282,112768,M,>65,62
283,112841,M,50-65,58
284,112935,M,35-49,78
285,112979,M,50-65,33
286,113014,M,50-65,33
287,113036,M,50-65,62
288,113109,M,50-65,59
289,113123,M,50-65,59
290,113181,M,50-65,33
291,113297,M,35-49,33
292,113324,M,50-65,78
293,113350,F,50-65,59
294,113376,M,35-49,59
295,113425,M,50-65,78
296,113487,M,50-65,78
297,113566,M,35-49,78
298,113595,M,50-65,78
299,113661,M,35-49,59
300,113670,M,35-49,59
301,113699,M,35-49,62
302,113700,M,35-49,78
303,113725,M,50-65,78
304,113787,M,50-65,06
305,113794,M,50-65,59
306,113797,M,50-65,78
307,113838,M,50-65,78
308,113870,M,50-65,59
309,113875,M,35-49,58
310,113895,M,50-65,78
311,114078,F,35-49,21
312,114170,M,50-65,38
313,114176,M,50-65,59
314,114216,M,50-65,42
315,114258,M,50-65,58
316,114342,M,50-65,59
317,114363,M,35-49,62
318,114449,M,50-65,59
319,114465,M,35-49,78
320,114474,M,50-65,62
321,114495,M,35-49,59
322,114539,M,50-65,62
323,114601,M,35-49,78
324,114621,F,50-65,78
325,114658,M,35-49,78
326,114666,M,35-49,59
327,114730,M,35-49,58
328,114760,M,35-49,59
329,114771,M,35-49,33
330,114807,M,50-65,33
331,114811,M,50-65,59
332,114817,M,35-49,38
333,114864,M,35-49,33
334,114886,M,50-65,33
335,114932,M,50-65,38
336,114989,M,50-65,59
337,114995,M,50-65,78
338,115016,F,50-65,78
339,115022,M,50-65,38
340,115068,M,35-49,62
341,115242,M,50-65,33
342,115283,M,50-65,59
343,115334,M,50-65,38
344,115350,F,>65,06
345,115407,M,50-65,79
346,115437,M,35-49,58
347,115438,M,35-49,59
348,115511,M,35-49,59
349,115514,M,35-49,78
350,115526,M,50-65,78
351,115559,M,50-65,78
352,115588,M,<35,78
353,115787,M,35-49,38
354,115809,M,50-65,59
355,115880,M,50-65,06
356,116105,F,50-65,78
357,116241,M,35-49,62
358,116257,M,50-65,51
359,116281,M,35-49,62
360,116290,M,35-49,38
361,116388,M,50-65,78
362,116441,M,35-49,62
363,116485,M,<35,78
364,116517,M,50-65,38
365,116560,M,35-49,59
366,116566,M,50-65,78
367,116610,M,50-65,38
368,116737,M,<35,78
369,116969,M,50-65,59
370,117086,M,50-65,78
371,117249,M,50-65,78
372,117302,M,50-65,33
373,117305,F,>65,38
374,117321,M,50-65,78
375,117387,M,>65,21
376,117388,M,35-49,21
377,117461,F,50-65,58
378,117610,M,50-65,59
379,117667,M,<35,78
380,117730,M,35-49,58
381,117755,M,>65,78
382,117757,M,50-65,59
383,117790,M,>65,78
384,117805,M,<35,33
385,117850,M,35-49,51
386,117902,M,50-65,21
387,117912,M,35-49,62
388,117934,M,35-49,51
389,118071,M,50-65,59
390,118164,M,50-65,59
391,118229,M,50-65,59
392,118234,M,>65,78
393,118242,M,35-49,33
394,118302,M,50-65,33
395,118355,M,50-65,33
396,118364,M,50-65,78
397,118372,M,35-49,62
398,118414,M,50-65,59
399,118478,M,50-65,59
400,118554,M,50-65,62
401,118560,M,50-65,78
402,118602,M,50-65,62
403,118606,M,50-65,38
404,118675,M,50-65,06
405,118750,M,35-49,59
406,118763,M,50-65,78
407,118817,M,50-65,59
408,119307,M,50-65,78
409,119310,M,50-65,33
410,119454,M,>65,78
411,119510,M,50-65,62
412,119521,M,50-65,38
413,119645,M,50-65,62
414,119675,M,50-65,78
415,119902,M,50-65,58
416,120004,M,35-49,78
417,120021,M,50-65,10
418,120055,M,<35,80
419,120086,M,50-65,38
420,120124,M,35-49,33
421,120148,M,50-65,39
422,120248,M,50-65,38
423,120259,M,50-65,33
424,120286,M,50-65,38
425,120331,M,35-49,51
426,120404,M,35-49,59
427,120461,M,>65,06
428,120622,M,35-49,78
429,120628,M,>65,78
430,120672,M,50-65,78
431,120734,M,>65,78
432,120768,M,50-65,33
433,120786,M,50-65,59
434,120927,M,35-49,06
435,120966,M,50-65,78
436,120981,M,50-65,78
437,120992,M,50-65,78
438,121029,M,50-65,51
439,121032,M,>65,58
440,121076,M,50-65,78
441,121107,M,50-65,78
442,121128,M,50-65,59
443,121147,M,50-65,62
444,121192,M,50-65,51
445,121222,M,50-65,59
446,121408,M,50-65,62
447,121437,M,50-65,59
448,121440,M,50-65,59
449,121443,M,35-49,80
