,CUST_ID,SEX,AGE,DEPARTEMENT
245,185798,M,50-65,58
246,185934,M,50-65,59
247,186567,F,50-65,78
248,187833,M,50-65,59
249,187947,M,50-65,21
250,188028,F,50-65,78
251,188309,M,50-65,38
252,188482,M,35-49,38
253,188537,M,50-65,78
254,189419,M,50-65,33
255,189637,M,50-65,78
256,190081,F,<35,38
257,190629,M,>65,62
258,190868,M,35-49,78
259,191307,M,50-65,59
260,191561,M,50-65,59
261,192277,M,50-65,06
262,192516,M,35-49,62
263,192624,M,35-49,78
264,193056,M,35-49,33
265,193219,F,50-65,21
266,193223,M,50-65,06
267,193469,M,50-65,78
268,193677,M,35-49,51
269,194407,M,35-49,58
270,195197,M,50-65,59
271,195200,M,35-49,62
272,195791,M,50-65,78
273,195864,M,50-65,78
274,196163,M,50-65,58
275,196232,M,50-65,51
276,197380,M,50-65,78
277,198355,M,35-49,38
278,198525,M,35-49,06
279,199285,M,35-49,78
280,199656,M,50-65,59
281,199673,M,50-65,59
282,199769,M,50-65,78
283,199984,M,50-65,59
284,200564,M,50-65,59
285,200887,M,50-65,78
286,201127,M,35-49,51
287,201322,M,35-49,33
288,201887,M,50-65,78
289,202124,M,35-49,78
290,202371,M,35-49,78
291,203366,M,50-65,62
292,203487,M,50-65,78
293,204013,M,35-49,58
294,204046,M,50-65,33
295,204068,M,35-49,62
296,204400,M,50-65,78
297,204431,M,50-65,59
298,204764,M,50-65,62
299,204886,M,>65,78
300,204947,M,35-49,78
301,205109,M,50-65,62
302,205515,M,>65,58
303,205668,M,35-49,78
304,205683,M,50-65,33
305,205800,M,50-65,38
306,206111,M,35-49,33
307,206416,M,50-65,38
308,207033,M,50-65,59
309,207287,M,50-65,78
310,207999,F,35-49,62
311,208010,M,50-65,69
312,208744,M,50-65,33
313,208883,M,50-65,21
314,209850,M,35-49,78
315,209988,M,35-49,38
316,210355,M,35-49,59
317,211149,M,50-65,51
318,212581,M,50-65,59
319,213461,M,50-65,58
320,213803,M,35-49,10
321,214517,M,35-49,78
322,214946,M,50-65,33
323,215374,M,50-65,38
324,215571,F,35-49,59
325,215782,M,50-65,21
326,215849,M,50-65,38
327,215998,M,35-49,62
328,217323,M,50-65,59
329,217726,M,50-65,78
330,217797,M,50-65,78
331,218865,M,50-65,78
332,219557,F,>65,59
333,219957,M,35-49,38
334,220023,M,50-65,21
335,221900,M,50-65,38
336,222000,M,50-65,51
337,222001,M,50-65,59
338,222204,M,50-65,38
339,222403,M,50-65,78
340,222422,F,50-65,21
341,222650,M,50-65,78
342,222847,M,35-49,58
343,223124,F,>65,62
344,223161,M,50-65,58
345,223293,M,35-49,06
346,223641,M,50-65,33
347,223769,F,50-65,51
348,223802,M,35-49,62
349,224522,M,50-65,62
350,225015,M,>65,78
351,225183,M,50-65,59
352,225597,F,50-65,78
353,225819,M,35-49,79
354,226056,M,50-65,59
355,226924,M,50-65,38
356,227723,M,50-65,58
357,229711,M,50-65,33
358,230094,M,50-65,78
359,230440,M,35-49,78
360,231687,M,50-65,38
361,231859,M,35-49,62
362,232016,M,>65,78
363,232029,M,50-65,59
364,233135,M,50-65,59
365,234017,M,50-65,59
366,234661,M,50-65,59
367,235302,F,35-49,33
368,235462,M,35-49,59
369,236355,F,50-65,59
370,237181,M,50-65,58
371,237374,M,35-49,62
372,237582,M,35-49,33
373,238828,M,35-49,78
374,238857,M,50-65,79
375,238881,M,50-65,51
376,238925,M,35-49,77
377,239186,M,50-65,62
378,239503,M,50-65,78
379,239730,M,50-65,59
380,239835,M,50-65,59
381,240151,M,50-65,62
382,240562,M,50-65,59
383,241230,M,>65,33
384,241262,F,50-65,06
385,241388,M,35-49,59
386,241558,M,35-49,59
387,242569,M,>65,51
388,242971,M,50-65,59
389,243592,M,50-65,62
390,244024,M,50-65,78
391,244198,M,50-65,59
392,244827,M,35-49,59
393,245356,M,50-65,62
394,246558,M,50-65,59
395,247304,M,35-49,78
396,247624,M,50-65,06
397,247730,M,50-65,59
398,247735,M,35-49,78
399,247754,M,50-65,78
400,248295,M,50-65,21
401,248530,M,35-49,51
402,248676,M,35-49,62
403,249926,M,35-49,33
404,250397,M,>65,59
405,251002,M,>65,59
406,251287,M,50-65,62
407,251307,M,35-49,59
408,251568,M,>65,59
409,252444,M,50-65,59
410,252901,M,50-65,78
411,253171,M,50-65,62
412,253172,M,>65,06
413,253466,M,35-49,79
414,253598,M,35-49,06
415,254815,M,50-65,78
416,254986,M,50-65,59
417,256395,M,>65,78
418,256540,M,50-65,33
419,257026,M,50-65,59
420,257552,M,50-65,78
421,257663,M,35-49,58
422,257995,M,35-49,59
423,258020,M,50-65,59
424,258038,M,35-49,59
425,258366,M,50-65,59
426,258523,M,50-65,78
427,259381,M,50-65,78
428,259866,M,50-65,33
429,259945,M,50-65,62
430,260131,M,50-65,58
431,261185,M,50-65,78
432,261223,M,50-65,59
433,261384,M,35-49,33
434,261750,F,50-65,38
435,261761,M,35-49,59
436,262086,M,35-49,78
437,263293,M,50-65,78
438,263913,M,50-65,78
439,263990,F,50-65,78
440,264012,M,50-65,59
441,264151,M,35-49,59
442,264679,M,50-65,38
443,265084,M,50-65,79
444,265485,M,50-65,78
445,265739,M,50-65,59
446,266150,M,50-65,62
447,266265,M,50-65,59
448,266488,M,35-49,62
449,266716,M,50-65,59
450,267277,M,50-65,33
451,267956,M,50-65,78
452,268342,M,35-49,51
453,268359,M,50-65,59
454,268921,M,>65,33
455,269417,M,35-49,78
456,269732,M,50-65,59
457,270220,M,50-65,59
458,270370,M,35-49,51
459,270517,M,50-65,62
460,271265,M,35-49,33
461,272123,M,50-65,59
462,272301,M,35-49,78
463,272307,M,50-65,51
464,272583,M,50-65,58
465,272651,M,35-49,38
466,273694,M,50-65,78
467,273829,M,35-49,78
468,273864,M,50-65,38
469,274391,F,35-49,78
470,274836,M,50-65,59
471,275145,F,35-49,06
472,275298,M,35-49,59
473,275425,M,50-65,38
474,275684,M,35-49,33
475,276275,M,>65,33
476,277744,M,50-65,59
477,278763,M,50-65,78
478,279676,M,>65,06
479,280194,M,50-65,59
480,280400,M,35-49,78
481,280693,M,35-49,62
482,280766,M,<35,58
